question_num,qid,answer,confidence,time_spent_seconds,answer_timestamp
0,664,2,3,36.48,2025-11-25T13:54:46.629626
1,6,1,1,18.05,2025-11-25T13:55:04.897074
2,662,2,3,10.71,2025-11-25T13:55:15.785776
3,773,1,1,6.58,2025-11-25T13:55:22.563137
4,556,3,2,10.64,2025-11-25T13:55:33.526578
5,768,1,1,8.52,2025-11-25T13:55:42.232840
6,802,1,1,50.77,2025-11-25T13:56:33.185466
7,598,4,1,14.75,2025-11-25T13:56:48.127833
8,70,2,2,12.42,2025-11-25T13:57:00.729701
9,97,4,1,6.21,2025-11-25T13:57:07.123434
10,462,2,3,7.14,2025-11-25T13:57:14.445043
11,428,3,3,5.01,2025-11-25T13:57:19.640915
12,13,1,1,4.64,2025-11-25T13:57:24.461479
13,414,2,2,6.75,2025-11-25T13:57:31.392629
14,550,2,3,12.53,2025-11-25T13:57:44.096694
15,816,3,3,6.42,2025-11-25T13:57:50.696255
16,788,1,2,7.27,2025-11-25T13:57:58.150714
17,317,2,2,5.97,2025-11-25T13:58:04.307471
18,160,1,1,3.49,2025-11-25T13:58:07.969632
19,357,2,2,4.47,2025-11-25T13:58:12.616767
20,423,1,2,12.4,2025-11-25T13:58:25.191814
21,250,1,2,3.78,2025-11-25T13:58:29.162758
22,129,3,1,4.26,2025-11-25T13:58:33.612692
23,349,3,2,7.68,2025-11-25T13:58:41.474237
24,392,1,2,3.91,2025-11-25T13:58:45.564777
25,384,1,2,5.86,2025-11-25T13:58:51.619334
26,502,1,1,31.45,2025-11-25T13:59:23.244544
27,552,2,1,11.12,2025-11-25T13:59:34.548826
28,804,1,2,5.53,2025-11-25T13:59:40.257622
29,654,1,1,5.67,2025-11-25T13:59:46.115646
30,544,1,2,28.88,2025-11-25T14:00:15.171367
31,529,1,4,11.27,2025-11-25T14:00:26.623717
32,89,2,3,195.58,2025-11-25T14:03:42.383279
33,140,1,1,8.07,2025-11-25T14:03:50.645051
34,10,1,3,5.97,2025-11-25T14:03:56.797162
35,433,2,3,5.02,2025-11-25T14:04:01.989149
36,587,2,2,6.45,2025-11-25T14:04:08.619949
37,227,1,2,10.02,2025-11-25T14:04:18.822404
38,430,3,2,14.62,2025-11-25T14:04:33.617170
39,74,2,2,10.87,2025-11-25T14:04:44.675936
40,281,2,1,3.35,2025-11-25T14:04:48.213154
41,799,2,3,4.02,2025-11-25T14:04:52.411939
42,263,2,2,3.02,2025-11-25T14:04:55.610694
43,264,1,2,4.95,2025-11-25T14:05:00.745413
44,29,1,3,7.23,2025-11-25T14:05:08.157648
45,132,1,1,20.27,2025-11-25T14:05:28.606970
46,436,2,2,7.07,2025-11-25T14:05:35.861728
47,708,2,3,4.61,2025-11-25T14:05:40.656202
48,194,3,1,8.39,2025-11-25T14:05:49.254636
49,269,1,2,3.59,2025-11-25T14:05:53.036294
50,254,2,2,5.04,2025-11-25T14:05:58.293104
51,419,3,3,4.6,2025-11-25T14:06:03.079564
52,228,1,3,6.17,2025-11-25T14:06:09.437123
53,229,3,3,11.92,2025-11-25T14:06:21.534477
54,412,2,3,6.58,2025-11-25T14:06:28.291183
55,159,1,1,27.19,2025-11-25T14:06:55.673955
56,162,1,1,4.19,2025-11-25T14:07:00.088292
57,391,3,4,6.05,2025-11-25T14:07:06.332423
58,394,1,2,15.41,2025-11-25T14:07:21.927215
59,266,2,1,3.34,2025-11-25T14:07:25.446174
60,420,1,2,3.67,2025-11-25T14:07:29.310985
61,144,2,4,6.45,2025-11-25T14:07:35.941803
62,145,3,3,6.84,2025-11-25T14:07:42.963070
63,659,3,3,18.03,2025-11-25T14:08:01.177783
64,660,4,3,8.98,2025-11-25T14:08:10.341566
65,31,4,2,3.94,2025-11-25T14:08:14.482477
66,99,3,2,7.59,2025-11-25T14:08:22.256389
67,61,4,4,5.32,2025-11-25T14:08:27.760701
68,37,2,3,12.31,2025-11-25T14:08:40.258222
69,249,3,1,4.25,2025-11-25T14:08:44.693539
70,353,4,3,5.92,2025-11-25T14:08:50.793606
71,329,4,3,11.67,2025-11-25T14:09:02.657150
72,347,4,1,9.64,2025-11-25T14:09:12.479187
73,247,2,1,10.06,2025-11-25T14:09:22.727248
74,809,3,2,5.02,2025-11-25T14:09:27.928336
75,88,1,1,5.47,2025-11-25T14:09:33.581350
76,393,2,4,5.4,2025-11-25T14:09:39.178467
77,100,3,2,5.12,2025-11-25T14:09:44.482582
78,113,2,3,5.6,2025-11-25T14:09:50.263869
79,147,1,1,7.12,2025-11-25T14:09:57.571635
80,397,3,2,6.61,2025-11-25T14:10:04.376378
