question_num,qid,answer,confidence,time_spent_seconds,answer_timestamp
0,664,1,1,42.69,2025-11-28T22:25:37.907381
1,6,3,1,14.02,2025-11-28T22:25:52.112840
2,662,1,4,36.32,2025-11-28T22:26:28.619215
3,773,4,2,24.0,2025-11-28T22:26:52.808627
4,556,1,4,5.1,2025-11-28T22:26:58.089473
5,768,3,3,6.94,2025-11-28T22:27:05.227391
6,802,1,3,10.93,2025-11-28T22:27:16.347487
7,598,4,4,9.06,2025-11-28T22:27:25.594015
8,70,3,4,9.63,2025-11-28T22:27:35.409765
9,97,1,5,5.1,2025-11-28T22:27:40.692558
10,462,2,4,7.17,2025-11-28T22:27:48.049699
11,428,2,5,7.17,2025-11-28T22:27:55.419999
12,13,2,4,3.79,2025-11-28T22:27:59.395440
13,414,1,5,5.81,2025-11-28T22:28:05.395281
14,550,2,3,21.28,2025-11-28T22:28:26.866128
15,816,1,5,12.63,2025-11-28T22:28:39.683156
16,788,3,5,5.53,2025-11-28T22:28:45.402719
17,317,2,4,5.3,2025-11-28T22:28:50.899264
18,160,1,5,3.51,2025-11-28T22:28:54.594837
19,357,2,4,9.41,2025-11-28T22:29:04.196342
20,423,1,4,11.92,2025-11-28T22:29:16.307168
21,250,4,5,3.98,2025-11-28T22:29:20.463824
22,129,3,5,5.98,2025-11-28T22:29:26.628989
23,349,1,4,9.6,2025-11-28T22:29:36.420419
24,392,4,5,7.05,2025-11-28T22:29:43.659370
25,384,3,5,7.75,2025-11-28T22:29:51.595389
26,502,1,5,15.1,2025-11-28T22:30:06.883376
27,552,1,2,8.18,2025-11-28T22:30:15.252961
28,804,2,3,7.41,2025-11-28T22:30:22.860428
29,654,1,5,4.74,2025-11-28T22:30:27.788383
30,544,1,5,4.64,2025-11-28T22:30:32.619948
31,529,4,5,6.04,2025-11-28T22:30:38.843579
32,89,2,4,10.48,2025-11-28T22:30:49.518345
33,140,1,5,7.12,2025-11-28T22:30:56.819403
34,10,1,5,3.32,2025-11-28T22:31:00.349971
