question_num,qid,answer,confidence,time_spent_seconds,answer_timestamp
0,664,1,4,5.46,2025-12-03T21:22:23.767181
1,6,2,3,16.65,2025-12-03T21:22:40.761090
2,662,2,4,21.41,2025-12-03T21:23:02.544348
3,773,2,3,6.87,2025-12-03T21:23:09.764931
4,556,1,3,8.22,2025-12-03T21:23:18.272892
5,768,1,2,8.71,2025-12-03T21:23:27.262935
6,802,2,3,45.01,2025-12-03T21:24:12.583785
7,598,2,3,30.75,2025-12-03T21:24:43.602430
8,70,1,4,22.01,2025-12-03T21:25:05.886439
9,97,1,2,11.73,2025-12-03T21:25:17.899798
10,462,2,4,8.85,2025-12-03T21:25:27.023051
11,428,3,4,8.79,2025-12-03T21:25:36.098561
12,13,1,4,8.44,2025-12-03T21:25:44.831181
13,414,3,4,6.99,2025-12-03T21:25:52.096139
14,550,2,4,24.77,2025-12-03T21:26:17.166262
15,816,1,4,8.82,2025-12-03T21:26:26.359162
16,788,3,4,9.92,2025-12-03T21:26:36.579736
17,317,1,4,6.07,2025-12-03T21:26:42.939406
18,160,1,4,3.13,2025-12-03T21:26:46.384291
19,357,2,4,5.65,2025-12-03T21:26:52.303845
20,423,4,4,18.26,2025-12-03T21:27:10.863350
21,250,1,4,3.98,2025-12-03T21:27:15.159403
22,129,1,4,6.06,2025-12-03T21:27:21.502795
23,349,4,4,9.71,2025-12-03T21:27:31.510876
24,392,1,4,8.02,2025-12-03T21:27:39.819594
25,384,4,4,9.07,2025-12-03T21:27:49.175977
26,502,2,4,16.41,2025-12-03T21:28:05.875825
27,552,4,4,9.8,2025-12-03T21:28:15.964895
28,804,1,4,30.8,2025-12-03T21:28:47.078937
29,654,2,4,5.14,2025-12-03T21:28:52.517948
30,544,4,4,20.59,2025-12-03T21:29:13.389125
31,529,2,4,32.58,2025-12-03T21:29:46.258055
32,89,2,4,34.86,2025-12-03T21:30:21.424463
33,140,1,4,5.66,2025-12-03T21:30:27.430674
34,10,1,4,5.42,2025-12-03T21:30:33.180504
35,433,2,5,7.21,2025-12-03T21:30:40.703940
36,587,2,4,4.69,2025-12-03T21:30:45.692977
37,227,4,4,20.09,2025-12-03T21:31:06.070543
38,430,3,4,14.55,2025-12-03T21:31:20.927446
39,74,1,4,6.94,2025-12-03T21:31:28.154840
