question_num,qid,answer,confidence,time_spent_seconds,answer_timestamp
0,664,1,4,32.79,2025-11-26T08:41:36.909729
1,6,3,4,27.58,2025-11-26T08:42:04.681055
2,662,2,4,7.82,2025-11-26T08:42:12.689296
3,773,1,4,11.53,2025-11-26T08:42:24.403293
4,556,3,4,6.21,2025-11-26T08:42:30.796137
5,768,1,4,7.56,2025-11-26T08:42:38.551824
6,802,2,4,12.39,2025-11-26T08:42:51.124195
7,598,4,3,28.99,2025-11-26T08:43:20.299700
8,70,2,4,13.23,2025-11-26T08:43:33.709036
9,97,3,4,6.86,2025-11-26T08:43:40.747207
10,462,3,5,8.88,2025-11-26T08:43:49.815144
11,428,1,4,5.16,2025-11-26T08:43:55.170726
12,13,1,5,4.28,2025-11-26T08:43:59.633446
13,414,1,4,6.82,2025-11-26T08:44:06.649432
14,550,2,5,33.65,2025-11-26T08:44:40.483018
15,816,3,4,7.51,2025-11-26T08:44:48.184043
16,788,3,5,7.19,2025-11-26T08:44:55.556985
17,317,3,4,3.09,2025-11-26T08:44:58.838870
18,160,1,4,2.93,2025-11-26T08:45:01.956960
19,357,3,5,4.91,2025-11-26T08:45:07.050313
20,423,4,5,9.07,2025-11-26T08:45:16.294987
21,250,4,5,4.89,2025-11-26T08:45:21.372816
22,129,2,4,8.93,2025-11-26T08:45:30.499747
23,349,1,4,5.89,2025-11-26T08:45:36.578608
24,392,1,4,4.77,2025-11-26T08:45:41.533039
25,384,3,5,2.69,2025-11-26T08:45:44.414080
26,502,2,4,4.2,2025-11-26T08:45:48.803603
27,552,2,5,3.63,2025-11-26T08:45:52.620761
28,804,1,5,6.88,2025-11-26T08:45:59.702184
29,654,4,5,3.12,2025-11-26T08:46:03.014827
30,544,2,5,5.46,2025-11-26T08:46:08.675822
31,529,2,4,15.2,2025-11-26T08:46:24.065131
32,89,3,4,18.6,2025-11-26T08:46:42.852173
33,140,1,5,4.6,2025-11-26T08:46:47.639556
34,10,1,5,2.66,2025-11-26T08:46:50.492051
35,433,2,4,4.09,2025-11-26T08:46:54.765254
36,587,2,4,2.67,2025-11-26T08:46:57.617051
37,227,2,5,5.45,2025-11-26T08:47:03.255604
38,430,2,5,3.72,2025-11-26T08:47:07.167362
39,74,2,5,3.69,2025-11-26T08:47:11.046565
40,281,2,4,3.08,2025-11-26T08:47:14.312197
41,799,2,5,3.14,2025-11-26T08:47:17.634899
42,263,3,5,3.15,2025-11-26T08:47:20.962172
43,264,4,5,2.63,2025-11-26T08:47:23.776920
44,29,3,5,4.94,2025-11-26T08:47:28.899881
45,132,3,4,8.11,2025-11-26T08:47:37.210485
46,436,3,5,12.87,2025-11-26T08:47:50.270971
47,708,2,5,3.35,2025-11-26T08:47:53.810474
48,194,2,5,3.93,2025-11-26T08:47:57.925648
49,269,3,5,3.4,2025-11-26T08:48:01.515734
50,254,2,5,2.4,2025-11-26T08:48:04.107713
51,419,1,5,6.71,2025-11-26T08:48:11.013711
52,228,2,5,7.8,2025-11-26T08:48:19.012997
53,229,3,5,10.85,2025-11-26T08:48:30.051066
54,412,2,5,3.59,2025-11-26T08:48:33.836679
55,159,2,5,8.74,2025-11-26T08:48:42.761152
56,162,2,5,6.42,2025-11-26T08:48:49.394871
57,391,3,5,4.2,2025-11-26T08:48:53.795620
58,394,3,5,18.26,2025-11-26T08:49:12.247816
59,266,2,4,2.32,2025-11-26T08:49:14.755588
60,420,2,5,3.06,2025-11-26T08:49:18.005589
61,144,2,5,4.9,2025-11-26T08:49:23.141950
62,145,1,5,6.11,2025-11-26T08:49:29.453766
63,659,3,5,6.1,2025-11-26T08:49:35.741186
64,660,2,5,3.13,2025-11-26T08:49:39.060107
65,31,1,5,2.96,2025-11-26T08:49:42.221608
66,99,4,5,5.1,2025-11-26T08:49:47.521364
67,61,2,5,3.88,2025-11-26T08:49:51.585199
68,37,2,5,6.4,2025-11-26T08:49:58.175056
69,249,2,5,2.51,2025-11-26T08:50:00.869089
70,353,4,5,2.94,2025-11-26T08:50:03.999265
71,329,2,5,2.8,2025-11-26T08:50:06.991412
72,347,3,4,8.0,2025-11-26T08:50:15.183711
73,247,3,5,6.09,2025-11-26T08:50:21.460656
74,809,4,5,3.82,2025-11-26T08:50:25.471851
75,88,3,5,3.99,2025-11-26T08:50:29.653630
76,393,2,4,4.0,2025-11-26T08:50:33.841430
77,100,2,5,7.29,2025-11-26T08:50:41.335872
78,113,2,5,5.98,2025-11-26T08:50:47.506199
79,147,2,5,4.75,2025-11-26T08:50:52.437619
80,397,4,5,4.07,2025-11-26T08:50:56.709534
81,360,3,5,2.48,2025-11-26T08:50:59.383786
82,315,2,3,2.66,2025-11-26T08:51:02.231958
83,307,2,5,3.34,2025-11-26T08:51:05.754926
84,260,2,5,4.1,2025-11-26T08:51:10.043041
85,431,4,5,3.62,2025-11-26T08:51:13.851841
86,212,2,4,5.95,2025-11-26T08:51:19.992377
87,219,1,5,5.73,2025-11-26T08:51:25.915006
88,386,2,4,3.66,2025-11-26T08:51:29.763747
89,330,2,5,3.06,2025-11-26T08:51:33.010045
90,319,1,4,3.75,2025-11-26T08:51:36.940733
91,447,1,4,3.3,2025-11-26T08:51:40.425695
92,442,2,5,4.42,2025-11-26T08:51:45.045921
93,383,3,4,6.53,2025-11-26T08:51:51.766089
94,375,2,4,4.67,2025-11-26T08:51:56.623909
95,292,1,4,4.89,2025-11-26T08:52:01.704208
96,401,2,4,3.86,2025-11-26T08:52:05.754713
97,295,4,5,4.12,2025-11-26T08:52:10.079512
98,493,1,4,4.81,2025-11-26T08:52:15.071586
99,919,2,4,8.03,2025-11-26T08:52:23.283084
100,609,4,5,6.63,2025-11-26T08:52:30.109659
101,569,1,4,5.29,2025-11-26T08:52:35.586627
102,168,3,4,7.69,2025-11-26T08:52:43.464549
103,669,3,4,7.75,2025-11-26T08:52:51.409757
104,395,3,4,6.85,2025-11-26T08:52:58.445529
105,882,4,5,7.22,2025-11-26T08:53:05.858186
106,221,2,5,4.82,2025-11-26T08:53:10.868692
107,54,4,4,5.1,2025-11-26T08:53:16.156526
108,551,2,4,7.6,2025-11-26T08:53:23.944721
109,504,2,4,7.58,2025-11-26T08:53:31.711939
110,913,4,5,4.93,2025-11-26T08:53:36.831450
111,651,2,4,2.79,2025-11-26T08:53:39.813936
112,801,1,5,6.62,2025-11-26T08:53:46.640893
113,626,1,5,5.22,2025-11-26T08:53:52.054973
114,370,2,5,2.47,2025-11-26T08:53:54.723203
115,425,2,4,3.25,2025-11-26T08:53:58.159799
116,543,2,5,5.33,2025-11-26T08:54:03.681788
117,663,2,4,5.33,2025-11-26T08:54:09.220907
118,181,2,5,2.59,2025-11-26T08:54:12.002208
119,510,2,4,3.71,2025-11-26T08:54:15.906458
120,511,2,5,2.36,2025-11-26T08:54:18.451466
121,278,2,5,6.08,2025-11-26T08:54:24.730494
122,24,4,5,5.85,2025-11-26T08:54:30.781385
123,245,1,5,3.46,2025-11-26T08:54:34.427414
124,655,4,5,3.39,2025-11-26T08:54:38.003261
125,231,1,5,6.03,2025-11-26T08:54:44.217188
126,629,2,5,3.71,2025-11-26T08:54:48.118886
127,215,4,5,4.86,2025-11-26T08:54:53.176164
128,441,4,5,3.48,2025-11-26T08:54:56.840844
129,494,2,5,7.42,2025-11-26T08:55:04.444996
130,46,1,5,2.6,2025-11-26T08:55:07.234549
131,287,3,5,2.15,2025-11-26T08:55:09.571486
132,239,3,5,2.9,2025-11-26T08:55:12.667976
133,3,3,5,4.46,2025-11-26T08:55:17.314894
134,93,3,5,4.51,2025-11-26T08:55:22.005706
135,336,2,5,3.9,2025-11-26T08:55:26.085166
136,766,4,5,5.92,2025-11-26T08:55:32.187415
137,379,2,5,3.01,2025-11-26T08:55:35.391185
138,279,2,4,2.51,2025-11-26T08:55:38.088292
139,165,3,5,3.35,2025-11-26T08:55:41.627697
140,86,4,5,3.11,2025-11-26T08:55:44.940943
141,174,4,5,2.93,2025-11-26T08:55:48.063250
142,767,1,5,3.48,2025-11-26T08:55:51.751751
143,805,1,4,3.74,2025-11-26T08:55:55.683987
144,38,3,5,2.67,2025-11-26T08:55:58.557690
145,19,3,5,2.29,2025-11-26T08:56:01.046241
146,123,1,5,2.12,2025-11-26T08:56:03.376456
147,56,2,5,2.5,2025-11-26T08:56:06.055393
148,653,3,5,5.5,2025-11-26T08:56:11.739179
149,94,1,5,2.44,2025-11-26T08:56:14.372099
