question_num,qid,answer,confidence,time_spent_seconds,answer_timestamp
0,664,1,2,24.97,2025-12-13T13:40:35.568153
1,6,2,4,23.66,2025-12-13T13:40:59.535990
2,662,2,2,3.01,2025-12-13T13:41:02.861682
3,773,1,4,3.29,2025-12-13T13:41:06.497590
4,556,3,5,3.81,2025-12-13T13:41:10.594506
5,768,2,5,3.44,2025-12-13T13:41:14.314807
6,802,3,3,2.9,2025-12-13T13:41:17.595294
7,598,1,2,2.69,2025-12-13T13:41:20.666807
8,70,1,2,2.87,2025-12-13T13:41:23.870663
9,97,1,3,3.46,2025-12-13T13:41:27.678329
10,462,2,2,3.36,2025-12-13T13:41:31.373775
11,428,2,3,3.37,2025-12-13T13:41:35.133806
12,13,1,2,2.72,2025-12-13T13:41:38.207182
13,414,2,3,2.48,2025-12-13T13:41:41.028359
14,550,2,1,3.19,2025-12-13T13:41:44.554394
15,816,2,3,2.85,2025-12-13T13:41:47.758818
16,788,2,3,3.25,2025-12-13T13:41:51.395838
17,317,2,2,2.75,2025-12-13T13:41:54.437040
18,160,2,3,4.17,2025-12-13T13:41:58.955425
19,357,3,5,2.53,2025-12-13T13:42:01.885447
20,423,3,5,5.13,2025-12-13T13:42:07.414353
21,250,2,2,4.54,2025-12-13T13:42:12.238372
22,129,4,3,5.95,2025-12-13T13:42:18.475582
23,349,2,2,3.32,2025-12-13T13:42:22.095977
24,392,2,4,2.38,2025-12-13T13:42:24.859290
25,384,2,2,2.35,2025-12-13T13:42:27.615046
26,502,3,3,2.37,2025-12-13T13:42:30.396378
27,552,2,2,2.79,2025-12-13T13:42:33.583121
28,804,2,4,2.82,2025-12-13T13:42:36.751345
29,654,3,3,2.89,2025-12-13T13:42:39.981759
30,544,2,2,2.85,2025-12-13T13:42:43.218286
31,529,2,3,2.75,2025-12-13T13:42:46.365839
32,89,3,2,2.9,2025-12-13T13:42:49.654922
33,140,3,2,11.39,2025-12-13T13:43:01.432651
34,10,4,5,4.35,2025-12-13T13:43:06.069774
35,433,2,5,2.48,2025-12-13T13:43:08.888564
36,587,2,2,2.75,2025-12-13T13:43:12.046956
37,227,4,3,2.91,2025-12-13T13:43:15.334976
38,430,2,2,4.69,2025-12-13T13:43:20.414016
39,74,2,2,3.36,2025-12-13T13:43:24.164982
40,281,2,3,3.7,2025-12-13T13:43:28.204604
41,799,2,2,2.56,2025-12-13T13:43:31.155481
42,263,4,4,3.1,2025-12-13T13:43:34.608115
43,264,2,5,2.66,2025-12-13T13:43:37.645643
44,29,3,2,2.7,2025-12-13T13:43:40.667158
45,132,2,5,3.29,2025-12-13T13:43:44.325838
46,436,2,5,9.25,2025-12-13T13:43:53.966261
47,708,2,2,3.18,2025-12-13T13:43:57.504405
48,194,2,5,2.47,2025-12-13T13:44:00.313487
49,269,3,2,2.46,2025-12-13T13:44:03.152942
50,254,3,4,2.3,2025-12-13T13:44:05.850595
51,419,4,3,3.35,2025-12-13T13:44:09.575753
52,228,3,2,2.63,2025-12-13T13:44:12.496260
53,229,3,2,2.5,2025-12-13T13:44:15.336541
54,412,3,3,2.5,2025-12-13T13:44:18.142089
55,159,2,2,3.48,2025-12-13T13:44:22.024940
56,162,4,2,4.64,2025-12-13T13:44:26.940841
57,391,3,5,2.43,2025-12-13T13:44:29.715001
58,394,2,5,2.68,2025-12-13T13:44:32.770003
59,266,3,3,2.44,2025-12-13T13:44:35.597658
60,420,3,5,2.5,2025-12-13T13:44:38.428858
61,144,2,4,2.54,2025-12-13T13:44:41.246944
62,145,3,5,2.59,2025-12-13T13:44:44.120109
63,659,3,3,2.67,2025-12-13T13:44:47.118910
64,660,3,4,3.01,2025-12-13T13:44:50.475890
65,31,2,5,5.58,2025-12-13T13:44:56.378451
66,99,2,3,3.87,2025-12-13T13:50:45.790327
67,61,1,4,5.35,2025-12-13T13:50:51.363740
68,37,1,3,3.71,2025-12-13T13:50:55.295259
69,249,2,4,4.28,2025-12-13T13:50:59.808848
70,353,3,4,1.78,2025-12-13T13:51:01.814920
71,329,2,3,3.24,2025-12-13T13:51:05.309539
72,347,3,2,2.36,2025-12-13T13:51:07.915224
73,247,2,4,2.9,2025-12-13T13:51:11.058046
74,809,3,3,2.0,2025-12-13T13:51:13.297866
75,88,3,3,5.7,2025-12-13T13:51:19.214885
76,393,1,4,2.99,2025-12-13T13:51:22.449063
77,100,2,3,2.36,2025-12-13T13:51:25.035634
78,113,3,4,1.98,2025-12-13T13:51:27.242920
79,147,2,2,2.73,2025-12-13T13:51:30.381119
80,397,3,4,1.92,2025-12-13T13:51:32.566528
81,360,2,3,2.24,2025-12-13T13:51:35.014270
82,315,2,4,2.06,2025-12-13T13:51:37.294407
83,307,2,2,2.25,2025-12-13T13:51:39.810910
84,260,3,4,2.21,2025-12-13T13:51:42.238978
85,431,3,3,3.5,2025-12-13T13:51:45.954169
86,212,1,3,2.36,2025-12-13T13:51:48.572625
87,219,3,4,2.14,2025-12-13T13:51:51.024179
88,386,2,2,2.07,2025-12-13T13:51:53.293968
89,330,3,3,1.89,2025-12-13T13:51:55.413309
90,319,2,4,1.86,2025-12-13T13:51:57.460841
91,447,3,5,8.97,2025-12-13T13:52:06.626046
92,442,2,1,2.91,2025-12-13T13:52:09.763489
93,383,2,3,2.14,2025-12-13T13:52:12.089617
94,375,1,2,2.51,2025-12-13T13:52:14.795798
95,292,1,4,9.48,2025-12-13T13:52:24.473229
96,401,2,3,4.3,2025-12-13T13:52:28.965136
97,295,2,2,2.25,2025-12-13T13:52:31.416529
98,493,2,3,34.36,2025-12-13T13:53:06.016412
99,919,1,4,2.97,2025-12-13T13:53:09.193888
100,609,3,2,1.96,2025-12-13T13:53:11.369902
101,569,2,3,2.35,2025-12-13T13:53:13.914429
102,168,4,1,2.21,2025-12-13T13:53:16.308293
103,669,1,5,3.77,2025-12-13T13:53:20.302697
104,395,2,4,3.52,2025-12-13T13:53:24.079475
105,882,3,2,41.94,2025-12-13T13:54:06.224851
106,221,3,2,39.93,2025-12-13T13:54:46.389731
107,54,2,4,2.02,2025-12-13T13:54:48.671012
108,551,1,3,2.08,2025-12-13T13:54:50.977583
109,504,2,4,2.05,2025-12-13T13:54:53.254503
110,913,2,4,6.95,2025-12-13T13:55:00.597856
111,651,3,4,4.83,2025-12-13T13:55:05.684766
112,801,1,3,2.09,2025-12-13T13:55:08.026333
113,626,3,5,2.51,2025-12-13T13:55:10.782156
114,370,2,4,1.74,2025-12-13T13:55:12.744628
115,425,1,3,3.25,2025-12-13T13:55:16.240740
116,543,3,4,1.86,2025-12-13T13:55:18.334140
117,663,2,3,2.46,2025-12-13T13:55:21.021236
118,181,3,4,2.46,2025-12-13T13:55:23.920283
119,510,1,3,2.54,2025-12-13T13:55:26.663365
