question_num,qid,answer,confidence,time_spent_seconds,answer_timestamp
0,664,2,4,13.72,2025-12-03T11:11:55.548215
1,6,1,4,16.63,2025-12-03T11:12:12.467187
2,662,4,5,7.3,2025-12-03T11:12:20.058109
3,773,1,5,7.71,2025-12-03T11:12:28.066453
4,556,4,4,7.52,2025-12-03T11:12:35.881797
5,768,3,4,5.89,2025-12-03T11:12:42.047633
6,802,1,3,21.32,2025-12-03T11:13:03.649074
7,598,4,2,21.5,2025-12-03T11:13:25.403338
8,70,3,1,23.82,2025-12-03T11:13:49.478450
9,97,4,4,7.6,2025-12-03T11:13:57.364724
10,462,3,2,30.71,2025-12-03T11:14:28.337916
11,428,3,3,16.99,2025-12-03T11:14:45.599016
12,13,1,4,8.18,2025-12-03T11:14:54.076272
13,414,1,4,11.96,2025-12-03T11:15:06.324623
14,550,1,1,23.48,2025-12-03T11:15:30.087829
15,816,2,3,12.25,2025-12-03T11:15:42.608911
16,788,2,1,17.99,2025-12-03T11:16:00.878929
17,317,2,2,6.68,2025-12-03T11:16:07.838894
18,160,2,1,6.02,2025-12-03T11:16:14.134897
19,357,3,3,7.69,2025-12-03T11:16:22.108800
20,423,3,3,19.66,2025-12-03T11:16:42.029538
21,250,4,2,10.25,2025-12-03T11:16:52.569476
22,129,1,4,7.2,2025-12-03T11:17:00.069219
23,349,2,3,10.59,2025-12-03T11:17:10.946305
24,392,4,1,8.45,2025-12-03T11:17:19.674803
25,384,1,1,7.65,2025-12-03T11:17:27.695460
26,502,3,1,40.19,2025-12-03T11:18:08.337701
27,552,4,3,9.17,2025-12-03T11:18:17.790098
28,804,1,1,14.45,2025-12-03T11:18:32.534521
29,654,4,1,11.11,2025-12-03T11:18:43.927909
30,544,4,3,18.94,2025-12-03T11:19:03.136151
31,529,2,4,11.07,2025-12-03T11:19:14.493297
32,89,1,5,18.62,2025-12-03T11:19:33.417619
33,140,1,3,15.48,2025-12-03T11:19:49.135483
