question_num,qid,answer,confidence,time_spent_seconds,answer_timestamp
0,664,1,4,37.81,2025-11-25T20:23:24.777997
1,6,1,3,42.79,2025-11-25T20:24:07.758187
2,662,4,5,8.25,2025-11-25T20:24:16.224256
3,773,2,3,7.6,2025-11-25T20:24:24.013433
4,556,3,3,15.53,2025-11-25T20:24:39.731773
5,768,2,3,60.33,2025-11-25T20:25:40.253566
6,802,3,2,12.93,2025-11-25T20:25:53.367354
7,598,4,4,8.45,2025-11-25T20:26:02.004371
8,70,2,3,8.04,2025-11-25T20:26:10.232801
9,97,3,3,7.16,2025-11-25T20:26:17.594374
10,462,2,4,8.55,2025-11-25T20:26:26.325903
11,428,3,5,6.31,2025-11-25T20:26:32.814046
12,13,1,3,11.14,2025-11-25T20:26:44.135292
13,414,1,4,8.94,2025-11-25T20:26:53.256179
14,550,3,2,11.17,2025-11-25T20:27:04.610427
15,816,2,4,4.53,2025-11-25T20:27:09.342581
16,788,2,4,3.86,2025-11-25T20:27:13.383536
17,317,1,3,6.13,2025-11-25T20:27:19.694145
18,160,1,4,4.66,2025-11-25T20:27:24.545642
19,357,2,4,5.89,2025-11-25T20:27:30.642025
20,423,4,3,5.87,2025-11-25T20:27:36.691328
21,250,2,4,3.47,2025-11-25T20:27:40.416752
22,129,3,2,4.48,2025-11-25T20:27:45.082052
23,349,2,4,8.88,2025-11-25T20:27:54.146854
24,392,1,3,10.54,2025-11-25T20:28:04.875134
25,384,4,2,16.87,2025-11-25T20:28:21.928060
26,502,2,3,8.67,2025-11-25T20:28:30.798418
27,552,4,2,4.76,2025-11-25T20:28:35.748958
28,804,4,4,4.85,2025-11-25T20:28:40.779618
29,654,1,3,12.82,2025-11-25T20:28:53.787181
30,544,4,4,3.51,2025-11-25T20:28:57.486040
31,529,4,3,6.97,2025-11-25T20:29:04.639974
32,89,4,4,4.68,2025-11-25T20:29:09.512372
33,140,2,3,3.58,2025-11-25T20:29:13.297222
34,10,1,4,2.71,2025-11-25T20:29:16.193010
35,433,2,5,5.64,2025-11-25T20:29:22.027828
36,587,1,4,3.63,2025-11-25T20:29:25.842309
37,227,2,4,10.96,2025-11-25T20:29:36.988295
38,430,2,3,5.45,2025-11-25T20:29:42.622728
39,74,4,5,4.97,2025-11-25T20:29:47.778671
40,281,2,3,2.32,2025-11-25T20:29:50.293228
41,799,4,4,15.42,2025-11-25T20:30:05.901759
42,263,3,3,3.53,2025-11-25T20:30:09.615202
43,264,2,4,4.11,2025-11-25T20:30:13.917443
44,29,2,3,8.66,2025-11-25T20:30:22.766556
45,132,2,5,4.79,2025-11-25T20:30:27.738284
46,436,3,4,6.75,2025-11-25T20:30:34.666252
47,708,2,4,5.37,2025-11-25T20:30:40.219825
48,194,1,3,5.24,2025-11-25T20:30:45.652268
49,269,2,4,2.47,2025-11-25T20:30:48.303144
50,254,1,1,3.03,2025-11-25T20:30:51.599234
51,419,1,2,5.14,2025-11-25T20:30:56.922902
52,228,2,3,4.94,2025-11-25T20:31:02.052629
53,229,3,4,5.58,2025-11-25T20:31:07.829341
54,412,2,4,4.55,2025-11-25T20:31:12.577820
55,159,1,2,4.15,2025-11-25T20:31:16.910573
56,162,1,3,3.37,2025-11-25T20:31:20.464276
57,391,3,5,6.26,2025-11-25T20:31:26.921544
58,394,1,2,13.52,2025-11-25T20:31:40.640470
59,266,1,1,3.1,2025-11-25T20:31:43.931689
60,420,3,2,4.55,2025-11-25T20:31:48.672377
61,144,2,4,4.99,2025-11-25T20:31:53.851307
62,145,4,5,7.24,2025-11-25T20:32:01.276594
63,659,3,2,6.02,2025-11-25T20:32:07.480497
64,660,2,5,4.75,2025-11-25T20:32:12.423469
65,31,1,2,5.5,2025-11-25T20:32:18.115514
66,99,2,4,3.29,2025-11-25T20:32:21.589840
67,61,1,2,7.75,2025-11-25T20:32:29.533734
68,37,4,4,5.19,2025-11-25T20:32:34.910691
69,249,4,2,3.75,2025-11-25T20:32:38.847654
70,353,2,4,3.23,2025-11-25T20:32:42.270231
71,329,2,4,9.32,2025-11-25T20:32:51.771847
72,347,4,1,6.38,2025-11-25T20:32:58.342904
73,247,2,3,3.38,2025-11-25T20:33:01.905252
74,809,2,4,3.63,2025-11-25T20:33:05.722550
75,88,2,4,4.04,2025-11-25T20:33:09.956455
76,393,1,2,5.17,2025-11-25T20:33:15.304119
77,100,2,2,6.31,2025-11-25T20:33:21.801699
78,113,2,4,5.37,2025-11-25T20:33:27.359785
79,147,3,3,4.19,2025-11-25T20:33:31.754041
80,397,1,3,5.8,2025-11-25T20:33:37.758265
81,360,1,4,4.32,2025-11-25T20:33:42.260652
82,315,4,5,4.01,2025-11-25T20:33:46.453965
83,307,3,4,4.51,2025-11-25T20:33:51.162500
84,260,1,3,5.1,2025-11-25T20:33:56.454720
85,431,4,2,6.21,2025-11-25T20:34:02.854073
86,212,2,3,6.84,2025-11-25T20:34:09.875682
87,219,4,4,3.71,2025-11-25T20:34:13.772669
88,386,2,3,9.83,2025-11-25T20:34:23.782787
89,330,2,4,6.36,2025-11-25T20:34:30.323747
90,319,1,4,3.44,2025-11-25T20:34:33.970740
91,447,3,3,3.48,2025-11-25T20:34:37.630978
92,442,4,4,4.23,2025-11-25T20:34:42.046945
93,383,3,2,5.92,2025-11-25T20:34:48.156463
94,375,1,4,2.97,2025-11-25T20:34:51.307000
95,292,3,3,3.16,2025-11-25T20:34:54.659973
96,401,2,2,5.0,2025-11-25T20:34:59.846086
97,295,2,4,3.61,2025-11-25T20:35:03.639061
98,493,1,3,3.33,2025-11-25T20:35:07.168976
99,919,2,5,6.17,2025-11-25T20:35:13.520199
100,609,2,4,4.47,2025-11-25T20:35:18.192862
101,569,4,5,7.31,2025-11-25T20:35:25.691831
102,168,3,4,4.75,2025-11-25T20:35:30.631988
103,669,2,4,8.98,2025-11-25T20:35:39.793851
104,395,2,2,4.59,2025-11-25T20:35:44.563892
105,882,3,4,8.55,2025-11-25T20:35:53.302874
106,221,1,5,4.31,2025-11-25T20:35:57.803017
107,54,4,4,4.04,2025-11-25T20:36:02.025734
108,551,3,3,4.26,2025-11-25T20:36:06.470674
109,504,3,4,6.4,2025-11-25T20:36:13.053149
110,913,1,5,17.74,2025-11-25T20:36:30.984641
111,651,2,4,3.15,2025-11-25T20:36:34.319986
112,801,3,4,13.88,2025-11-25T20:36:48.386078
113,626,3,3,3.77,2025-11-25T20:36:52.336738
114,370,4,4,6.16,2025-11-25T20:36:58.676888
115,425,2,5,9.69,2025-11-25T20:37:08.554057
116,543,4,4,10.93,2025-11-25T20:37:19.663532
117,663,1,4,67.56,2025-11-25T20:38:27.464251
118,181,1,2,30.17,2025-11-25T20:38:57.888861
119,510,2,4,6.47,2025-11-25T20:39:04.541864
120,511,2,4,2.48,2025-11-25T20:39:07.220840
121,278,3,3,4.57,2025-11-25T20:39:11.974960
122,24,3,4,3.81,2025-11-25T20:39:15.965930
123,245,2,4,4.43,2025-11-25T20:39:20.581817
124,655,3,4,5.97,2025-11-25T20:39:26.737864
125,231,3,2,6.89,2025-11-25T20:39:33.823009
126,629,3,4,3.47,2025-11-25T20:39:37.478633
