question_num,qid,answer,confidence,time_spent_seconds,answer_timestamp
0,664,2,3,17.49,2025-11-24T13:38:27.625029
1,6,2,2,5.1,2025-11-24T13:38:32.968293
2,662,4,4,5.87,2025-11-24T13:38:39.026710
3,773,1,2,4.35,2025-11-24T13:38:43.562894
4,556,4,4,3.74,2025-11-24T13:38:47.505915
5,768,3,3,4.76,2025-11-24T13:38:52.464468
6,802,3,3,6.63,2025-11-24T13:38:59.353069
7,598,4,4,7.48,2025-11-24T13:39:07.130469
8,70,2,2,4.59,2025-11-24T13:39:11.934629
9,97,3,2,3.79,2025-11-24T13:39:15.911046
10,462,2,5,5.37,2025-11-24T13:39:21.499338
11,428,3,4,3.73,2025-11-24T13:39:25.430503
12,13,1,3,3.32,2025-11-24T13:39:28.948027
13,414,2,2,6.14,2025-11-24T13:39:35.331263
14,550,1,1,8.96,2025-11-24T13:39:44.485380
15,816,1,4,5.36,2025-11-24T13:39:50.056025
16,788,1,4,4.71,2025-11-24T13:39:55.011080
17,317,2,3,2.6,2025-11-24T13:39:57.806075
18,160,2,4,3.15,2025-11-24T13:40:01.174250
19,357,3,3,3.38,2025-11-24T13:40:04.735788
20,423,1,4,6.4,2025-11-24T13:40:11.324734
21,250,3,3,2.88,2025-11-24T13:40:14.402348
22,129,3,5,2.94,2025-11-24T13:40:17.636122
23,349,2,4,5.4,2025-11-24T13:40:23.271816
24,392,1,4,3.36,2025-11-24T13:40:26.869001
25,384,3,4,3.66,2025-11-24T13:40:30.735308
26,502,3,3,3.27,2025-11-24T13:40:34.243818
27,552,4,4,3.89,2025-11-24T13:40:38.348706
28,804,3,3,3.8,2025-11-24T13:40:42.353299
29,654,3,4,2.76,2025-11-24T13:40:45.295848
30,544,2,2,2.86,2025-11-24T13:40:48.405030
31,529,2,3,2.9,2025-11-24T13:40:51.562802
32,89,3,4,3.79,2025-11-24T13:40:55.553070
33,140,2,4,3.85,2025-11-24T13:40:59.601573
34,10,1,5,5.47,2025-11-24T13:41:05.283400
35,433,2,4,4.22,2025-11-24T13:41:09.748139
36,587,3,3,2.88,2025-11-24T13:41:12.808862
37,227,1,2,3.43,2025-11-24T13:41:16.431481
38,430,3,4,3.7,2025-11-24T13:41:20.348466
39,74,2,3,9.37,2025-11-24T13:41:29.899662
40,281,2,3,6.65,2025-11-24T13:41:36.728723
41,799,2,5,5.17,2025-11-24T13:41:42.098591
42,263,2,2,2.43,2025-11-24T13:41:44.714672
43,264,2,3,2.8,2025-11-24T13:41:47.723604
44,29,3,4,3.42,2025-11-24T13:41:51.337039
45,132,1,2,4.15,2025-11-24T13:41:55.676863
46,436,3,3,3.83,2025-11-24T13:41:59.709931
47,708,2,4,3.4,2025-11-24T13:42:03.300441
48,194,2,2,3.82,2025-11-24T13:42:07.311775
49,269,1,4,3.3,2025-11-24T13:42:10.887062
50,254,1,3,4.09,2025-11-24T13:42:15.179314
51,419,3,4,3.48,2025-11-24T13:42:18.845288
52,228,3,3,3.98,2025-11-24T13:42:23.048320
53,229,2,3,3.24,2025-11-24T13:42:26.477881
54,412,2,5,5.13,2025-11-24T13:42:31.813141
55,159,2,4,4.49,2025-11-24T13:42:36.507353
56,162,2,3,2.48,2025-11-24T13:42:39.208661
57,391,3,5,3.89,2025-11-24T13:42:43.296005
58,394,4,4,6.2,2025-11-24T13:42:49.695879
59,266,1,3,2.7,2025-11-24T13:42:52.593595
60,420,3,3,3.64,2025-11-24T13:42:56.452556
61,144,2,5,3.35,2025-11-24T13:42:59.997410
62,145,3,4,3.83,2025-11-24T13:43:04.016125
63,659,1,4,5.19,2025-11-24T13:43:09.407909
64,660,2,4,4.16,2025-11-24T13:43:13.754574
65,31,1,3,3.21,2025-11-24T13:43:17.194503
66,99,2,4,3.85,2025-11-24T13:43:21.247801
67,61,1,3,11.91,2025-11-24T13:43:33.385261
68,37,1,4,3.03,2025-11-24T13:43:36.652058
69,249,4,5,3.25,2025-11-24T13:43:40.105208
70,353,3,4,2.83,2025-11-24T13:43:43.154884
71,329,2,4,2.18,2025-11-24T13:43:45.544541
72,347,3,4,4.62,2025-11-24T13:43:50.366085
73,247,4,4,3.26,2025-11-24T13:43:53.837604
74,809,3,3,2.48,2025-11-24T13:43:56.511164
75,88,3,4,3.46,2025-11-24T13:44:00.166219
76,393,1,4,3.66,2025-11-24T13:44:04.054881
77,100,3,4,5.87,2025-11-24T13:44:10.162094
78,113,3,5,3.71,2025-11-24T13:44:14.065146
79,147,3,4,4.75,2025-11-24T13:44:19.087866
80,397,3,5,4.06,2025-11-24T13:44:23.365475
81,360,3,4,2.51,2025-11-24T13:44:26.092888
82,315,4,3,2.92,2025-11-24T13:44:29.212639
83,307,3,4,3.25,2025-11-24T13:44:32.655274
84,260,2,4,3.2,2025-11-24T13:44:36.064357
85,431,1,5,3.48,2025-11-24T13:44:39.728285
86,212,2,4,4.27,2025-11-24T13:44:44.223965
87,219,4,2,5.11,2025-11-24T13:44:49.515704
88,386,3,4,5.67,2025-11-24T13:44:55.384115
89,330,1,2,2.55,2025-11-24T13:44:58.134731
90,319,1,4,3.29,2025-11-24T13:45:01.628269
91,447,3,4,3.18,2025-11-24T13:45:04.999858
92,442,1,3,3.63,2025-11-24T13:45:08.918344
93,383,2,4,5.93,2025-11-24T13:45:15.047600
94,375,2,3,2.99,2025-11-24T13:45:18.260483
95,292,2,3,2.54,2025-11-24T13:45:21.010445
96,401,4,3,8.7,2025-11-24T13:45:29.896398
97,295,3,3,3.62,2025-11-24T13:45:33.725800
98,493,3,4,3.24,2025-11-24T13:45:37.157666
99,919,1,2,5.87,2025-11-24T13:45:43.232332
100,609,4,4,4.54,2025-11-24T13:45:47.981347
101,569,4,5,5.0,2025-11-24T13:45:53.174377
102,168,3,3,4.17,2025-11-24T13:45:57.562112
103,669,1,5,4.92,2025-11-24T13:46:02.663738
104,395,2,4,3.21,2025-11-24T13:46:06.086166
105,882,1,3,4.27,2025-11-24T13:46:10.554233
106,221,1,4,3.37,2025-11-24T13:46:14.156502
107,54,2,2,3.29,2025-11-24T13:46:17.779369
108,551,3,5,3.14,2025-11-24T13:46:21.107656
109,504,3,3,3.92,2025-11-24T13:46:25.213858
110,913,1,2,3.8,2025-11-24T13:46:29.195794
111,651,4,5,3.64,2025-11-24T13:46:33.036123
112,801,4,4,4.22,2025-11-24T13:46:37.464860
113,626,3,3,3.95,2025-11-24T13:46:41.604453
114,370,2,2,2.73,2025-11-24T13:46:44.532905
115,425,1,5,4.33,2025-11-24T13:46:49.061997
116,543,3,4,3.38,2025-11-24T13:46:52.673316
117,663,3,2,3.38,2025-11-24T13:46:56.263825
118,181,2,1,4.84,2025-11-24T13:47:01.298619
119,510,3,4,3.15,2025-11-24T13:47:04.642483
120,511,2,2,2.62,2025-11-24T13:47:07.455542
121,278,3,3,3.31,2025-11-24T13:47:10.989222
122,24,3,5,4.31,2025-11-24T13:47:15.497793
123,245,2,4,2.61,2025-11-24T13:47:18.397437
124,655,4,3,3.44,2025-11-24T13:47:22.047407
125,231,1,5,4.06,2025-11-24T13:47:26.341363
126,629,1,4,2.92,2025-11-24T13:47:29.468628
127,215,2,2,3.29,2025-11-24T13:47:32.961281
128,441,2,5,5.85,2025-11-24T13:47:39.097006
129,494,3,3,3.12,2025-11-24T13:47:42.625217
130,46,2,4,2.35,2025-11-24T13:47:45.243755
131,287,2,5,2.9,2025-11-24T13:47:48.520952
132,239,1,4,2.32,2025-11-24T13:47:51.209730
133,3,3,2,3.15,2025-11-24T13:47:54.752284
134,93,3,4,2.18,2025-11-24T13:47:57.255818
135,336,1,5,3.99,2025-11-24T13:48:01.543889
136,766,2,3,3.04,2025-11-24T13:48:04.883828
137,379,4,4,3.36,2025-11-24T13:48:08.479196
138,279,3,2,2.69,2025-11-24T13:48:11.371579
139,165,2,4,2.75,2025-11-24T13:48:14.318575
140,86,2,3,2.78,2025-11-24T13:48:17.298771
141,174,3,4,5.27,2025-11-24T13:48:22.859114
142,767,1,5,2.97,2025-11-24T13:48:26.016723
143,805,3,4,4.54,2025-11-24T13:48:30.791838
144,38,3,4,3.44,2025-11-24T13:48:34.472938
145,19,2,2,2.25,2025-11-24T13:48:36.966611
146,123,2,5,4.56,2025-11-24T13:48:41.739247
147,56,2,4,2.27,2025-11-24T13:48:44.235922
148,653,2,2,2.82,2025-11-24T13:48:47.270757
149,94,3,4,2.6,2025-11-24T13:48:50.055459
150,373,2,4,2.68,2025-11-24T13:48:52.961976
