question_num,qid,answer,confidence,time_spent_seconds,answer_timestamp
0,664,2,4,7.22,2025-12-05T22:52:38.228112
1,6,1,1,11.1,2025-12-05T22:52:49.577848
2,662,4,4,7.13,2025-12-05T22:52:57.867512
3,773,1,5,5.45,2025-12-05T22:53:03.778811
4,556,3,4,6.28,2025-12-05T22:53:10.388527
5,768,3,3,11.28,2025-12-05T22:53:21.947693
6,802,3,3,11.87,2025-12-05T22:53:34.072092
7,598,4,5,13.07,2025-12-05T22:53:47.374687
8,70,3,5,17.29,2025-12-05T22:54:04.905905
9,97,1,5,4.93,2025-12-05T22:54:10.118235
10,462,2,5,7.47,2025-12-05T22:54:17.857744
11,428,3,4,6.65,2025-12-05T22:54:25.382142
12,13,1,4,5.29,2025-12-05T22:54:30.922143
13,414,2,5,5.79,2025-12-05T22:54:37.007848
14,550,4,3,16.23,2025-12-05T22:54:53.819777
15,816,1,4,9.0,2025-12-05T22:55:03.091352
16,788,3,4,7.92,2025-12-05T22:55:11.283147
17,317,4,5,5.76,2025-12-05T22:55:17.372163
18,160,1,4,5.24,2025-12-05T22:55:22.870396
19,357,3,5,5.41,2025-12-05T22:55:28.513950
20,423,3,5,11.9,2025-12-05T22:55:41.302492
21,250,3,3,5.9,2025-12-05T22:55:47.509814
22,129,4,5,7.21,2025-12-05T22:55:55.069403
23,349,1,5,48.35,2025-12-05T22:56:43.664277
24,392,1,5,5.41,2025-12-05T22:56:49.361170
25,384,4,5,5.0,2025-12-05T22:56:54.613438
26,502,1,4,7.8,2025-12-05T22:57:02.675334
27,552,4,5,4.28,2025-12-05T22:57:07.205056
28,804,1,1,10.3,2025-12-05T22:57:17.798896
29,654,3,2,6.38,2025-12-05T22:57:24.470286
30,544,4,5,6.46,2025-12-05T22:57:31.250948
31,529,1,5,6.9,2025-12-05T22:57:38.453817
32,89,4,5,15.3,2025-12-05T22:57:54.066267
33,140,3,4,10.5,2025-12-05T22:58:04.859471
34,10,1,5,5.6,2025-12-05T22:58:10.753156
35,433,2,5,5.71,2025-12-05T22:58:16.726762
36,587,2,5,5.11,2025-12-05T22:58:22.147927
37,227,1,4,10.58,2025-12-05T22:58:32.985542
38,430,2,1,13.28,2025-12-05T22:58:46.529852
39,74,1,4,7.18,2025-12-05T22:58:54.602720
40,281,4,3,4.72,2025-12-05T22:58:59.617270
41,799,2,4,15.31,2025-12-05T22:59:15.789608
42,263,3,2,11.2,2025-12-05T22:59:27.277859
43,264,3,1,6.29,2025-12-05T22:59:34.447357
44,29,2,5,7.88,2025-12-05T22:59:42.590731
45,132,3,1,23.51,2025-12-05T23:00:06.948291
46,436,3,4,8.65,2025-12-05T23:00:15.918244
47,708,2,5,4.9,2025-12-05T23:00:21.075302
48,194,3,1,8.74,2025-12-05T23:00:30.091419
49,269,3,4,5.71,2025-12-05T23:00:36.054309
50,254,3,3,6.58,2025-12-05T23:00:42.926574
51,419,2,4,14.77,2025-12-05T23:00:58.020922
52,228,1,4,9.03,2025-12-05T23:01:07.324718
53,229,3,1,7.69,2025-12-05T23:01:15.279801
54,412,4,1,11.97,2025-12-05T23:01:27.567735
55,159,2,1,8.2,2025-12-05T23:01:36.708120
56,162,1,4,5.65,2025-12-05T23:01:42.659135
57,391,3,5,4.42,2025-12-05T23:01:47.462088
58,394,1,1,26.67,2025-12-05T23:02:14.390121
59,266,2,4,4.88,2025-12-05T23:02:20.165787
60,420,4,4,6.42,2025-12-05T23:02:26.858838
61,144,2,5,8.74,2025-12-05T23:02:35.858466
62,145,4,5,8.65,2025-12-05T23:02:44.817342
63,659,3,4,6.99,2025-12-05T23:02:52.387534
64,660,2,5,4.38,2025-12-05T23:02:57.047238
65,31,3,5,5.33,2025-12-05T23:03:02.695138
66,99,2,5,5.14,2025-12-05T23:03:08.098147
67,61,1,5,28.68,2025-12-05T23:03:37.241156
68,37,1,5,6.33,2025-12-05T23:03:43.928255
69,249,2,5,4.71,2025-12-05T23:04:41.830735
70,353,4,5,4.8,2025-12-05T23:04:46.892555
71,329,2,4,5.57,2025-12-05T23:04:52.732046
72,347,3,5,5.79,2025-12-05T23:04:58.778994
73,247,3,3,9.64,2025-12-05T23:05:08.680585
74,809,4,4,6.65,2025-12-05T23:05:15.566557
75,88,2,5,3.49,2025-12-05T23:05:19.307698
76,393,2,5,5.23,2025-12-05T23:05:24.780582
77,100,3,4,8.35,2025-12-05T23:05:33.383192
78,113,3,5,6.62,2025-12-05T23:05:40.252599
79,147,3,4,7.27,2025-12-05T23:05:47.780344
80,397,1,5,2.64,2025-12-05T23:05:50.670246
81,360,3,5,3.34,2025-12-05T23:05:54.254581
82,315,4,5,4.06,2025-12-05T23:05:58.530601
83,307,2,4,6.64,2025-12-05T23:06:05.440340
84,260,2,2,7.2,2025-12-05T23:06:12.902707
85,431,2,3,4.39,2025-12-05T23:06:17.547661
86,212,2,5,7.53,2025-12-05T23:06:25.347788
87,219,1,1,4.36,2025-12-05T23:06:29.978007
88,386,4,5,11.97,2025-12-05T23:06:42.248486
89,330,4,1,5.33,2025-12-05T23:06:47.825297
90,319,1,5,7.4,2025-12-05T23:06:55.477107
91,447,1,1,7.26,2025-12-05T23:07:03.018103
92,442,1,5,5.0,2025-12-05T23:07:08.327364
93,383,4,5,5.66,2025-12-05T23:07:14.266798
94,375,2,5,7.34,2025-12-05T23:07:21.859397
95,292,4,5,2.87,2025-12-05T23:07:24.978888
96,401,1,4,9.17,2025-12-05T23:07:34.407418
97,295,2,5,4.28,2025-12-05T23:07:38.954916
98,493,1,5,9.78,2025-12-05T23:07:49.008182
99,919,4,5,5.74,2025-12-05T23:07:55.016383
100,609,1,5,7.5,2025-12-05T23:08:02.785031
101,569,3,2,9.65,2025-12-05T23:08:12.697880
102,168,4,5,4.55,2025-12-05T23:08:17.514439
103,669,1,5,9.73,2025-12-05T23:08:27.499281
104,395,3,5,10.55,2025-12-05T23:08:38.295189
105,882,2,2,10.47,2025-12-05T23:08:49.015120
106,221,1,5,5.64,2025-12-05T23:08:54.934335
107,54,4,5,4.84,2025-12-05T23:09:00.016910
108,551,1,5,8.83,2025-12-05T23:09:09.102176
109,504,1,5,9.18,2025-12-05T23:09:18.556292
110,913,4,2,10.97,2025-12-05T23:09:29.771384
111,651,3,5,6.18,2025-12-05T23:09:36.210083
112,801,3,5,10.97,2025-12-05T23:09:47.420478
113,626,1,5,5.48,2025-12-05T23:09:53.175610
114,370,1,4,4.83,2025-12-05T23:09:58.273636
115,425,2,5,5.53,2025-12-05T23:10:04.052238
116,543,4,5,3.62,2025-12-05T23:10:07.927453
117,663,2,5,7.41,2025-12-05T23:10:15.593092
118,181,1,5,6.9,2025-12-05T23:10:22.745960
119,510,1,5,6.48,2025-12-05T23:10:29.483038
120,511,1,5,3.81,2025-12-05T23:10:33.560133
121,278,2,5,5.99,2025-12-05T23:10:39.831573
122,24,3,5,7.66,2025-12-05T23:10:47.740406
123,245,1,3,4.97,2025-12-05T23:10:52.972917
124,655,4,5,3.84,2025-12-05T23:10:57.087904
125,231,1,5,7.56,2025-12-05T23:11:04.907575
126,629,4,2,7.71,2025-12-05T23:11:12.870333
127,215,4,5,6.9,2025-12-05T23:11:20.019726
128,441,3,5,4.88,2025-12-05T23:11:25.154777
129,494,3,3,13.36,2025-12-05T23:11:38.787395
130,46,1,3,4.42,2025-12-05T23:11:43.470964
131,287,4,5,3.39,2025-12-05T23:11:47.171921
132,239,4,5,4.74,2025-12-05T23:11:52.156954
133,3,4,5,4.07,2025-12-05T23:11:56.477732
134,93,3,5,3.63,2025-12-05T23:12:00.370401
135,336,3,5,6.22,2025-12-05T23:12:06.865868
136,766,1,5,6.37,2025-12-05T23:12:13.485290
137,379,1,3,9.08,2025-12-05T23:12:22.804434
138,279,1,1,10.49,2025-12-05T23:12:33.549780
139,165,1,3,6.2,2025-12-05T23:12:39.991742
140,86,3,4,6.11,2025-12-05T23:12:46.358292
141,174,2,3,3.82,2025-12-05T23:12:50.430589
142,767,4,5,5.16,2025-12-05T23:12:55.829887
143,805,3,5,9.24,2025-12-05T23:13:05.317134
144,38,1,5,5.08,2025-12-05T23:13:10.635470
145,19,3,5,3.31,2025-12-05T23:13:14.186258
146,123,1,5,3.11,2025-12-05T23:13:17.557959
147,56,4,5,3.55,2025-12-05T23:13:21.365535
148,653,3,5,3.33,2025-12-05T23:13:24.950528
149,94,3,5,5.03,2025-12-05T23:13:30.228413
150,373,1,3,5.01,2025-12-05T23:13:35.485062
151,33,2,4,7.49,2025-12-05T23:13:43.228243
152,92,1,5,4.25,2025-12-05T23:13:47.758224
153,378,4,1,10.8,2025-12-05T23:13:58.818422
154,410,2,5,9.07,2025-12-05T23:14:08.168091
155,55,2,5,6.26,2025-12-05T23:14:14.679563
156,368,1,5,6.14,2025-12-05T23:14:21.088000
157,333,3,5,4.1,2025-12-05T23:14:25.453256
158,306,4,5,5.97,2025-12-05T23:14:31.662065
159,359,2,5,3.14,2025-12-05T23:14:35.047371
160,180,1,5,2.64,2025-12-05T23:14:37.957927
161,405,1,4,7.42,2025-12-05T23:14:45.662915
162,48,1,5,2.5,2025-12-05T23:14:48.417939
163,652,3,5,2.42,2025-12-05T23:14:51.118286
164,771,2,2,7.26,2025-12-05T23:14:58.688570
165,885,2,3,9.22,2025-12-05T23:15:08.175043
166,490,4,5,6.21,2025-12-05T23:15:14.670281
167,515,1,1,12.53,2025-12-05T23:15:27.486011
168,39,2,5,6.65,2025-12-05T23:15:34.400956
169,138,1,5,4.43,2025-12-05T23:15:39.090954
170,226,1,5,4.76,2025-12-05T23:15:44.112492
171,498,3,5,8.15,2025-12-05T23:15:52.521371
172,341,3,4,12.58,2025-12-05T23:16:05.363264
173,721,1,1,11.52,2025-12-05T23:16:17.151620
174,594,1,2,12.58,2025-12-05T23:16:29.998377
175,813,3,1,14.99,2025-12-05T23:16:45.243368
176,588,3,5,3.08,2025-12-05T23:16:48.575885
177,151,2,5,7.53,2025-12-05T23:16:56.352165
178,214,1,5,6.36,2025-12-05T23:17:02.950821
179,119,4,4,6.84,2025-12-05T23:17:10.029926
180,472,1,5,4.34,2025-12-05T23:17:14.640807
181,193,3,3,6.86,2025-12-05T23:17:21.761209
182,95,1,5,3.82,2025-12-05T23:17:25.842842
183,898,1,1,8.41,2025-12-05T23:17:34.512307
184,437,3,5,15.88,2025-12-05T23:17:50.682104
185,296,4,2,5.13,2025-12-05T23:17:56.055523
186,169,4,5,5.59,2025-12-05T23:18:01.888321
187,627,4,5,14.51,2025-12-05T23:18:16.670697
188,334,1,3,6.26,2025-12-05T23:18:23.232263
189,499,2,1,15.79,2025-12-05T23:18:39.357529
190,171,4,5,4.07,2025-12-05T23:18:43.690414
191,724,4,5,7.96,2025-12-05T23:18:51.902548
192,305,2,5,2.69,2025-12-05T23:18:54.857544
193,75,4,5,4.13,2025-12-05T23:18:59.287148
194,149,4,5,9.03,2025-12-05T23:19:08.561549
195,11,1,5,4.53,2025-12-05T23:19:13.377611
196,277,3,5,6.2,2025-12-05T23:19:19.847766
197,81,4,5,8.9,2025-12-05T23:19:29.016847
198,624,3,1,9.02,2025-12-05T23:19:38.290566
199,34,3,5,6.32,2025-12-05T23:19:44.887739
200,415,4,3,5.41,2025-12-05T23:19:50.583846
201,810,1,5,9.57,2025-12-05T23:20:00.407254
202,553,1,1,7.6,2025-12-05T23:20:08.259944
203,808,2,5,4.85,2025-12-05T23:20:13.377118
204,585,1,3,5.32,2025-12-05T23:20:18.955443
205,274,3,3,5.25,2025-12-05T23:20:24.455988
206,304,2,5,5.18,2025-12-05T23:20:29.881569
207,348,3,5,15.36,2025-12-05T23:20:45.493370
208,567,2,5,8.52,2025-12-05T23:20:54.297309
209,150,1,3,4.75,2025-12-05T23:20:59.288334
210,146,4,5,8.17,2025-12-05T23:21:07.725430
211,21,1,5,2.16,2025-12-05T23:21:10.144903
212,308,2,5,2.8,2025-12-05T23:21:13.206798
213,141,3,3,6.81,2025-12-05T23:21:20.287457
214,568,3,2,5.42,2025-12-05T23:21:25.980676
215,14,3,5,3.49,2025-12-05T23:21:29.748596
216,910,1,5,3.03,2025-12-05T23:21:33.028040
217,560,2,3,7.85,2025-12-05T23:21:41.146693
218,27,1,4,5.88,2025-12-05T23:21:47.295236
219,167,4,3,8.26,2025-12-05T23:21:55.820941
220,532,4,1,17.9,2025-12-05T23:22:13.970860
221,17,3,5,3.16,2025-12-05T23:22:17.424726
222,526,4,5,18.1,2025-12-05T23:22:35.798059
223,142,3,3,5.97,2025-12-05T23:22:42.016154
224,426,3,5,9.28,2025-12-05T23:22:51.563679
225,109,4,3,5.88,2025-12-05T23:22:57.738325
226,793,1,4,4.49,2025-12-05T23:23:02.542695
227,241,2,3,6.14,2025-12-05T23:23:08.969738
228,197,2,3,3.53,2025-12-05T23:23:12.737546
229,84,1,5,3.39,2025-12-05T23:23:16.435611
230,335,1,1,6.46,2025-12-05T23:23:23.144842
231,265,3,4,10.73,2025-12-05T23:23:34.144085
232,921,3,4,6.57,2025-12-05T23:23:40.987524
233,477,1,5,6.65,2025-12-05T23:23:47.913745
234,486,1,3,5.33,2025-12-05T23:23:53.514852
235,128,2,4,3.32,2025-12-05T23:23:57.085148
236,156,3,4,10.55,2025-12-05T23:24:07.887620
237,301,4,5,3.12,2025-12-05T23:24:11.289682
238,325,4,5,4.62,2025-12-05T23:24:16.173213
