question_num,qid,answer,confidence,time_spent_seconds,answer_timestamp
0,664,1,2,50.15,2025-12-09T12:10:33.891007
1,6,2,2,13.12,2025-12-09T12:10:47.901826
2,662,2,4,7.45,2025-12-09T12:10:56.321951
3,773,3,3,6.5,2025-12-09T12:11:03.703228
4,556,4,3,10.39,2025-12-09T12:11:15.131175
5,768,3,2,24.68,2025-12-09T12:11:41.085464
6,802,2,3,10.45,2025-12-09T12:11:52.363182
7,598,4,4,14.81,2025-12-09T12:12:07.989965
8,70,2,1,15.78,2025-12-09T12:12:24.661362
9,97,1,1,5.59,2025-12-09T12:12:31.227571
10,462,1,2,8.4,2025-12-09T12:12:40.500891
11,428,3,1,7.4,2025-12-09T12:12:48.750263
12,13,1,1,6.82,2025-12-09T12:12:56.504158
13,414,1,2,16.62,2025-12-09T12:13:13.934404
14,550,2,1,15.65,2025-12-09T12:13:30.574407
15,816,3,4,6.54,2025-12-09T12:13:37.971880
16,788,2,1,12.23,2025-12-09T12:13:51.110773
17,317,2,1,3.6,2025-12-09T12:13:55.780534
18,160,2,2,7.72,2025-12-09T12:14:04.580858
19,357,2,3,4.77,2025-12-09T12:14:10.716557
20,423,1,1,9.94,2025-12-09T12:14:21.714207
21,250,2,2,5.52,2025-12-09T12:14:28.215448
22,129,3,1,5.53,2025-12-09T12:14:34.691442
23,349,4,3,15.02,2025-12-09T12:14:50.810579
24,392,2,1,12.14,2025-12-09T12:15:05.975985
25,384,4,1,4.11,2025-12-09T12:15:11.685993
26,502,2,2,10.56,2025-12-09T12:15:23.670708
27,552,2,2,12.94,2025-12-09T12:15:38.839881
28,804,1,1,6.53,2025-12-09T12:15:46.818542
29,654,4,1,6.26,2025-12-09T12:15:55.371490
30,544,4,1,6.21,2025-12-09T12:16:03.206231
31,529,1,1,14.45,2025-12-09T12:16:19.251876
32,89,1,1,13.65,2025-12-09T12:16:34.370554
33,140,1,1,11.88,2025-12-09T12:16:47.870236
34,10,1,3,30.48,2025-12-09T12:17:19.465776
35,433,2,4,11.85,2025-12-09T12:17:32.893859
36,587,2,3,7.14,2025-12-09T12:17:41.140124
37,227,2,4,19.16,2025-12-09T12:18:01.238696
38,430,3,4,6.82,2025-12-09T12:18:09.576087
39,74,2,3,6.82,2025-12-09T12:18:17.300783
40,281,3,1,4.18,2025-12-09T12:18:22.497718
41,799,2,3,7.11,2025-12-09T12:18:31.187687
42,263,2,3,11.18,2025-12-09T12:18:43.644564
43,264,1,3,11.28,2025-12-09T12:18:56.053038
44,29,2,3,10.63,2025-12-09T12:19:07.882587
45,132,1,4,19.09,2025-12-09T12:19:28.004600
46,436,3,4,6.59,2025-12-09T12:19:35.185638
47,708,3,3,7.29,2025-12-09T12:19:43.392467
48,194,1,3,7.89,2025-12-09T12:19:51.758733
49,269,4,3,6.68,2025-12-09T12:19:59.044686
50,254,3,3,3.96,2025-12-09T12:20:03.720635
