question_num,qid,answer,confidence,time_spent_seconds,answer_timestamp
0,664,2,2,43.65,2025-12-10T23:36:50.472508
1,6,2,2,14.87,2025-12-10T23:37:05.636945
2,662,2,3,7.08,2025-12-10T23:37:13.014208
3,773,4,3,6.93,2025-12-10T23:37:20.158822
4,556,3,3,6.53,2025-12-10T23:37:27.007050
5,768,3,2,9.73,2025-12-10T23:37:37.027610
6,802,2,2,19.38,2025-12-10T23:37:56.767365
7,598,4,3,11.57,2025-12-10T23:38:08.662317
8,70,3,3,13.8,2025-12-10T23:38:22.794133
9,97,1,3,9.44,2025-12-10T23:38:32.511017
10,462,2,3,9.52,2025-12-10T23:38:42.289347
11,428,2,4,5.7,2025-12-10T23:38:48.356614
12,13,1,3,4.74,2025-12-10T23:38:53.409783
13,414,1,3,6.7,2025-12-10T23:39:00.344725
14,550,4,3,17.23,2025-12-10T23:39:17.885765
15,816,2,3,12.13,2025-12-10T23:39:30.316592
16,788,3,2,11.37,2025-12-10T23:39:41.966203
17,317,2,2,5.23,2025-12-10T23:39:47.470590
18,160,2,2,6.72,2025-12-10T23:39:54.470221
19,357,2,3,9.95,2025-12-10T23:40:04.767856
20,423,4,4,13.07,2025-12-10T23:40:18.234847
21,250,4,4,5.66,2025-12-10T23:40:24.263384
22,129,1,3,6.64,2025-12-10T23:40:31.144980
23,349,1,4,19.24,2025-12-10T23:40:50.711063
24,392,1,4,6.31,2025-12-10T23:40:57.347992
25,384,4,4,7.23,2025-12-10T23:41:04.911213
26,502,1,1,13.16,2025-12-10T23:41:18.357247
27,552,4,2,11.44,2025-12-10T23:41:30.077973
28,804,1,1,8.29,2025-12-10T23:41:38.651901
29,654,2,2,5.62,2025-12-10T23:41:44.581444
30,544,1,2,15.05,2025-12-10T23:41:59.939705
31,529,2,3,9.11,2025-12-10T23:42:09.431531
32,89,2,1,25.44,2025-12-10T23:42:35.243463
33,140,1,2,5.06,2025-12-10T23:42:40.533845
34,10,1,2,3.71,2025-12-10T23:42:44.569079
35,433,2,3,6.71,2025-12-10T23:42:51.542165
36,587,2,3,5.37,2025-12-10T23:42:57.208847
37,227,1,1,13.47,2025-12-10T23:43:11.081310
38,430,4,3,8.27,2025-12-10T23:43:19.857088
39,74,1,1,5.7,2025-12-10T23:43:25.866110
40,281,1,2,8.65,2025-12-10T23:43:34.806526
41,799,3,1,11.67,2025-12-10T23:43:46.781192
42,263,1,2,12.38,2025-12-10T23:43:59.538601
43,264,4,3,6.28,2025-12-10T23:44:06.166967
44,29,2,1,7.17,2025-12-10T23:44:13.641296
45,132,2,3,28.02,2025-12-10T23:44:42.071890
46,436,1,4,8.59,2025-12-10T23:44:50.953324
47,708,2,1,11.61,2025-12-10T23:45:02.862413
48,194,1,2,7.3,2025-12-10T23:45:10.398863
49,269,1,3,3.73,2025-12-10T23:45:14.511704
50,254,3,2,7.44,2025-12-10T23:45:22.179129
51,419,2,2,8.74,2025-12-10T23:45:31.219278
52,228,1,4,6.42,2025-12-10T23:45:37.931166
53,229,1,2,9.16,2025-12-10T23:45:47.395117
54,412,1,3,6.63,2025-12-10T23:45:54.333157
55,159,2,1,9.41,2025-12-10T23:46:04.037590
56,162,2,2,9.4,2025-12-10T23:46:13.727940
57,391,3,4,5.42,2025-12-10T23:46:19.373110
58,394,1,3,14.02,2025-12-10T23:46:33.691072
59,266,2,3,3.71,2025-12-10T23:46:37.606841
60,420,4,4,4.89,2025-12-10T23:46:42.721367
61,144,1,2,13.32,2025-12-10T23:46:56.348320
62,145,3,3,5.55,2025-12-10T23:47:02.100549
63,659,3,3,6.15,2025-12-10T23:47:08.539580
64,660,2,4,5.89,2025-12-10T23:47:14.735581
65,31,3,4,4.53,2025-12-10T23:47:19.469768
66,99,2,4,3.85,2025-12-10T23:47:23.630954
67,61,1,2,8.68,2025-12-10T23:47:32.536977
68,37,1,3,6.04,2025-12-10T23:47:38.879783
69,249,3,2,8.53,2025-12-10T23:47:47.718893
70,353,2,2,6.0,2025-12-10T23:47:54.015730
71,329,2,2,3.83,2025-12-10T23:47:58.055501
72,347,3,3,5.23,2025-12-10T23:48:03.608422
73,247,3,2,7.26,2025-12-10T23:48:11.074522
74,809,3,1,12.24,2025-12-10T23:48:23.646032
75,88,1,3,4.29,2025-12-10T23:48:28.148645
76,393,2,4,8.99,2025-12-10T23:48:37.559353
77,100,1,2,10.8,2025-12-10T23:48:48.684212
78,113,2,3,13.26,2025-12-10T23:49:02.231809
79,147,1,2,4.96,2025-12-10T23:49:07.528642
80,397,2,3,4.05,2025-12-10T23:49:11.771737
81,360,3,4,8.51,2025-12-10T23:49:20.588134
82,315,4,4,4.57,2025-12-10T23:49:25.452476
83,307,2,4,5.21,2025-12-10T23:49:30.866418
84,260,2,4,7.34,2025-12-10T23:49:38.485154
85,431,2,4,4.53,2025-12-10T23:49:43.286465
86,212,2,4,4.94,2025-12-10T23:49:48.419198
87,219,1,2,5.58,2025-12-10T23:49:54.299432
88,386,4,1,9.8,2025-12-10T23:50:04.376111
89,330,3,4,7.75,2025-12-10T23:50:12.332299
90,319,1,4,3.44,2025-12-10T23:50:16.077875
91,447,1,1,4.69,2025-12-10T23:50:20.974313
