question_num,qid,answer,confidence,time_spent_seconds,answer_timestamp
0,664,3,5,17.21,2025-12-04T12:58:47.945108
1,6,4,5,12.11,2025-12-04T12:59:00.251134
2,662,4,5,7.21,2025-12-04T12:59:07.702157
3,773,3,4,8.02,2025-12-04T12:59:15.936865
4,556,2,5,5.18,2025-12-04T12:59:21.395969
5,768,2,2,13.76,2025-12-04T12:59:35.380849
6,802,1,4,9.94,2025-12-04T12:59:45.564770
7,598,3,4,18.51,2025-12-04T13:00:04.344822
8,70,4,3,22.3,2025-12-04T13:00:26.854613
9,97,4,1,4.23,2025-12-04T13:00:31.273851
10,462,2,4,8.37,2025-12-04T13:00:39.853974
11,428,3,3,5.88,2025-12-04T13:00:45.929398
12,13,1,3,6.56,2025-12-04T13:00:52.696202
13,414,3,3,2.08,2025-12-04T13:00:55.045907
14,550,4,2,8.42,2025-12-04T13:01:03.774695
15,816,3,3,50.62,2025-12-04T13:01:54.866530
16,788,3,3,126.39,2025-12-04T13:04:01.468623
17,317,1,3,5.37,2025-12-04T13:04:07.050647
18,160,2,3,10.7,2025-12-04T13:04:17.964492
19,357,2,4,74.24,2025-12-04T13:05:32.425911
20,423,1,4,21.77,2025-12-04T13:05:54.410373
21,250,4,3,8.96,2025-12-04T13:06:03.587633
22,129,4,3,7.06,2025-12-04T13:06:10.886568
23,349,3,4,5.26,2025-12-04T13:06:16.338327
24,392,4,4,4.68,2025-12-04T13:06:21.215824
25,384,3,3,4.82,2025-12-04T13:06:26.237475
26,502,3,3,6.99,2025-12-04T13:06:33.416646
27,552,2,1,3.66,2025-12-04T13:06:37.290211
28,804,2,5,31.5,2025-12-04T13:07:08.975053
29,654,1,3,7.78,2025-12-04T13:07:16.948632
30,544,4,3,16.69,2025-12-04T13:07:33.834656
31,529,2,2,65.01,2025-12-04T13:08:39.032297
32,89,4,3,33.36,2025-12-04T13:09:12.586786
33,140,2,3,102.75,2025-12-04T13:10:55.545720
34,10,4,3,21.39,2025-12-04T13:11:17.177752
35,433,2,3,11.14,2025-12-04T13:11:28.515525
36,587,4,3,4.02,2025-12-04T13:11:32.747233
37,227,1,3,28.55,2025-12-04T13:12:01.503361
38,430,3,3,5.22,2025-12-04T13:12:06.921225
39,74,2,3,2.48,2025-12-04T13:12:09.598642
40,281,3,3,1.65,2025-12-04T13:12:11.445510
41,799,3,3,1.65,2025-12-04T13:12:13.291527
42,263,2,3,2.15,2025-12-04T13:12:15.636625
43,264,3,3,2.04,2025-12-04T13:12:17.894922
44,29,2,3,1.42,2025-12-04T13:12:19.513541
45,132,1,3,1.2,2025-12-04T13:12:20.923006
46,436,3,3,1.96,2025-12-04T13:12:23.075645
47,708,3,3,1.49,2025-12-04T13:12:24.755695
48,194,2,3,1.43,2025-12-04T13:12:26.399378
49,269,2,3,1.66,2025-12-04T13:12:28.257543
50,254,3,3,2.18,2025-12-04T13:12:30.666838
51,419,2,3,1.17,2025-12-04T13:12:32.047477
52,228,3,3,2.52,2025-12-04T13:12:34.794763
53,229,2,3,1.36,2025-12-04T13:12:36.345265
54,412,4,3,1.44,2025-12-04T13:12:37.995259
55,159,2,3,2.35,2025-12-04T13:12:40.540169
56,162,2,3,1.44,2025-12-04T13:12:42.183744
57,391,3,3,1.09,2025-12-04T13:12:43.494919
58,394,3,3,1.73,2025-12-04T13:12:45.452799
59,266,4,3,1.22,2025-12-04T13:12:46.887266
60,420,3,3,1.05,2025-12-04T13:12:48.145591
61,144,2,3,2.4,2025-12-04T13:12:50.758438
62,145,2,3,1.28,2025-12-04T13:12:52.246462
63,659,3,3,1.26,2025-12-04T13:12:53.718006
64,660,3,3,1.54,2025-12-04T13:12:55.466487
65,31,3,3,1.14,2025-12-04T13:12:56.827813
66,99,2,3,0.92,2025-12-04T13:12:57.947441
67,61,3,3,1.93,2025-12-04T13:13:00.083442
68,37,2,3,1.62,2025-12-04T13:13:01.941709
69,249,4,3,1.01,2025-12-04T13:13:03.167109
70,353,3,3,2.75,2025-12-04T13:13:06.126016
71,329,2,3,1.29,2025-12-04T13:13:07.603977
72,347,2,3,1.46,2025-12-04T13:13:09.302402
73,247,2,3,1.47,2025-12-04T13:13:10.987120
74,809,3,3,1.62,2025-12-04T13:13:12.804759
75,88,3,3,1.87,2025-12-04T13:13:14.885176
76,393,2,3,1.99,2025-12-04T13:13:17.076865
77,100,2,3,2.92,2025-12-04T13:13:20.202273
78,113,2,3,2.02,2025-12-04T13:13:22.425822
79,147,3,3,2.09,2025-12-04T13:13:24.722425
80,397,3,2,4.5,2025-12-04T13:13:29.416947
81,360,2,4,2.39,2025-12-04T13:13:32.010068
82,315,3,4,1.66,2025-12-04T13:13:33.869649
83,307,2,2,1.76,2025-12-04T13:13:35.833328
84,260,2,4,1.51,2025-12-04T13:13:37.588404
85,431,2,3,1.59,2025-12-04T13:13:39.384312
86,212,2,2,2.25,2025-12-04T13:13:41.843792
87,219,2,4,1.45,2025-12-04T13:13:43.480242
88,386,2,3,1.59,2025-12-04T13:13:45.267515
89,330,3,2,1.2,2025-12-04T13:13:46.669141
90,319,3,4,1.09,2025-12-04T13:13:47.977691
91,447,3,4,1.23,2025-12-04T13:13:49.403394
92,442,2,4,1.39,2025-12-04T13:13:50.990917
93,383,2,2,1.9,2025-12-04T13:13:53.095318
94,375,2,5,3.08,2025-12-04T13:13:56.366098
95,292,4,4,2.99,2025-12-04T13:13:59.557143
96,401,3,3,11.67,2025-12-04T13:14:11.447669
97,295,3,3,3.12,2025-12-04T13:14:14.785776
98,493,2,4,273.74,2025-12-04T13:18:48.721961
99,919,3,3,11.05,2025-12-04T13:18:59.967932
100,609,1,3,3.12,2025-12-04T13:19:03.294819
101,569,2,4,3.01,2025-12-04T13:19:06.503550
102,168,1,3,2.46,2025-12-04T13:19:09.173085
103,669,2,3,3.75,2025-12-04T13:19:13.117342
104,395,2,3,1.55,2025-12-04T13:19:14.868207
105,882,3,3,555.59,2025-12-04T13:28:30.848954
106,221,2,2,1.8,2025-12-04T13:28:32.851257
107,54,3,3,1.16,2025-12-04T13:28:34.203111
108,551,2,2,1.37,2025-12-04T13:28:35.770670
109,504,4,3,1.03,2025-12-04T13:28:37.027485
110,913,2,2,1.82,2025-12-04T13:28:39.036888
111,651,3,3,1.56,2025-12-04T13:28:40.794310
112,801,2,3,1.26,2025-12-04T13:28:42.357804
113,626,3,2,3.13,2025-12-04T13:28:45.685150
114,370,2,2,1.82,2025-12-04T13:28:47.709463
115,425,2,3,1.24,2025-12-04T13:28:49.158051
116,543,2,3,1.09,2025-12-04T13:28:50.443283
117,663,3,2,2.38,2025-12-04T13:28:53.018908
118,181,2,3,2.67,2025-12-04T13:28:55.889405
119,510,2,4,1.54,2025-12-04T13:28:57.648680
