question_num,qid,answer,confidence,time_spent_seconds,answer_timestamp
0,664,1,5,10.7,2025-12-02T10:01:07.650916
1,6,2,3,15.93,2025-12-02T10:01:23.837397
2,662,1,4,16.8,2025-12-02T10:01:40.893680
3,773,3,4,8.03,2025-12-02T10:01:49.118679
4,556,3,4,7.98,2025-12-02T10:01:57.293076
5,768,1,4,9.69,2025-12-02T10:02:07.192713
6,802,2,4,13.82,2025-12-02T10:02:21.236546
7,598,4,4,42.06,2025-12-02T10:03:03.515328
8,70,4,5,20.89,2025-12-02T10:03:24.714758
9,97,1,4,8.63,2025-12-02T10:03:33.661228
10,462,4,5,10.0,2025-12-02T10:03:44.080571
11,428,1,4,5.11,2025-12-02T10:03:49.421517
12,13,4,4,4.1,2025-12-02T10:03:53.740595
13,414,2,4,12.87,2025-12-02T10:04:06.828195
14,550,1,4,30.03,2025-12-02T10:04:37.068688
15,816,3,3,9.82,2025-12-02T10:04:47.101516
16,788,3,4,6.78,2025-12-02T10:04:54.091268
17,317,1,4,4.28,2025-12-02T10:04:58.623626
18,160,2,4,3.86,2025-12-02T10:05:02.680348
19,357,3,4,7.43,2025-12-02T10:05:10.325290
20,423,3,4,10.29,2025-12-02T10:05:20.822623
21,250,1,4,4.61,2025-12-02T10:05:25.669206
22,129,1,4,17.83,2025-12-02T10:05:43.789024
23,349,4,4,6.48,2025-12-02T10:05:50.494354
24,392,4,4,6.43,2025-12-02T10:05:57.130861
25,384,1,4,6.7,2025-12-02T10:06:04.035741
26,502,2,4,92.65,2025-12-02T10:07:36.936238
27,552,1,4,6.92,2025-12-02T10:07:44.069368
28,804,3,4,8.35,2025-12-02T10:07:52.629649
29,654,3,4,8.46,2025-12-02T10:08:01.315390
30,544,4,4,5.56,2025-12-02T10:08:07.087135
31,529,1,4,33.32,2025-12-02T10:08:40.609003
32,89,3,5,35.05,2025-12-02T10:09:15.877780
33,140,4,4,11.3,2025-12-02T10:09:27.377594
34,10,1,4,3.13,2025-12-02T10:09:30.719594
35,433,2,4,4.72,2025-12-02T10:09:35.686674
36,587,1,4,3.44,2025-12-02T10:09:39.340934
37,227,2,4,5.32,2025-12-02T10:09:44.867862
38,430,4,4,15.38,2025-12-02T10:10:00.487757
39,74,1,4,11.99,2025-12-02T10:10:12.673699
40,281,2,4,2.3,2025-12-02T10:10:15.198969
