question_num,qid,answer,confidence,time_spent_seconds,answer_timestamp
0,664,2,3,78.43,2025-12-10T23:03:36.276934
1,6,1,4,6.47,2025-12-10T23:03:42.942345
2,662,4,4,6.1,2025-12-10T23:03:49.211841
3,773,2,3,9.37,2025-12-10T23:03:58.779434
4,556,4,4,6.99,2025-12-10T23:04:05.954966
5,768,1,2,7.62,2025-12-10T23:04:13.752250
6,802,2,2,19.82,2025-12-10T23:04:33.738537
7,598,4,4,16.18,2025-12-10T23:04:50.084311
8,70,2,4,4.5,2025-12-10T23:04:54.790128
9,97,3,3,4.62,2025-12-10T23:04:59.599706
10,462,2,5,13.97,2025-12-10T23:05:13.740188
11,428,3,4,6.68,2025-12-10T23:05:20.587813
12,13,1,3,6.98,2025-12-10T23:05:27.734051
13,414,1,4,4.67,2025-12-10T23:05:32.619308
14,550,2,4,9.61,2025-12-10T23:05:42.411761
15,816,3,4,8.58,2025-12-10T23:05:51.164905
16,788,3,4,4.89,2025-12-10T23:05:56.219453
17,317,2,4,9.65,2025-12-10T23:06:06.040148
18,160,2,3,2.51,2025-12-10T23:06:08.738155
19,357,3,4,5.14,2025-12-10T23:06:14.044861
20,423,1,4,11.25,2025-12-10T23:06:25.470514
21,250,3,5,4.87,2025-12-10T23:06:30.518684
22,129,4,3,6.38,2025-12-10T23:06:37.066929
23,349,2,4,13.95,2025-12-10T23:06:51.191944
24,392,2,4,10.82,2025-12-10T23:07:02.200054
25,384,2,3,8.31,2025-12-10T23:07:10.699797
26,502,2,4,3.99,2025-12-10T23:07:14.858758
27,552,4,3,4.35,2025-12-10T23:07:19.390074
28,804,1,4,9.1,2025-12-10T23:07:28.679302
29,654,2,3,5.57,2025-12-10T23:07:34.422068
30,544,4,5,5.71,2025-12-10T23:07:40.306897
31,529,2,4,12.98,2025-12-10T23:07:53.450216
32,89,2,4,8.43,2025-12-10T23:08:02.050457
33,140,1,4,10.36,2025-12-10T23:08:12.600798
34,10,2,3,4.17,2025-12-10T23:08:16.933929
35,433,2,5,5.09,2025-12-10T23:08:22.207886
36,587,2,5,5.01,2025-12-10T23:08:27.410411
37,227,4,3,19.26,2025-12-10T23:08:46.860685
38,430,3,5,17.22,2025-12-10T23:09:04.273712
39,74,2,3,10.21,2025-12-10T23:09:14.656735
40,281,3,4,4.93,2025-12-10T23:09:19.759295
41,799,2,5,5.78,2025-12-10T23:09:25.727800
42,263,3,3,5.94,2025-12-10T23:09:31.843936
43,264,4,4,3.96,2025-12-10T23:09:35.978942
44,29,3,5,8.02,2025-12-10T23:09:44.187293
45,132,4,3,6.04,2025-12-10T23:09:50.399735
46,436,1,3,4.76,2025-12-10T23:09:55.345803
47,708,2,4,21.79,2025-12-10T23:10:17.301276
