question_num,qid,answer,confidence,time_spent_seconds,answer_timestamp
0,664,1,1,104.83,2025-12-04T11:00:02.427999
1,6,4,1,13.41,2025-12-04T11:00:16.085088
2,662,2,1,2100.26,2025-12-04T11:35:16.691115
3,773,1,5,7.75,2025-12-04T11:35:24.654244
4,556,3,1,7.32,2025-12-04T11:35:32.159647
5,768,3,1,42.31,2025-12-04T11:36:14.670819
6,802,1,1,10.57,2025-12-04T11:36:25.454471
7,598,4,1,9.88,2025-12-04T11:36:35.621086
8,70,1,2,17.46,2025-12-04T11:36:53.293827
9,97,1,1,7.47,2025-12-04T11:37:00.976600
10,462,3,5,11.51,2025-12-04T11:37:12.753117
11,428,1,1,5.5,2025-12-04T11:37:18.506291
12,13,1,1,6.98,2025-12-04T11:37:25.753008
13,414,2,1,12.61,2025-12-04T11:37:38.601044
14,550,1,1,29.22,2025-12-04T11:38:08.033486
15,816,1,2,36.6,2025-12-04T11:38:44.823666
16,788,2,1,12.16,2025-12-04T11:38:57.186456
17,317,1,1,4.95,2025-12-04T11:39:02.356219
18,160,1,1,4.68,2025-12-04T11:39:07.239031
19,357,2,1,9.03,2025-12-04T11:39:16.467325
20,423,1,2,20.54,2025-12-04T11:39:37.223163
21,250,1,1,3.53,2025-12-04T11:39:40.937120
22,129,4,1,7.3,2025-12-04T11:39:48.496496
23,349,2,1,16.51,2025-12-04T11:40:05.273985
24,392,1,1,10.75,2025-12-04T11:40:16.333941
25,384,1,1,5.42,2025-12-04T11:40:22.027705
26,502,4,1,16.66,2025-12-04T11:40:38.929475
27,552,1,1,13.63,2025-12-04T11:40:52.796404
28,804,3,1,11.89,2025-12-04T11:41:04.889474
29,654,3,1,15.92,2025-12-04T11:41:21.032697
30,544,4,1,9.72,2025-12-04T11:41:30.987049
31,529,1,2,13.81,2025-12-04T11:41:45.012277
32,89,2,1,106.32,2025-12-04T11:43:31.537733
33,140,1,1,10.93,2025-12-04T11:43:42.675748
34,10,1,1,6.75,2025-12-04T11:43:49.636107
35,433,2,1,13.83,2025-12-04T11:44:03.669857
36,587,1,1,11.59,2025-12-04T11:44:15.471531
37,227,2,1,17.82,2025-12-04T11:44:33.502746
38,430,4,1,13.01,2025-12-04T11:44:46.776382
39,74,1,1,4.75,2025-12-04T11:44:51.785672
40,281,1,1,3.5,2025-12-04T11:44:55.505971
41,799,4,1,10.76,2025-12-04T11:45:06.514758
42,263,1,1,7.01,2025-12-04T11:45:13.785696
43,264,3,1,5.47,2025-12-04T11:45:19.472151
44,29,3,1,20.78,2025-12-04T11:45:40.463970
45,132,4,1,7.12,2025-12-04T11:45:47.845994
46,436,3,1,5246.48,2025-12-04T13:13:14.664722
47,708,2,1,7.05,2025-12-04T13:13:21.977196
48,194,1,1,7.43,2025-12-04T13:13:29.643922
49,269,1,1,3.96,2025-12-04T13:13:33.806840
50,254,1,1,2.31,2025-12-04T13:13:36.377404
51,419,1,1,11.88,2025-12-04T13:13:48.493162
52,228,4,1,5.24,2025-12-04T13:13:54.056243
53,229,1,1,8.63,2025-12-04T13:14:02.891151
54,412,1,1,14.19,2025-12-04T13:14:17.278481
55,159,2,1,7.11,2025-12-04T13:14:24.588773
56,162,1,1,5.89,2025-12-04T13:14:30.686669
57,391,3,1,8.21,2025-12-04T13:14:39.126535
58,394,4,5,45.03,2025-12-04T13:15:24.355923
59,266,1,1,4.58,2025-12-04T13:15:29.124906
60,420,1,1,11.65,2025-12-04T13:15:40.980798
61,144,2,3,15.43,2025-12-04T13:15:56.619366
62,145,1,1,13.86,2025-12-04T13:16:10.686040
63,659,1,1,7.7,2025-12-04T13:16:18.620068
64,660,2,1,5.86,2025-12-04T13:16:24.693929
65,31,1,1,5.68,2025-12-04T13:16:30.658197
66,99,2,1,10.1,2025-12-04T13:16:40.945162
67,61,2,1,10.9,2025-12-04T13:16:52.064950
68,37,2,2,15.06,2025-12-04T13:17:07.370855
69,249,4,1,5.47,2025-12-04T13:17:13.064705
70,353,4,1,4.03,2025-12-04T13:17:17.298670
71,329,1,1,4.17,2025-12-04T13:17:21.698719
72,347,1,1,6.88,2025-12-04T13:17:28.924381
73,247,1,1,10.48,2025-12-04T13:17:39.693704
74,809,4,1,6.05,2025-12-04T13:17:45.987007
75,88,3,1,7.14,2025-12-04T13:17:53.375560
