question_num,qid,answer,confidence,time_spent_seconds,answer_timestamp
0,664,1,2,94.43,2025-11-26T14:06:04.737440
1,6,3,2,17.48,2025-11-26T14:06:22.390945
2,662,2,3,41.97,2025-11-26T14:07:04.523172
3,773,3,3,11.69,2025-11-26T14:07:16.384487
4,556,4,2,16.55,2025-11-26T14:07:33.133605
5,768,3,3,14.48,2025-11-26T14:07:47.813909
6,802,2,3,14.98,2025-11-26T14:08:02.958243
7,598,4,3,103.12,2025-11-26T14:09:46.247473
8,70,2,3,56.0,2025-11-26T14:10:42.421477
9,97,2,2,20.96,2025-11-26T14:11:03.547328
10,462,1,3,15.78,2025-11-26T14:11:19.500572
11,428,3,2,30.95,2025-11-26T14:11:50.622046
12,13,2,2,11.66,2025-11-26T14:12:02.461348
13,414,2,2,8.9,2025-11-26T14:12:11.554324
14,550,2,2,21.8,2025-11-26T14:12:33.523781
15,816,2,3,69.14,2025-11-26T14:13:42.835408
16,788,3,2,40.26,2025-11-26T14:14:23.272955
17,317,3,2,6.23,2025-11-26T14:14:29.672216
18,160,1,2,3.69,2025-11-26T14:14:33.523968
19,357,2,2,17.52,2025-11-26T14:14:51.232435
20,423,3,2,11.91,2025-11-26T14:15:03.310979
21,250,4,3,16.72,2025-11-26T14:15:20.208124
22,129,4,2,10.51,2025-11-26T14:15:30.897055
23,349,4,3,19.57,2025-11-26T14:15:50.638686
24,392,2,2,10.66,2025-11-26T14:16:01.480850
25,384,3,3,7.59,2025-11-26T14:16:09.240665
26,502,1,2,17.82,2025-11-26T14:16:27.238788
27,552,1,3,11.86,2025-11-26T14:16:39.264024
28,804,4,4,14.28,2025-11-26T14:16:53.718449
29,654,4,3,10.24,2025-11-26T14:17:04.126589
30,544,3,3,17.35,2025-11-26T14:17:21.653976
31,529,4,4,36.16,2025-11-26T14:17:57.982450
32,89,3,3,28.52,2025-11-26T14:18:26.685623
33,140,2,3,13.99,2025-11-26T14:18:40.844168
34,10,4,3,9.58,2025-11-26T14:18:50.588721
35,433,2,4,8.64,2025-11-26T14:18:59.403067
36,587,1,3,7.22,2025-11-26T14:19:06.789206
37,227,2,4,10.34,2025-11-26T14:19:17.307222
38,430,3,4,21.86,2025-11-26T14:19:39.338609
39,74,2,2,9.28,2025-11-26T14:19:48.787990
40,281,4,2,6.91,2025-11-26T14:19:55.875754
41,799,2,2,12.55,2025-11-26T14:20:08.603432
42,263,1,3,6.89,2025-11-26T14:20:15.675153
43,264,1,3,18.55,2025-11-26T14:20:34.402855
44,29,2,3,33.83,2025-11-26T14:21:08.402564
45,132,3,4,18.38,2025-11-26T14:21:26.953550
46,436,3,4,20.34,2025-11-26T14:21:47.472760
47,708,1,2,8.22,2025-11-26T14:21:55.860925
48,194,1,2,12.81,2025-11-26T14:22:08.849206
49,269,4,2,6.64,2025-11-26T14:22:15.657754
50,254,4,2,4.32,2025-11-26T14:22:20.161213
51,419,3,4,20.25,2025-11-26T14:22:40.577170
52,228,4,2,17.63,2025-11-26T14:22:58.391589
53,229,1,2,12.28,2025-11-26T14:23:10.847006
54,412,2,3,14.83,2025-11-26T14:23:25.854515
55,159,2,2,10.46,2025-11-26T14:23:36.489690
56,162,1,2,8.03,2025-11-26T14:23:44.696424
57,391,3,4,15.23,2025-11-26T14:24:00.109961
58,394,4,2,34.98,2025-11-26T14:24:35.264805
