question_num,qid,answer,confidence,time_spent_seconds,answer_timestamp
0,664,2,4,72.02,2025-11-27T14:19:21.849209
1,6,3,2,6.84,2025-11-27T14:19:29.607143
2,662,2,4,6.28,2025-11-27T14:19:36.222440
3,773,1,1,53.34,2025-11-27T14:20:29.912143
4,556,4,2,5.21,2025-11-27T14:20:35.558488
5,768,3,1,6.33,2025-11-27T14:20:42.240086
6,802,2,2,9.99,2025-11-27T14:20:52.545357
7,598,4,1,7.84,2025-11-27T14:21:00.815329
8,70,2,1,6.29,2025-11-27T14:21:07.317084
9,97,2,1,4.42,2025-11-27T14:21:12.848388
10,462,2,2,6.12,2025-11-27T14:21:19.302580
11,428,3,3,4.39,2025-11-27T14:21:24.084513
12,13,4,2,3.94,2025-11-27T14:21:28.266047
13,414,2,2,7.28,2025-11-27T14:21:35.831822
14,550,3,1,7.07,2025-11-27T14:21:43.359861
15,816,2,2,4.98,2025-11-27T14:21:48.590469
16,788,2,2,5.34,2025-11-27T14:21:54.213429
17,317,1,2,4.11,2025-11-27T14:21:58.527993
18,160,1,1,2.7,2025-11-27T14:22:02.138083
19,357,2,2,5.78,2025-11-27T14:22:08.166569
20,423,4,2,8.47,2025-11-27T14:22:16.927392
21,250,2,2,4.84,2025-11-27T14:22:21.990793
22,129,3,2,4.46,2025-11-27T14:22:27.436779
23,349,1,2,5.37,2025-11-27T14:22:33.072607
24,392,4,2,6.16,2025-11-27T14:22:39.474067
25,384,3,2,3.88,2025-11-27T14:22:43.637592
26,502,2,2,4.79,2025-11-27T14:22:48.642758
27,552,1,2,3.58,2025-11-27T14:22:52.643322
28,804,1,2,4.08,2025-11-27T14:22:57.005217
29,654,3,2,5.11,2025-11-27T14:23:02.352000
30,544,4,2,5.04,2025-11-27T14:23:07.658578
31,529,2,3,7.99,2025-11-27T14:23:16.006175
32,89,3,1,6.04,2025-11-27T14:23:22.746773
33,140,3,2,3.83,2025-11-27T14:23:26.953375
34,140,3,2,17.1,2025-11-27T14:23:40.243594
35,433,2,2,4.14,2025-11-27T14:23:44.687275
36,587,1,2,3.21,2025-11-27T14:23:48.201466
37,227,2,3,7.15,2025-11-27T14:23:57.473255
38,430,1,2,4.41,2025-11-27T14:24:02.164372
39,74,1,2,4.44,2025-11-27T14:24:07.836408
40,281,4,3,10.27,2025-11-27T14:24:18.407605
41,799,2,2,3.64,2025-11-27T14:24:22.346422
42,263,2,2,3.86,2025-11-27T14:24:26.561442
43,264,2,2,4.29,2025-11-27T14:24:31.164247
44,29,2,3,5.05,2025-11-27T14:24:36.492928
45,132,3,1,4.87,2025-11-27T14:24:41.705583
46,436,3,3,5.38,2025-11-27T14:24:47.421329
47,708,3,3,6.21,2025-11-27T14:24:55.066795
48,194,1,1,3.02,2025-11-27T14:24:58.522317
49,269,2,1,3.39,2025-11-27T14:25:05.223210
50,254,4,2,3.92,2025-11-27T14:25:10.499132
51,419,3,2,4.33,2025-11-27T14:25:15.183214
52,228,4,3,7.38,2025-11-27T14:25:22.789185
53,229,1,2,10.57,2025-11-27T14:25:33.763832
54,412,2,2,4.7,2025-11-27T14:25:38.710316
55,159,2,3,4.46,2025-11-27T14:25:43.432446
56,162,1,1,3.89,2025-11-27T14:25:47.542231
57,391,3,4,4.42,2025-11-27T14:25:52.231354
58,394,1,2,18.09,2025-11-27T14:26:10.583852
59,266,2,2,3.87,2025-11-27T14:26:14.802214
60,420,4,2,5.43,2025-11-27T14:26:20.536797
61,144,2,3,5.48,2025-11-27T14:26:26.244902
62,145,2,2,3.12,2025-11-27T14:26:29.746930
63,659,3,3,5.63,2025-11-27T14:26:35.660821
64,660,3,3,3.97,2025-11-27T14:26:39.857961
65,31,2,2,4.56,2025-11-27T14:26:44.814059
66,99,2,2,3.65,2025-11-27T14:26:48.866974
67,61,2,2,6.02,2025-11-27T14:26:55.182971
68,37,1,1,4.03,2025-11-27T14:26:59.493376
69,249,2,2,2.6,2025-11-27T14:27:02.325227
70,353,2,2,3.2,2025-11-27T14:27:06.036871
71,329,4,2,4.59,2025-11-27T14:27:11.417649
72,347,4,3,4.75,2025-11-27T14:27:16.473522
73,247,1,2,3.76,2025-11-27T14:27:20.542612
74,809,3,2,3.7,2025-11-27T14:27:25.102201
75,88,1,2,3.06,2025-11-27T14:27:28.582946
76,393,2,2,3.5,2025-11-27T14:27:32.448215
77,100,3,2,3.98,2025-11-27T14:27:36.750458
78,113,4,2,3.27,2025-11-27T14:27:40.516802
79,147,3,2,2.67,2025-11-27T14:27:43.547628
80,397,3,3,3.25,2025-11-27T14:27:47.246613
81,360,3,3,3.73,2025-11-27T14:27:51.225178
82,315,4,2,5.31,2025-11-27T14:27:56.873230
83,307,2,3,5.18,2025-11-27T14:28:02.314548
84,260,2,2,4.78,2025-11-27T14:28:07.376001
85,431,4,2,4.04,2025-11-27T14:28:11.813533
86,212,2,2,3.03,2025-11-27T14:28:15.291129
87,219,2,2,2.37,2025-11-27T14:28:17.916449
88,386,3,2,3.68,2025-11-27T14:28:21.946704
89,330,4,1,4.63,2025-11-27T14:28:26.812584
90,319,1,3,4.68,2025-11-27T14:28:31.927523
91,447,1,2,3.53,2025-11-27T14:28:35.681289
92,442,4,2,5.39,2025-11-27T14:28:41.482795
93,383,4,2,5.99,2025-11-27T14:28:48.116921
94,375,1,2,5.68,2025-11-27T14:28:54.262410
95,292,1,2,6.03,2025-11-27T14:29:00.676306
96,401,3,2,9.71,2025-11-27T14:29:10.794901
97,295,2,2,3.68,2025-11-27T14:29:14.966386
98,493,1,2,3.8,2025-11-27T14:29:19.000042
99,919,2,3,5.41,2025-11-27T14:29:24.670596
100,609,3,3,8.29,2025-11-27T14:29:33.213957
101,569,2,2,2.72,2025-11-27T14:29:36.158207
102,168,2,3,3.81,2025-11-27T14:29:40.336318
103,669,4,2,3.55,2025-11-27T14:29:44.300750
104,395,2,2,2.88,2025-11-27T14:29:47.416681
105,882,1,2,10.27,2025-11-27T14:29:57.914518
106,221,1,3,3.37,2025-11-27T14:30:01.685442
107,54,4,2,4.13,2025-11-27T14:30:06.049279
108,551,1,2,3.75,2025-11-27T14:30:10.105356
109,504,1,2,6.83,2025-11-27T14:30:17.222187
110,913,2,1,5.78,2025-11-27T14:30:23.407066
111,651,3,2,3.02,2025-11-27T14:30:26.687677
112,801,3,2,3.08,2025-11-27T14:30:30.009163
113,626,1,2,3.48,2025-11-27T14:30:33.833129
114,370,4,2,4.24,2025-11-27T14:30:38.325391
115,425,1,3,4.02,2025-11-27T14:30:42.685807
116,543,1,2,3.87,2025-11-27T14:30:46.813072
117,663,1,2,3.11,2025-11-27T14:30:50.302031
118,181,2,3,6.13,2025-11-27T14:31:01.915625
119,510,4,2,3.53,2025-11-27T14:31:05.706589
120,511,3,2,2.43,2025-11-27T14:31:08.558670
121,278,3,2,3.76,2025-11-27T14:31:12.694669
122,24,3,2,3.42,2025-11-27T14:31:16.453656
123,245,1,2,3.45,2025-11-27T14:31:20.167948
124,655,3,2,4.6,2025-11-27T14:31:24.979069
125,231,2,2,2.47,2025-11-27T14:31:27.931970
126,629,4,2,4.98,2025-11-27T14:31:33.247640
127,215,4,2,5.58,2025-11-27T14:31:39.031120
128,441,1,2,2.07,2025-11-27T14:31:41.422524
129,494,1,2,2.0,2025-11-27T14:31:43.714563
130,46,1,2,2.87,2025-11-27T14:31:46.800847
131,287,3,2,2.4,2025-11-27T14:31:49.472901
132,239,1,3,3.82,2025-11-27T14:31:53.508502
133,3,2,3,3.58,2025-11-27T14:31:57.503403
134,93,3,3,3.13,2025-11-27T14:32:00.875861
135,336,2,3,3.4,2025-11-27T14:32:04.527334
136,766,4,1,5.46,2025-11-27T14:32:10.249230
137,379,2,1,2.77,2025-11-27T14:32:13.657251
138,279,4,3,3.31,2025-11-27T14:32:17.469850
139,165,1,2,4.72,2025-11-27T14:32:22.479109
140,86,3,2,3.3,2025-11-27T14:32:26.084153
141,174,1,2,3.52,2025-11-27T14:32:29.872595
142,767,1,2,3.32,2025-11-27T14:32:33.444623
143,805,1,2,3.74,2025-11-27T14:32:37.449324
144,38,1,2,3.2,2025-11-27T14:32:40.929606
145,19,2,2,2.37,2025-11-27T14:32:43.878829
146,123,1,2,2.31,2025-11-27T14:32:46.458522
147,56,1,2,1.67,2025-11-27T14:32:48.376494
148,653,3,2,2.38,2025-11-27T14:32:50.998028
149,94,4,2,3.21,2025-11-27T14:32:54.489034
150,373,1,3,3.44,2025-11-27T14:32:58.310233
151,33,2,2,2.91,2025-11-27T14:33:01.448827
152,92,1,2,2.8,2025-11-27T14:33:04.485838
153,378,3,2,3.69,2025-11-27T14:33:08.479793
154,410,2,2,4.06,2025-11-27T14:33:12.785754
155,55,2,3,4.51,2025-11-27T14:33:17.564453
156,368,3,3,4.28,2025-11-27T14:33:22.183986
157,333,2,1,2.47,2025-11-27T14:33:25.021665
158,306,4,2,3.74,2025-11-27T14:33:28.999277
159,359,2,4,4.14,2025-11-27T14:33:33.373619
160,180,1,3,2.38,2025-11-27T14:33:36.128685
161,405,1,3,5.93,2025-11-27T14:33:42.297403
162,48,1,3,2.93,2025-11-27T14:33:45.506082
163,652,4,2,3.01,2025-11-27T14:33:48.881087
163,652,4,2,8.48,2025-11-27T14:33:54.345731
164,771,2,3,3.48,2025-11-27T14:33:58.240457
165,885,2,3,4.76,2025-11-27T14:34:03.282540
166,490,1,2,3.12,2025-11-27T14:34:06.626435
167,515,1,2,3.12,2025-11-27T14:34:10.044687
168,39,2,2,1.64,2025-11-27T14:34:12.017194
169,138,1,2,3.36,2025-11-27T14:34:15.812245
170,226,3,3,6.68,2025-11-27T14:34:22.804622
171,498,3,2,7.58,2025-11-27T14:34:31.892324
172,341,1,3,5.81,2025-11-27T14:34:38.012987
173,721,3,3,8.47,2025-11-27T14:34:46.911593
174,594,4,2,3.83,2025-11-27T14:34:51.076606
175,813,4,3,12.35,2025-11-27T14:35:03.722989
176,588,3,3,7.82,2025-11-27T14:35:11.806624
177,151,2,2,1.83,2025-11-27T14:35:13.861351
178,214,2,3,3.4,2025-11-27T14:35:17.517472
179,119,1,2,3.45,2025-11-27T14:35:21.201133
180,472,1,3,16.49,2025-11-27T14:35:37.909750
181,193,1,1,2.92,2025-11-27T14:35:41.274885
182,95,1,2,2.2,2025-11-27T14:35:43.716117
183,898,4,3,4.71,2025-11-27T14:35:48.670788
184,437,2,2,5.76,2025-11-27T14:35:54.862344
185,296,3,2,3.15,2025-11-27T14:35:58.255127
186,169,2,2,3.88,2025-11-27T14:36:02.486162
187,627,4,2,4.53,2025-11-27T14:36:07.292312
188,334,1,2,3.52,2025-11-27T14:36:11.052463
189,499,2,2,2.0,2025-11-27T14:36:13.333608
190,171,2,2,2.68,2025-11-27T14:36:16.383212
191,171,2,2,7.59,2025-11-27T14:36:21.306989
192,305,2,2,3.43,2025-11-27T14:36:25.122230
193,75,4,3,3.27,2025-11-27T14:36:28.614705
194,149,1,2,4.05,2025-11-27T14:36:33.003692
195,11,2,2,3.95,2025-11-27T14:36:37.269776
196,277,1,2,4.33,2025-11-27T14:36:42.003656
197,81,3,3,6.45,2025-11-27T14:36:48.779085
198,624,3,3,2.88,2025-11-27T14:36:51.943220
199,34,2,3,5.74,2025-11-27T14:36:57.904424
200,415,3,1,3.58,2025-11-27T14:37:01.774310
201,810,2,2,5.53,2025-11-27T14:37:07.537284
202,553,2,1,4.24,2025-11-27T14:37:12.040267
203,808,1,2,3.75,2025-11-27T14:37:15.996062
204,585,1,3,5.72,2025-11-27T14:37:21.991229
205,274,1,2,2.15,2025-11-27T14:37:24.363371
206,304,2,2,2.35,2025-11-27T14:37:26.977980
207,348,4,2,7.02,2025-11-27T14:37:34.348684
208,567,1,3,6.22,2025-11-27T14:37:42.306581
209,150,3,2,5.16,2025-11-27T14:37:47.693001
210,146,2,2,3.04,2025-11-27T14:37:51.246389
211,21,3,2,2.85,2025-11-27T14:37:54.353379
212,308,1,2,3.69,2025-11-27T14:37:58.294756
213,141,2,2,1.59,2025-11-27T14:38:00.178201
214,568,1,2,5.68,2025-11-27T14:38:06.143565
215,14,1,3,2.99,2025-11-27T14:38:09.488558
216,910,1,3,3.15,2025-11-27T14:38:12.969631
217,560,2,2,2.02,2025-11-27T14:38:15.287907
218,27,2,2,1.76,2025-11-27T14:38:17.311092
219,167,2,2,1.99,2025-11-27T14:38:19.544317
220,532,4,2,4.7,2025-11-27T14:38:24.492626
221,17,3,3,3.19,2025-11-27T14:38:27.958373
222,526,1,2,2.3,2025-11-27T14:38:30.535805
223,142,4,2,2.92,2025-11-27T14:38:33.835962
224,426,3,2,4.05,2025-11-27T14:38:38.215200
225,109,2,3,3.97,2025-11-27T14:38:42.577814
226,793,1,3,3.11,2025-11-27T14:38:45.958916
227,241,3,3,3.86,2025-11-27T14:38:50.032231
228,197,2,2,2.6,2025-11-27T14:38:52.849624
229,84,1,2,2.6,2025-11-27T14:38:55.692290
230,335,1,2,4.54,2025-11-27T14:39:00.501930
231,265,1,2,2.68,2025-11-27T14:39:03.593495
232,921,3,1,4.09,2025-11-27T14:39:07.939688
233,477,1,2,3.67,2025-11-27T14:39:11.828419
234,486,2,2,2.24,2025-11-27T14:39:14.499524
235,128,1,2,1.81,2025-11-27T14:39:16.614200
236,156,3,2,4.2,2025-11-27T14:39:21.058505
237,301,1,2,2.33,2025-11-27T14:39:23.647496
238,325,4,2,4.14,2025-11-27T14:39:28.021113
239,413,2,2,1.76,2025-11-27T14:39:29.994131
240,611,3,2,4.98,2025-11-27T14:39:35.328499
241,641,1,2,3.98,2025-11-27T14:39:39.535920
242,445,1,3,3.6,2025-11-27T14:39:43.391549
243,784,3,3,7.27,2025-11-27T14:39:51.050455
244,421,3,4,7.12,2025-11-27T14:39:58.414581
245,309,1,2,2.54,2025-11-27T14:40:01.195431
246,530,1,2,1.95,2025-11-27T14:40:03.452656
247,535,1,3,3.7,2025-11-27T14:40:07.362870
248,352,4,3,3.44,2025-11-27T14:40:11.020685
249,614,1,2,5.47,2025-11-27T14:40:16.905433
250,68,1,2,2.04,2025-11-27T14:40:19.325366
251,211,4,3,8.76,2025-11-27T14:40:28.400304
252,481,4,3,7.77,2025-11-27T14:40:36.611558
253,218,2,1,4.78,2025-11-27T14:40:41.931594
254,649,2,2,4.67,2025-11-27T14:40:47.027740
255,50,1,2,3.88,2025-11-27T14:40:51.388746
256,131,3,2,87.85,2025-11-27T14:42:19.461053
257,153,1,5,4.97,2025-11-27T14:42:24.645181
258,446,1,3,4.56,2025-11-27T14:42:29.426635
259,385,4,2,7.89,2025-11-27T14:42:37.529757
260,376,1,3,4.29,2025-11-27T14:42:42.151403
261,897,2,2,2.66,2025-11-27T14:42:45.154999
262,606,2,3,2.37,2025-11-27T14:42:47.839663
263,677,3,3,4.14,2025-11-27T14:42:52.338308
264,639,3,3,4.77,2025-11-27T14:42:57.322853
265,342,1,2,2.31,2025-11-27T14:42:59.863752
266,638,2,2,3.4,2025-11-27T14:43:03.588585
267,418297001,네,3,37.68,2025-11-27T14:43:41.517486
268,444302001,1,1,4.43,2025-11-27T14:43:46.153732
269,244019002,no,3,6.39,2025-11-27T14:43:52.779142
270,297269002,흰색,3,6.58,2025-11-27T14:43:59.613666
271,22656001,아니요,3,4.26,2025-11-27T14:44:04.347203
272,552849003,병원,4,3.83,2025-11-27T14:44:08.426691
273,96762000,2,3,2.78,2025-11-27T14:44:11.492839
274,537701022,네,2,3.19,2025-11-27T14:44:14.896665
275,326814006,네,4,2.99,2025-11-27T14:44:18.159299
276,466838000,네,3,2.51,2025-11-27T14:44:20.907588
277,399516001,네,3,2.91,2025-11-27T14:44:24.117093
278,280238001,네,3,2.53,2025-11-27T14:44:26.919421
279,563730000,회색,4,5.69,2025-11-27T14:44:32.824005
280,153782000,아니요,3,4.54,2025-11-27T14:44:37.622843
281,79930001,1,3,4.0,2025-11-27T14:44:41.879497
282,4495000,타일,3,5.01,2025-11-27T14:44:47.216671
283,301305003,네,4,3.58,2025-11-27T14:44:51.087826
284,241209002,흰색,3,4.09,2025-11-27T14:44:55.448599
285,208566001,1,3,3.28,2025-11-27T14:44:58.945637
286,480416017,네,3,2.89,2025-11-27T14:45:02.140471
287,360698008,아니요,3,2.78,2025-11-27T14:45:05.861916
288,527038002,검색엔진,3,6.55,2025-11-27T14:45:12.641853
289,562347009,수영,2,5.79,2025-11-27T14:45:18.807163
290,357532001,네,3,2.55,2025-11-27T14:45:21.601211
291,35105002,1,2,2.18,2025-11-27T14:45:24.003105
292,316596001,그릇,3,4.64,2025-11-27T14:45:28.923051
293,578093003,아니요,2,4.29,2025-11-27T14:45:33.560220
294,163280011,과학,3,4.89,2025-11-27T14:45:38.669310
295,280242009,뉘우치는 것,3,5.96,2025-11-27T14:45:44.910749
296,98658002,아니요,3,3.49,2025-11-27T14:45:48.692193
297,343481000,네,3,3.12,2025-11-27T14:45:52.063597
298,66543002,네,3,2.95,2025-11-27T14:45:55.672811
299,94663002,네,3,4.9,2025-11-27T14:46:00.815055
300,491242000,양복,3,3.04,2025-11-27T14:46:04.089144
301,55772003,케이크,3,3.91,2025-11-27T14:46:08.231809
302,364725009,네,3,2.92,2025-11-27T14:46:11.383018
303,521669001,핸드폰,4,3.58,2025-11-27T14:46:15.247355
304,224595001,네,3,4.42,2025-11-27T14:46:19.970946
305,19109001,네,3,2.89,2025-11-27T14:46:23.101710
306,522232002,네,3,2.6,2025-11-27T14:46:25.934990
307,235597003,검은색,3,3.87,2025-11-27T14:46:30.145823
308,504827000,흰색,3,5.33,2025-11-27T14:46:35.782074
309,523871003,네,3,2.74,2025-11-27T14:46:38.792475
310,239992006,여객기,3,5.22,2025-11-27T14:46:44.352998
311,503210000,액자,3,4.78,2025-11-27T14:46:49.434960
312,122981001,네,3,2.76,2025-11-27T14:46:52.442193
313,273420002,엄마,3,2.96,2025-11-27T14:46:55.645466
314,205594005,축구,4,3.21,2025-11-27T14:46:59.113997
315,176149002,도로 표지판,3,4.98,2025-11-27T14:47:04.377367
316,11241003,네,3,2.44,2025-11-27T14:47:07.170678
317,47837003,1,2,2.55,2025-11-27T14:47:09.954660
318,525021007,아니요,4,3.41,2025-11-27T14:47:13.659853
319,346577000,흰색,3,3.63,2025-11-27T14:47:17.513885
320,183715005,초코,2,4.65,2025-11-27T14:47:22.385326
321,512760019,회색,3,6.39,2025-11-27T14:47:29.024452
322,570528001,아니요,2,3.7,2025-11-27T14:47:33.728058
323,459301002,잔디,3,3.61,2025-11-27T14:47:37.733028
324,492271002,허브,2,7.72,2025-11-27T14:47:45.728337
325,572178006,네,3,3.08,2025-11-27T14:47:49.087461
326,28682012,네,3,2.83,2025-11-27T14:47:52.142206
327,131869001,축구,3,3.02,2025-11-27T14:47:55.464358
328,532812006,축구,3,48.85,2025-11-27T14:48:44.534935
329,119802000,네,3,2.62,2025-11-27T14:48:47.408740
330,524282006,네,3,2.88,2025-11-27T14:48:50.655046
331,563295006,네,3,2.48,2025-11-27T14:48:53.485349
332,126592007,고속도로,3,4.79,2025-11-27T14:48:58.536122
333,114941009,회색,3,4.93,2025-11-27T14:49:03.716835
334,455219002,2,2,6.04,2025-11-27T14:49:10.061386
335,127660002,네,2,3.78,2025-11-27T14:49:14.063016
336,330955003,머리띠,3,4.7,2025-11-27T14:49:19.010532
337,437947001,주방,3,4.22,2025-11-27T14:49:23.453956
338,450709003,아니요,2,4.31,2025-11-27T14:49:28.010789
339,554459002,여자,3,3.39,2025-11-27T14:49:31.618842
340,60347004,네,3,2.44,2025-11-27T14:49:34.322521
341,345154001,축구,3,4.9,2025-11-27T14:49:39.488852
342,193743000,오른발,3,4.31,2025-11-27T14:49:43.999208
343,201426002,1,3,2.15,2025-11-27T14:49:46.437534
344,135666002,네,3,2.54,2025-11-27T14:49:49.348815
345,133933006,네,3,3.49,2025-11-27T14:49:53.652119
346,531000002,2,2,3.13,2025-11-27T14:49:57.067217
347,143560011,네,3,4.09,2025-11-27T14:50:01.545413
348,493206001,당근,2,5.74,2025-11-27T14:50:08.851158
349,480379002,네,3,4.41,2025-11-27T14:50:13.682846
350,522446001,2,2,5.54,2025-11-27T14:50:19.583968
351,388974004,우유,3,10.94,2025-11-27T14:50:30.771237
352,8351002,네,3,4.3,2025-11-27T14:50:35.456299
353,531086004,네,4,24.63,2025-11-27T14:51:00.529689
354,315621001,네,3,3.75,2025-11-27T14:51:04.622437
355,53838004,승객,3,3.7,2025-11-27T14:51:08.627015
356,232684002,목도리,3,5.03,2025-11-27T14:51:13.983275
357,358268007,스도쿠,3,9.21,2025-11-27T14:51:23.510645
358,566026000,3,2,4.97,2025-11-27T14:51:28.695702
359,283217022,핸드폰,3,7.14,2025-11-27T14:51:36.164610
360,388601002,아니요,4,4.28,2025-11-27T14:51:40.859792
361,504561001,1,3,2.05,2025-11-27T14:51:43.164524
362,420230006,네,3,2.98,2025-11-27T14:51:48.005639
363,358090001,검은색,3,4.39,2025-11-27T14:51:52.786205
364,322482003,비가 와서,3,7.21,2025-11-27T14:52:00.454803
365,214471008,빵,2,11.32,2025-11-27T14:52:12.060713
366,345361001,아니요,2,3.97,2025-11-27T14:52:16.312905
367,88120004,네,3,3.28,2025-11-27T14:52:19.833845
368,244750002,아니요,3,4.71,2025-11-27T14:52:24.769253
369,390760002,네,3,3.21,2025-11-27T14:52:28.266461
370,447549001,아니요,4,3.58,2025-11-27T14:52:32.073460
371,381246001,네,4,3.16,2025-11-27T14:52:35.450749
372,232790002,네,3,2.81,2025-11-27T14:52:38.513470
373,331475002,네,4,3.56,2025-11-27T14:52:42.331470
374,196681009,네,5,4.78,2025-11-27T14:52:47.512234
375,102411000,네,4,4.87,2025-11-27T14:52:52.657220
376,343496001,네,4,2.83,2025-11-27T14:52:55.764709
377,161231011,아니요,3,5.83,2025-11-27T14:53:01.844224
378,297819007,네,3,3.23,2025-11-27T14:53:06.161884
379,76384019,네,3,3.85,2025-11-27T14:53:10.279788
380,200939002,네,3,3.36,2025-11-27T14:53:14.111880
381,204051000,네,3,2.34,2025-11-27T14:53:16.678416
382,107511001,네,3,2.83,2025-11-27T14:53:19.872488
383,528062000,네,3,2.41,2025-11-27T14:53:22.712950
384,380143002,아니요,4,2.53,2025-11-27T14:53:25.488221
385,550432000,아니요,3,3.06,2025-11-27T14:53:28.822111
386,404437001,아니요,5,3.27,2025-11-27T14:53:32.348516
387,460927006,아니요,4,2.72,2025-11-27T14:53:36.068934
388,458702007,네,3,2.4,2025-11-27T14:53:38.893354
389,51576002,네,3,2.98,2025-11-27T14:53:42.879621
390,117725018,네,3,3.34,2025-11-27T14:53:46.467964
391,212759008,네,4,2.33,2025-11-27T14:53:49.203533
392,321217002,네,4,2.67,2025-11-27T14:53:52.198325
393,355272014,네,3,2.52,2025-11-27T14:53:54.925115
394,318998002,네,3,2.16,2025-11-27T14:53:57.346541
395,336341002,네,3,2.26,2025-11-27T14:53:59.830052
396,486576004,남자,3,4.32,2025-11-27T14:54:04.367830
397,133515009,아니요,4,2.5,2025-11-27T14:54:07.127754
398,415880001,네,3,2.34,2025-11-27T14:54:09.823332
399,82259002,네,3,2.39,2025-11-27T14:54:12.431008
400,329711002,네,4,2.88,2025-11-27T14:54:15.569992
401,175535001,네,4,2.35,2025-11-27T14:54:18.218819
402,74711003,아니요,3,2.28,2025-11-27T14:54:20.751855
403,391837005,네,4,4.29,2025-11-27T14:54:25.259548
404,509826033,네,4,2.48,2025-11-27T14:54:28.049654
405,215652000,밤,3,2.89,2025-11-27T14:54:31.159150
406,135486006,꽃,3,5.72,2025-11-27T14:54:37.190403
407,425933004,계속 보행,3,9.01,2025-11-27T14:54:46.435292
408,408201006,놀기,4,3.71,2025-11-27T14:54:50.418902
409,574537003,점,3,3.07,2025-11-27T14:54:53.722391
410,479075003,사슴,2,5.72,2025-11-27T14:54:59.751251
411,487131002,검은색,3,3.86,2025-11-27T14:55:04.049923
412,487236000,초록색,4,6.31,2025-11-27T14:55:10.599134
413,58539001,검은색,4,4.54,2025-11-27T14:55:15.373825
414,499588001,흰색,3,3.31,2025-11-27T14:55:18.929816
415,525162004,흰색,4,3.38,2025-11-27T14:55:22.634698
416,252625003,갈색,3,6.01,2025-11-27T14:55:28.945064
417,414711003,검은색,3,3.0,2025-11-27T14:55:33.019235
418,429754001,검은색,4,3.04,2025-11-27T14:55:36.478535
419,364157004,흰색,4,3.18,2025-11-27T14:55:39.940529
420,443453003,흰색,4,3.63,2025-11-27T14:55:44.173062
421,305329002,검은색,4,2.71,2025-11-27T14:55:47.247027
422,159842001,검은색,3,2.58,2025-11-27T14:55:50.047736
423,22341001,노란색,2,4.31,2025-11-27T14:55:54.673639
424,40986004,꽃,3,5.29,2025-11-27T14:56:00.916417
425,254237002,물,4,3.8,2025-11-27T14:56:05.521915
426,145318001,물,3,209.89,2025-11-27T14:59:35.943294
427,427135026,핸드폰,3,4.13,2025-11-27T14:59:40.430912
428,118507000,옷,3,4.49,2025-11-27T14:59:45.200727
429,520012001,과일,4,5.66,2025-11-27T14:59:51.275279
430,434494018,뇌,3,7.01,2025-11-27T14:59:58.634401
431,133515003,그릇,4,7.32,2025-11-27T15:00:06.369035
432,430774001,3시,3,3.1,2025-11-27T15:00:09.722645
433,367452003,3시,4,3.97,2025-11-27T15:00:13.906393
434,580621000,학교,4,7.99,2025-11-27T15:00:22.119490
435,52161010,부츠,3,4.06,2025-11-27T15:00:26.396616
436,506943005,고층건물,4,5.37,2025-11-27T15:00:31.976047
437,48153002,청바지,3,3.65,2025-11-27T15:00:35.932332
438,290981008,초식동물,4,8.33,2025-11-27T15:00:44.545856
439,252986000,나무 옆,3,4.32,2025-11-27T15:00:49.081129
440,524577024,벽ㄱ,3,3.21,2025-11-27T15:00:52.595564
441,304044004,학교,5,6.38,2025-11-27T15:00:59.207339
442,154202010,탁자 위,4,6.28,2025-11-27T15:01:05.695459
443,94823002,개집,3,5.34,2025-11-27T15:01:11.309003
444,113588003,남자,3,4.39,2025-11-27T15:01:16.092628
445,136140000,여자,4,3.33,2025-11-27T15:01:19.762787
446,88859004,야마모토,4,6.64,2025-11-27T15:01:26.625402
