question_num,qid,answer,confidence,time_spent_seconds,answer_timestamp
0,664,1,4,11.75,2025-12-10T17:00:35.193599
1,6,1,4,17.4,2025-12-10T17:00:52.790734
2,662,2,4,11.3,2025-12-10T17:01:04.281842
3,773,2,4,4.5,2025-12-10T17:01:08.999148
4,556,4,3,6.89,2025-12-10T17:01:16.112111
5,768,2,4,7.07,2025-12-10T17:01:23.387179
6,802,1,2,33.1,2025-12-10T17:01:56.699496
7,598,4,3,13.59,2025-12-10T17:02:10.490919
8,70,1,3,29.79,2025-12-10T17:02:40.480899
9,97,3,2,8.08,2025-12-10T17:02:48.762672
10,462,2,4,8.2,2025-12-10T17:02:57.152491
11,428,3,4,8.69,2025-12-10T17:03:06.062346
12,13,4,2,8.58,2025-12-10T17:03:14.840704
13,414,4,3,32.27,2025-12-10T17:03:47.307629
14,550,4,2,23.07,2025-12-10T17:04:10.587554
15,816,3,3,7.8,2025-12-10T17:04:18.608412
16,788,3,3,13.89,2025-12-10T17:04:32.708334
17,317,1,2,8.64,2025-12-10T17:04:41.559732
18,160,2,3,4.57,2025-12-10T17:04:46.440280
19,357,2,3,6.08,2025-12-10T17:04:52.743226
20,423,1,4,22.87,2025-12-10T17:05:15.820580
21,250,2,4,11.07,2025-12-10T17:05:27.141801
22,129,1,2,6.69,2025-12-10T17:05:34.136806
23,349,1,4,16.31,2025-12-10T17:05:50.640832
24,392,4,4,17.39,2025-12-10T17:06:08.221956
25,384,3,5,8.42,2025-12-10T17:06:16.865272
26,502,4,4,7.19,2025-12-10T17:06:24.254448
27,552,4,4,10.4,2025-12-10T17:06:34.865230
28,804,1,4,9.61,2025-12-10T17:06:44.687043
29,654,3,4,6.8,2025-12-10T17:06:51.702536
30,544,4,5,5.91,2025-12-10T17:06:57.815223
31,529,1,4,11.1,2025-12-10T17:07:09.150858
32,89,3,4,47.77,2025-12-10T17:07:57.147521
33,140,3,4,13.75,2025-12-10T17:08:11.129166
34,10,1,4,4.2,2025-12-10T17:08:15.539062
35,433,2,4,7.65,2025-12-10T17:08:23.446233
36,587,1,4,5.39,2025-12-10T17:08:29.080127
37,227,2,3,13.83,2025-12-10T17:08:43.200272
38,430,4,3,7.66,2025-12-10T17:08:51.115268
39,74,1,4,9.75,2025-12-10T17:09:01.104960
40,281,4,2,8.55,2025-12-10T17:09:09.885069
41,799,2,3,6.0,2025-12-10T17:09:16.122092
42,263,2,3,8.86,2025-12-10T17:09:25.179028
43,264,2,2,12.85,2025-12-10T17:09:38.260077
44,29,2,3,5.55,2025-12-10T17:09:44.079249
45,132,4,2,9.95,2025-12-10T17:09:54.235193
46,436,3,3,13.74,2025-12-10T17:10:08.167122
47,708,2,4,6.62,2025-12-10T17:10:15.018211
48,194,1,2,18.73,2025-12-10T17:10:34.010691
49,269,1,2,6.84,2025-12-10T17:10:41.077554
50,254,1,2,5.77,2025-12-10T17:10:47.038911
51,419,1,4,5.5,2025-12-10T17:10:52.734466
52,228,4,2,9.98,2025-12-10T17:11:02.936358
53,229,1,1,19.27,2025-12-10T17:11:22.502121
54,412,1,2,4.33,2025-12-10T17:11:27.064398
55,159,1,1,11.34,2025-12-10T17:11:38.666930
56,162,1,2,7.34,2025-12-10T17:11:46.327489
57,391,4,4,10.06,2025-12-10T17:11:56.773405
58,394,3,3,13.33,2025-12-10T17:12:10.429749
59,266,1,2,3.37,2025-12-10T17:12:14.090300
60,420,1,4,6.37,2025-12-10T17:12:20.754858
61,144,4,2,9.34,2025-12-10T17:12:30.729618
62,145,2,2,27.23,2025-12-10T17:12:58.228614
63,659,3,4,5.45,2025-12-10T17:13:03.929309
64,660,1,3,9.25,2025-12-10T17:13:13.407210
65,31,3,2,4.53,2025-12-10T17:13:18.156699
66,99,1,3,4.64,2025-12-10T17:13:23.012765
67,61,1,2,10.59,2025-12-10T17:13:33.808669
68,37,2,2,21.29,2025-12-10T17:13:55.319258
69,249,4,1,9.12,2025-12-10T17:14:04.632120
70,353,2,2,4.14,2025-12-10T17:14:09.084724
71,329,2,2,16.35,2025-12-10T17:14:25.648839
72,347,2,3,11.12,2025-12-10T17:14:36.985597
73,247,2,1,18.59,2025-12-10T17:14:55.785102
74,809,3,3,7.64,2025-12-10T17:15:03.623785
75,88,2,3,6.08,2025-12-10T17:15:09.928962
76,393,2,4,6.82,2025-12-10T17:15:17.001988
77,100,2,2,24.54,2025-12-10T17:15:41.779570
78,113,2,4,10.82,2025-12-10T17:15:52.829298
79,147,4,3,16.61,2025-12-10T17:16:09.641888
80,397,1,2,3.71,2025-12-10T17:16:13.568517
81,360,3,4,4.03,2025-12-10T17:16:17.836530
82,315,4,3,4.03,2025-12-10T17:16:22.073274
83,307,2,4,9.9,2025-12-10T17:16:32.198848
84,260,2,2,10.49,2025-12-10T17:16:42.916385
85,431,4,2,5.2,2025-12-10T17:16:48.334861
86,212,2,3,9.85,2025-12-10T17:16:58.395642
87,219,1,2,5.02,2025-12-10T17:17:03.630031
88,386,4,2,16.71,2025-12-10T17:17:20.548873
89,330,4,2,7.53,2025-12-10T17:17:28.275024
90,319,1,3,8.25,2025-12-10T17:17:36.727954
91,447,3,1,5.62,2025-12-10T17:17:42.556586
92,442,1,2,12.94,2025-12-10T17:17:55.692614
93,383,4,4,8.02,2025-12-10T17:18:03.905419
94,375,2,4,3.57,2025-12-10T17:18:07.670305
95,292,1,3,4.35,2025-12-10T17:18:12.251737
96,401,2,4,8.19,2025-12-10T17:18:20.666609
97,295,2,3,7.76,2025-12-10T17:18:28.665645
98,493,3,3,11.3,2025-12-10T17:18:40.359511
99,919,4,1,14.11,2025-12-10T17:18:54.715460
100,609,4,3,7.04,2025-12-10T17:19:01.958725
101,569,2,4,5.6,2025-12-10T17:19:07.780359
102,168,4,3,6.07,2025-12-10T17:19:14.069862
103,669,4,2,30.66,2025-12-10T17:19:44.939385
104,395,3,3,5.17,2025-12-10T17:19:50.306104
105,882,3,2,7.65,2025-12-10T17:19:58.154669
106,221,2,2,6.35,2025-12-10T17:20:04.727149
107,54,4,4,6.47,2025-12-10T17:20:11.429770
108,551,3,3,44.42,2025-12-10T17:20:56.063946
109,504,3,2,21.06,2025-12-10T17:21:17.323063
110,913,4,2,4.95,2025-12-10T17:21:22.488821
111,651,4,2,6.16,2025-12-10T17:21:28.846273
112,801,3,2,9.97,2025-12-10T17:21:39.019363
113,626,1,2,6.34,2025-12-10T17:21:45.563572
114,370,1,2,9.8,2025-12-10T17:21:55.572399
115,425,2,2,6.13,2025-12-10T17:22:01.927983
116,543,4,4,9.77,2025-12-10T17:22:11.882252
117,663,1,2,6.23,2025-12-10T17:22:18.305844
118,181,1,2,10.39,2025-12-10T17:22:28.908600
119,510,1,1,16.45,2025-12-10T17:22:45.610324
120,511,4,1,8.91,2025-12-10T17:22:54.744500
121,278,4,2,6.83,2025-12-10T17:23:01.808440
122,24,1,4,15.44,2025-12-11T00:15:46.949219
123,245,1,3,9.1,2025-12-11T00:15:56.319997
124,655,4,3,9.28,2025-12-11T00:16:05.858727
125,231,2,4,9.01,2025-12-11T00:16:15.071223
126,629,1,2,10.2,2025-12-11T00:16:25.498328
127,215,4,3,14.63,2025-12-11T00:16:40.519304
128,441,2,2,8.61,2025-12-11T00:16:49.393566
129,494,3,2,13.63,2025-12-11T00:17:03.248768
130,46,1,2,8.73,2025-12-11T00:17:12.215662
131,287,4,2,5.62,2025-12-11T00:17:18.064401
132,239,4,2,11.42,2025-12-11T00:17:29.737018
133,3,4,2,9.24,2025-12-11T00:17:39.213111
134,93,2,2,6.97,2025-12-11T00:17:46.488073
135,336,4,2,6.12,2025-12-11T00:17:52.869217
136,766,1,2,7.87,2025-12-11T00:18:00.992337
137,379,1,2,11.29,2025-12-11T00:18:12.518965
138,279,4,4,11.04,2025-12-11T00:18:23.783450
139,165,1,2,16.88,2025-12-11T00:18:40.918518
140,86,3,2,7.43,2025-12-11T00:18:48.603971
141,174,1,2,8.1,2025-12-11T00:18:56.969485
142,767,4,4,13.2,2025-12-11T00:19:10.427123
143,805,3,4,10.94,2025-12-11T00:19:21.586958
144,38,1,2,6.39,2025-12-11T00:19:28.213699
145,19,3,2,8.0,2025-12-11T00:19:36.414548
146,123,1,4,8.09,2025-12-11T00:19:44.739082
147,56,4,3,5.48,2025-12-11T00:19:50.444148
148,653,4,2,8.83,2025-12-11T00:19:59.496980
149,94,3,4,5.65,2025-12-11T00:20:05.369532
150,373,1,2,10.88,2025-12-11T00:20:16.469253
151,33,2,4,6.57,2025-12-11T00:20:23.284351
152,92,1,4,8.38,2025-12-11T00:20:31.927956
153,378,4,4,13.13,2025-12-11T00:20:45.277248
154,410,4,3,17.35,2025-12-11T00:21:02.887906
155,55,2,4,9.25,2025-12-11T00:21:12.355898
156,368,1,4,9.25,2025-12-11T00:21:21.849562
157,333,3,2,16.61,2025-12-11T00:21:38.701856
158,306,4,4,9.26,2025-12-11T00:21:48.299469
159,359,2,4,5.02,2025-12-11T00:21:53.548912
160,180,1,4,8.1,2025-12-11T00:22:01.969467
161,405,3,2,9.0,2025-12-11T00:22:11.253850
162,48,1,2,7.9,2025-12-11T00:22:19.434324
163,652,4,3,6.68,2025-12-11T00:22:26.332700
164,771,4,4,10.18,2025-12-11T00:22:36.772683
165,885,2,4,14.81,2025-12-11T00:22:51.874984
166,490,1,4,10.6,2025-12-11T00:23:02.719879
167,515,1,1,57.48,2025-12-11T00:24:00.460320
168,39,1,4,8.97,2025-12-11T00:24:09.647490
169,138,1,2,6.81,2025-12-11T00:24:16.702838
170,226,3,4,9.69,2025-12-11T00:24:26.603184
171,498,1,2,14.46,2025-12-11T00:24:41.272224
172,341,2,4,12.41,2025-12-11T00:24:53.971710
173,721,1,2,9.1,2025-12-11T00:25:03.299313
174,594,4,4,11.0,2025-12-11T00:25:14.539773
175,813,4,1,29.3,2025-12-11T00:25:44.127808
176,588,3,2,7.26,2025-12-11T00:25:51.619707
