question_num,qid,answer,confidence,time_spent_seconds,answer_timestamp
0,664,2,1,163.87,2025-12-04T21:04:31.394751
1,6,1,3,162.16,2025-12-04T21:07:13.905984
2,662,2,4,10.39,2025-12-04T21:07:24.627808
3,773,4,4,11.13,2025-12-04T21:07:36.157863
4,556,4,4,6.69,2025-12-04T21:07:43.248241
5,768,3,3,7.47,2025-12-04T21:07:51.025980
6,802,2,4,13.55,2025-12-04T21:08:04.877750
7,598,2,4,13.34,2025-12-04T21:08:18.561581
8,70,3,2,14.26,2025-12-04T21:08:33.118912
9,97,4,2,13.62,2025-12-04T21:08:47.077420
10,462,2,5,8.43,2025-12-04T21:08:55.812283
11,428,1,3,6.58,2025-12-04T21:09:02.685788
12,13,1,4,6.18,2025-12-04T21:09:09.095312
13,414,1,3,9.77,2025-12-04T21:09:19.207156
14,550,1,1,10.68,2025-12-04T21:09:30.207736
15,816,3,5,6.68,2025-12-04T21:09:37.108256
16,788,3,4,8.03,2025-12-04T21:09:45.482357
17,317,1,2,5.54,2025-12-04T21:09:51.354080
18,160,1,4,4.63,2025-12-04T21:09:56.216358
19,357,2,3,13.42,2025-12-04T21:10:09.947240
20,423,4,2,10.58,2025-12-04T21:10:20.843066
21,250,4,4,4.74,2025-12-04T21:10:25.799977
22,129,3,2,7.55,2025-12-04T21:10:33.681095
23,349,1,2,11.68,2025-12-04T21:10:45.708064
24,392,4,5,5.54,2025-12-04T21:10:51.559728
25,384,3,4,4.89,2025-12-04T21:10:56.675269
26,502,2,1,7.28,2025-12-04T21:11:04.279516
27,552,1,4,5.65,2025-12-04T21:11:10.238827
28,804,1,4,6.18,2025-12-04T21:11:16.639684
29,654,3,3,9.3,2025-12-04T21:11:26.285643
30,544,4,4,5.94,2025-12-04T21:11:32.554477
31,529,2,5,11.95,2025-12-04T21:11:44.832796
32,89,3,5,12.53,2025-12-04T21:11:57.670261
33,140,2,3,18.28,2025-12-04T21:12:16.271525
34,10,1,4,6.02,2025-12-04T21:12:22.667485
35,433,2,5,7.58,2025-12-04T21:12:30.656367
36,587,3,4,6.62,2025-12-04T21:12:37.504049
37,227,2,3,10.92,2025-12-04T21:12:48.818309
38,430,3,1,12.42,2025-12-04T21:13:01.621080
39,74,4,4,7.51,2025-12-04T21:13:09.786157
40,281,4,4,5.1,2025-12-04T21:13:15.255343
41,799,1,4,8.62,2025-12-04T21:13:24.187887
42,263,3,3,5.64,2025-12-04T21:13:30.146334
43,264,4,4,6.37,2025-12-04T21:13:36.872486
44,29,2,4,6.43,2025-12-04T21:13:43.845343
45,132,2,3,22.57,2025-12-04T21:14:06.767266
46,436,3,4,7.84,2025-12-04T21:14:14.891836
47,708,2,4,6.23,2025-12-04T21:14:21.438838
48,194,1,2,6.0,2025-12-04T21:14:27.775138
49,269,2,2,5.62,2025-12-04T21:14:33.662637
50,254,2,2,5.64,2025-12-04T21:14:39.648722
51,419,1,4,7.32,2025-12-04T21:14:47.289022
52,228,1,4,6.02,2025-12-04T21:14:53.649319
53,229,2,4,13.24,2025-12-04T21:15:07.191848
54,412,2,4,5.06,2025-12-04T21:15:12.456822
55,159,2,3,8.12,2025-12-04T21:15:21.200741
56,162,1,2,9.35,2025-12-04T21:15:30.960382
57,391,3,4,5.55,2025-12-04T21:15:36.818713
58,394,4,3,33.36,2025-12-04T21:16:10.538149
59,266,2,1,4.74,2025-12-04T21:16:15.588482
60,420,1,2,9.1,2025-12-04T21:16:24.900375
61,144,2,2,7.8,2025-12-04T21:16:33.027181
62,145,1,1,8.32,2025-12-04T21:16:41.676652
63,659,3,5,7.89,2025-12-04T21:16:49.874958
64,660,3,4,6.46,2025-12-04T21:16:56.698416
65,31,4,3,7.67,2025-12-04T21:17:04.620343
66,99,1,2,5.71,2025-12-04T21:17:10.682620
67,61,2,4,5.42,2025-12-04T21:17:16.409184
68,37,1,4,10.35,2025-12-04T21:17:27.070541
69,249,4,2,5.27,2025-12-04T21:17:32.570079
70,353,2,3,6.01,2025-12-04T21:17:38.894395
71,329,2,4,6.1,2025-12-04T21:17:45.328974
72,347,3,4,8.65,2025-12-04T21:17:54.195796
73,247,3,4,7.37,2025-12-04T21:18:01.857541
74,809,1,2,6.47,2025-12-04T21:18:08.661298
75,88,3,4,6.25,2025-12-04T21:18:15.298340
76,393,1,5,6.49,2025-12-04T21:18:22.063470
77,100,1,1,11.82,2025-12-04T21:18:34.263335
78,113,3,4,7.61,2025-12-04T21:18:42.252484
79,147,1,4,7.16,2025-12-04T21:18:49.869326
80,397,1,4,5.82,2025-12-04T21:18:56.079634
81,360,1,3,5.38,2025-12-04T21:19:01.685034
82,315,4,4,5.38,2025-12-04T21:19:07.507637
83,307,3,2,7.79,2025-12-04T21:19:15.655317
84,260,2,3,7.23,2025-12-04T21:19:23.124921
85,431,1,3,6.92,2025-12-04T21:19:30.396918
86,212,4,1,8.58,2025-12-04T21:19:39.389709
87,219,1,1,7.19,2025-12-04T21:19:47.168322
