question_num,qid,answer,confidence,time_spent_seconds,answer_timestamp
0,664,1,4,9.99,2025-12-10T19:23:35.156632
1,6,2,3,7.88,2025-12-10T19:23:43.341407
2,662,2,4,5.17,2025-12-10T19:23:48.842733
3,773,2,3,3.04,2025-12-10T19:23:52.205500
4,556,1,3,4.09,2025-12-10T19:23:56.581466
5,768,1,3,7.67,2025-12-10T19:24:04.540407
6,802,2,4,5.42,2025-12-10T19:24:10.317370
7,598,4,3,6.77,2025-12-10T19:24:17.387675
8,70,4,4,6.61,2025-12-10T19:24:24.292328
9,97,3,4,3.41,2025-12-10T19:24:28.014069
10,462,2,4,3.73,2025-12-10T19:24:32.047391
11,428,2,4,3.25,2025-12-10T19:24:35.577231
12,13,3,4,4.98,2025-12-10T19:24:40.857556
13,414,1,4,5.5,2025-12-10T19:24:46.656877
14,550,2,3,4.86,2025-12-10T19:24:51.826666
15,816,4,3,8.27,2025-12-10T19:25:00.502560
16,788,1,4,6.68,2025-12-10T19:25:07.647631
17,317,1,3,2.63,2025-12-10T19:25:10.616944
18,160,1,3,2.4,2025-12-10T19:25:13.227075
19,357,3,4,5.41,2025-12-10T19:25:18.959278
20,423,1,2,7.19,2025-12-10T19:25:26.438371
21,250,1,4,4.06,2025-12-10T19:25:30.807632
22,129,3,3,4.97,2025-12-10T19:25:36.082401
23,349,2,4,5.36,2025-12-10T19:25:41.735060
24,392,2,4,9.58,2025-12-10T19:25:51.605453
25,384,3,4,3.45,2025-12-10T19:25:55.347919
26,502,2,4,3.68,2025-12-10T19:25:59.258004
27,552,4,4,4.62,2025-12-10T19:26:04.159268
28,804,1,4,4.3,2025-12-10T19:26:08.753131
29,654,2,4,4.58,2025-12-10T19:26:13.747354
30,544,4,4,5.97,2025-12-10T19:26:20.012652
31,529,2,2,12.53,2025-12-10T19:26:32.824840
32,89,2,4,5.31,2025-12-10T19:26:38.424463
33,140,1,4,7.4,2025-12-10T19:26:46.122656
34,10,2,4,2.99,2025-12-10T19:26:49.351797
35,433,4,4,2.98,2025-12-10T19:26:52.619789
36,587,1,2,2.93,2025-12-10T19:26:55.881787
37,227,2,4,5.16,2025-12-10T19:27:01.356960
38,430,2,4,4.97,2025-12-10T19:27:06.610087
39,74,1,4,5.59,2025-12-10T19:27:12.504927
40,281,2,4,2.01,2025-12-10T19:27:14.725837
41,799,2,4,3.96,2025-12-10T19:27:18.984643
42,263,2,3,4.68,2025-12-10T19:27:23.965779
43,264,3,4,4.37,2025-12-10T19:27:28.627799
44,29,2,4,5.27,2025-12-10T19:27:34.179287
45,132,1,4,5.5,2025-12-10T19:27:39.974416
46,436,1,4,13.72,2025-12-10T19:27:53.961196
47,708,1,4,3.22,2025-12-10T19:27:57.466151
48,194,1,4,2.35,2025-12-10T19:28:00.108536
49,269,2,4,2.83,2025-12-10T19:28:03.126993
50,254,2,4,3.77,2025-12-10T19:28:07.187121
51,419,3,4,6.36,2025-12-10T19:28:13.824820
52,228,4,4,5.44,2025-12-10T19:28:19.608826
53,229,2,4,7.83,2025-12-10T19:28:27.748092
54,412,1,4,4.2,2025-12-10T19:28:32.258506
55,159,2,4,5.85,2025-12-10T19:28:38.408434
56,162,2,4,3.44,2025-12-10T19:28:42.141352
57,391,3,4,3.4,2025-12-10T19:28:45.829011
58,394,2,4,3.4,2025-12-10T19:28:49.438106
59,266,4,4,4.42,2025-12-10T19:28:54.164702
60,420,4,4,6.8,2025-12-10T19:29:01.243716
61,144,3,4,5.84,2025-12-10T19:29:07.385250
62,145,2,4,2.95,2025-12-10T19:29:10.629860
63,659,3,4,4.51,2025-12-10T19:29:15.428272
64,660,2,4,4.73,2025-12-10T19:29:20.518331
65,31,1,4,1.76,2025-12-10T19:29:22.480894
66,99,2,4,3.98,2025-12-10T19:29:26.751890
67,61,2,2,5.7,2025-12-10T19:29:32.737375
68,37,1,2,3.29,2025-12-10T19:29:36.335622
69,249,1,3,2.5,2025-12-10T19:29:39.040982
70,353,4,5,3.94,2025-12-10T19:29:43.274844
71,329,2,2,4.3,2025-12-10T19:29:47.871930
72,347,3,4,5.53,2025-12-10T19:29:53.690320
73,247,1,4,2.82,2025-12-10T19:29:57.037111
74,809,3,3,3.12,2025-12-10T19:30:00.457333
75,88,1,2,2.3,2025-12-10T19:30:02.964704
76,393,2,4,3.63,2025-12-10T19:30:06.901934
77,100,1,4,7.26,2025-12-10T19:30:14.479838
78,113,2,4,3.86,2025-12-10T19:30:18.624061
79,147,4,5,4.31,2025-12-10T19:30:23.235159
80,397,1,4,2.06,2025-12-10T19:30:25.575085
81,360,1,5,2.99,2025-12-10T19:30:28.762430
82,315,2,4,3.2,2025-12-10T19:30:32.237028
83,307,3,4,3.16,2025-12-10T19:30:35.678615
84,260,2,4,4.51,2025-12-10T19:30:40.509984
85,431,1,4,2.57,2025-12-10T19:30:43.290313
86,212,2,4,5.09,2025-12-10T19:30:48.649082
