question_num,qid,answer,confidence,time_spent_seconds,answer_timestamp
0,664,2,2,9.32,2025-12-11T23:28:22.858472
1,6,1,1,6.4,2025-12-11T23:28:29.582690
2,662,2,3,10.63,2025-12-11T23:28:40.518270
3,773,4,2,5.98,2025-12-11T23:28:46.847869
4,556,3,3,7.81,2025-12-11T23:28:55.132915
5,768,1,2,46.81,2025-12-11T23:29:43.384283
6,802,4,2,30.0,2025-12-11T23:30:13.753305
7,598,4,2,10.29,2025-12-11T23:30:24.518538
8,70,1,3,9.78,2025-12-11T23:30:35.190716
9,97,1,2,4.02,2025-12-11T23:30:39.502541
10,462,2,3,6.76,2025-12-11T23:30:46.785822
11,428,1,2,19.23,2025-12-11T23:31:06.948289
12,13,1,2,5.54,2025-12-11T23:31:12.738779
13,414,1,2,8.41,2025-12-11T23:31:21.618421
14,550,1,3,13.94,2025-12-11T23:31:37.158948
15,816,2,2,7.88,2025-12-11T23:31:45.825991
16,788,3,2,7.22,2025-12-11T23:31:53.336467
17,317,2,2,4.16,2025-12-11T23:31:57.939263
18,160,1,2,4.41,2025-12-11T23:32:02.649022
19,357,3,3,3.54,2025-12-11T23:32:06.606884
20,423,4,2,9.68,2025-12-11T23:32:16.724816
21,250,4,3,3.84,2025-12-11T23:32:20.798301
22,129,3,3,5.98,2025-12-11T23:32:27.236349
23,349,1,3,7.52,2025-12-11T23:32:35.206348
24,392,1,2,4.17,2025-12-11T23:32:39.656129
25,384,4,2,5.03,2025-12-11T23:32:45.109139
26,502,1,1,11.15,2025-12-11T23:32:56.727268
27,552,4,2,10.54,2025-12-11T23:33:08.055587
28,804,1,2,3.27,2025-12-11T23:33:11.609722
29,654,1,2,6.41,2025-12-11T23:33:18.745580
30,544,4,2,8.92,2025-12-11T23:33:28.092162
31,529,1,3,9.85,2025-12-11T23:33:38.635024
32,89,1,3,15.49,2025-12-11T23:33:54.608742
33,140,1,2,3.84,2025-12-11T23:33:58.737289
34,10,1,2,7.01,2025-12-11T23:34:06.219764
35,433,2,3,10.24,2025-12-11T23:34:16.919709
36,587,2,3,3.34,2025-12-11T23:34:20.615418
37,227,2,3,5.93,2025-12-11T23:34:27.125088
38,430,3,3,14.08,2025-12-11T23:34:41.705031
39,74,1,2,5.86,2025-12-11T23:34:48.408444
40,281,4,3,4.11,2025-12-11T23:34:52.862436
41,799,4,2,7.5,2025-12-11T23:35:00.868622
42,263,1,2,3.5,2025-12-11T23:35:04.775005
43,264,4,3,5.01,2025-12-11T23:35:10.164969
44,29,1,3,4.42,2025-12-11T23:35:15.078470
45,132,2,2,8.91,2025-12-11T23:35:24.466885
46,436,3,3,5.4,2025-12-11T23:35:30.243947
47,708,2,1,9.53,2025-12-11T23:35:40.923522
48,194,2,2,62.72,2025-12-11T23:36:44.154350
49,269,2,2,3.55,2025-12-11T23:36:48.029280
