question_num,qid,answer,confidence,time_spent_seconds,answer_timestamp
0,664,2,4,20.0,2025-12-08T22:36:39.194738
1,6,3,3,1.37,2025-12-08T22:36:41.033442
2,662,1,2,2.67,2025-12-08T22:36:44.169335
3,773,3,3,1.17,2025-12-08T22:36:45.802030
4,556,2,4,1.4,2025-12-08T22:36:47.675249
5,768,4,2,1.12,2025-12-08T22:36:49.267798
6,802,1,3,1.1,2025-12-08T22:36:50.827157
7,598,2,4,1.01,2025-12-08T22:36:52.309357
8,70,3,2,1.27,2025-12-08T22:36:54.059410
9,97,4,3,1.46,2025-12-08T22:36:55.980978
10,462,2,5,1.11,2025-12-08T22:36:57.559960
11,428,4,2,2.77,2025-12-08T22:37:00.835864
12,13,2,4,1.37,2025-12-08T22:37:02.690578
13,414,1,2,1.43,2025-12-08T22:37:04.620204
14,550,2,3,1.4,2025-12-08T22:37:06.479991
15,816,2,2,2.02,2025-12-08T22:37:08.966563
16,788,3,4,2.55,2025-12-08T22:37:11.991109
17,317,4,1,49.28,2025-12-08T22:38:01.746786
18,160,2,5,2.22,2025-12-08T22:38:04.464491
19,357,3,2,2.18,2025-12-08T22:38:07.150033
20,423,2,2,2.79,2025-12-08T22:38:10.409579
21,250,4,2,0.98,2025-12-08T22:38:11.870234
22,129,3,4,0.78,2025-12-08T22:38:13.120875
23,349,1,4,0.98,2025-12-08T22:38:14.579850
24,392,4,5,1.69,2025-12-08T22:38:16.731624
25,384,2,1,0.89,2025-12-08T22:38:18.086690
26,502,3,2,1.13,2025-12-08T22:38:19.679247
27,552,1,4,0.8,2025-12-08T22:38:20.949240
28,804,1,2,1.45,2025-12-08T22:38:22.913793
29,654,1,2,1.0,2025-12-08T22:38:24.375262
30,544,1,3,0.71,2025-12-08T22:38:25.560414
31,529,2,1,0.04,2025-12-08T22:38:26.064940
32,89,3,3,1.36,2025-12-08T22:38:27.886448
33,140,2,3,0.35,2025-12-08T22:38:28.720567
34,10,2,3,0.14,2025-12-08T22:38:29.346541
35,433,4,1,0.24,2025-12-08T22:38:30.061501
36,587,4,1,0.48,2025-12-08T22:38:31.049056
37,227,4,1,0.33,2025-12-08T22:38:31.859260
