dataset,,2025-09-29 08:23:54.109000,2025-09-29 09:07:33.096000,2025-09-29 18:22:09.402000,2025-09-29 19:38:19.667000,2025-09-30 00:22:45.913000,2025-09-30 06:24:35.181000,2025-09-30 11:10:46.878000,2025-09-30 11:18:51.944000,2025-09-30 17:23:56.895000,BJH,Cm,Dowon Hwang,EJ,HJp,Kathy,Park,Winnie,all_pilot_cleaned,cm,kathy,mmstar,mmstar,mmstar,spubench,spubench,spubench,vqa1k,vqa1k,vqa1k,vqa5k,vqa5k,vqa5k,vqa5k,박정원,박지윤,박호조,성민석,성희,안덕현,이성희 ,조희승,주연
condition,,,,,,,,,,,,,,,,,,,,,,,blind,inst_blind,,blind,inst_blind,,blind,inst_blind,,blind,inst_blind,sys_inst_blind,,,,,,,,,
source,model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuned,Qwen3-VL-4B-Instruct,,,,,,,,,,,,,,,,,,,,,3000.0,,3000.0,170.0,,4800.0,1000.0,,1000.0,5000.0,,5000.0,,,,,,,,,,
finetuned,Qwen3-VL-8B-Instruct,,,,,,,,,,,,,,,,,,,,,1624.0,,3020.0,97.0,12.0,7200.0,2000.0,1000.0,3000.0,10000.0,5000.0,15000.0,,,,,,,,,,
humans,unknown,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,406.0,208.0,406.0,406.0,198.0,208.0,198.0,402.0,3528.0,198.0,198.0,,,,,,,,,,,,,,208.0,406.0,208.0,406.0,208.0,208.0,198.0,406.0,198.0
models,InternVL3_5-1B,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0,1500.0,2400.0,2400.0,2400.0,1000.0,1000.0,1000.0,5000.0,5000.0,5000.0,8255.0,,,,,,,,,
models,InternVL3_5-2B,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0,1500.0,2400.0,2400.0,2400.0,1000.0,1000.0,1000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,,,
models,InternVL3_5-4B,,,,,,,,,,,,,,,,,,,,,50.0,,1500.0,2400.0,,2400.0,1000.0,1000.0,1000.0,5000.0,5000.0,5000.0,,,,,,,,,,
models,InternVL3_5-8B,,,,,,,,,,,,,,,,,,,,,1074.0,1500.0,1500.0,2400.0,2400.0,2400.0,1000.0,1000.0,1000.0,5000.0,5000.0,5000.0,,,,,,,,,,
models,Qwen3-VL-2B-Instruct,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0,1500.0,281.0,2400.0,2400.0,1000.0,1000.0,1000.0,5000.0,5000.0,5000.0,,,,,,,,,,
models,Qwen3-VL-4B-Instruct,,,,,,,,,,,,,,,,,,,,,1500.0,1440.0,1500.0,2400.0,,2400.0,1000.0,1000.0,1000.0,5000.0,5000.0,5000.0,,,,,,,,,,
models,Qwen3-VL-8B-Instruct,,,,,,,,,,,,,,,,,,,,,1500.0,,1500.0,2400.0,,2400.0,1000.0,,1000.0,5000.0,,5000.0,,,,,,,,,,
models,llava-1.5-7b-hf,,,,,,,,,,,,,,,,,,,,,,,,2400.0,,2400.0,,,,,,,,,,,,,,,,
models,llava-v1.6-mistral-7b-hf,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0,1500.0,2400.0,2400.0,2400.0,1000.0,1000.0,1000.0,5000.0,5000.0,5000.0,,,,,,,,,,
models,unknown,,,,,,,,,,,,,,,,,,,,,107.0,,,2368.0,,,1000.0,,,1018.0,,,,,,,,,,,,
