,model,model_type,slope,intercept,r_value,p_value,std_err,model_avg,human_avg,eval_metric,r^2
0,Qwen2.5-0.5B-Instruct,LLM,1.1092469189494103,12.85895298079646,0.35712781987105924,0.00017129589677378616,0.28448578560439536,33.0188679245283,18.174415992812218,acc,0.12754027972585574
1,gemma-3-12b-it,LLM,1.3335273262671714,26.07838504344284,0.40900274450996027,1.342944490506347e-05,0.29174786006443987,50.314465408805034,18.174415992812218,acc,0.16728324501667985
2,llava-v1.6-mistral-7b-hf,LLM,1.8196203403310511,18.81625543867112,0.5683663117238372,2.0835952129520057e-10,0.25829571647310595,51.886792452830186,18.174415992812218,acc,0.3230402643025581
3,TinyLLaVA-Phi-2-SigLIP-3.1B,LLM,1.8196203403310511,18.81625543867112,0.5683663117238372,2.0835952129520057e-10,0.25829571647310595,51.886792452830186,18.174415992812218,acc,0.3230402643025581
4,llava-1.5-7b-hf,LLM,1.8196203403310511,18.81625543867112,0.5683663117238372,2.0835952129520057e-10,0.25829571647310595,51.886792452830186,18.174415992812218,acc,0.3230402643025581
5,llava-1.5-13b-hf,LLM,1.8196203403310511,18.81625543867112,0.5683663117238372,2.0835952129520057e-10,0.25829571647310595,51.886792452830186,18.174415992812218,acc,0.3230402643025581
6,internlm2_5-7b-chat,LLM,0.0,0.0,0.0,1.0,0.0,0.0,18.174415992812218,acc,0.0
7,instructblip-vicuna-7b,LLM,2.0539568351508586,14.557326499518453,0.6387192752921868,1.7517703661054512e-13,0.24262709425115378,51.886792452830186,18.174415992812218,acc,0.4079623126297762
8,GPT5,LLM,2.1208449221732844,22.472907611226198,0.5919234768181626,6.444922636928156e-27,0.1764037651246019,55.06172839506173,15.365961199294537,acc,0.3503734024085019
9,Qwen2.5-7B-Instruct,LLM,1.394218182972361,21.83071007867225,0.433967738684984,3.361553566414784e-06,0.28382255829983655,47.16981132075472,18.174415992812218,acc,0.18832799821935856
10,,LLM,1.9087549352626512,20.45075363644422,0.7095594244718664,1.6842077439168543e-17,0.18587264352903624,55.14125985824099,18.174415992812218,acc,0.5034745768568463
11,gemini,LLM,0.1892466069973001,0.919204473608505,0.13600843328653464,0.025425696312492467,0.08420548784347398,3.82716049382716,15.365961199294537,acc,0.018498293925057745
12,InternVL3-8B,LLM,1.686534126760306,25.952000779089566,0.528948842975753,5.584143811347151e-09,0.2653354680606479,56.60377358490566,18.174415992812218,acc,0.27978687848538775
13,gemini2_5,LLM,2.223310020691039,18.42929708065136,0.6135780022068462,2.5533779800312205e-29,0.1747787988407351,52.592592592592595,15.365961199294537,acc,0.37647796479214457
14,gemma-3-4b-it,LLM,1.0881141146124784,31.16755765979736,0.33523237272699646,0.0004435406158188352,0.29986458760119283,50.943396226415096,18.174415992812218,acc,0.11238074372417188
15,Qwen2.5-7B,LLM,0.0,0.0,0.0,1.0,0.0,0.0,16.741071428571427,acc,0.0
