,Timestamp,Score,subj,question,answer_hm,question_en,question (Korean),Name or Initials 이름 또는 이니셜 ,qid,category,l2_category,options,answer_type,question_kr,answer,score,index,question_type,image_id,answers,multiple_choice_answer,processed_output,acc
32,2025-09-15 13:14:29.951,0,성민석,"Is the sky cloudy?
하늘이 흐리나요?",no,Is the sky cloudy?,하늘이 흐리나요?,,561412009.0,,,,text,하늘이 흐리나요?,,0.794,0.0,is the,,"['no', 'yes', 'no', 'no', 'bit', 'no', 'yes', 'yes', 'yes', 'yes']",,no,1.0
33,2025-09-15 14:31:01.540,0,Kathy,"Is the sky cloudy?
하늘이 흐리나요?",no,Is the sky cloudy?,하늘이 흐리나요?,,561412009.0,,,,text,하늘이 흐리나요?,,0.794,0.0,is the,,"['no', 'yes', 'no', 'no', 'bit', 'no', 'yes', 'yes', 'yes', 'yes']",,no,1.0
34,2025-09-15 14:48:47.065,0,Winnie,"Is the sky cloudy?
하늘이 흐리나요?",yes,Is the sky cloudy?,하늘이 흐리나요?,,561412009.0,,,,text,하늘이 흐리나요?,,0.827,0.0,is the,,"['no', 'yes', 'no', 'no', 'bit', 'no', 'yes', 'yes', 'yes', 'yes']",,yes,1.0
35,2025-09-15 17:19:03.562,0,안덕현,"Is the sky cloudy?
하늘이 흐리나요?",yes,Is the sky cloudy?,하늘이 흐리나요?,,561412009.0,,,,text,하늘이 흐리나요?,,0.827,0.0,is the,,"['no', 'yes', 'no', 'no', 'bit', 'no', 'yes', 'yes', 'yes', 'yes']",,yes,1.0
36,2025-09-16 07:47:54.290,0,성희,"Is the sky cloudy?
하늘이 흐리나요?",yes,Is the sky cloudy?,하늘이 흐리나요?,,561412009.0,,,,text,하늘이 흐리나요?,,0.827,0.0,is the,,"['no', 'yes', 'no', 'no', 'bit', 'no', 'yes', 'yes', 'yes', 'yes']",,yes,1.0
37,2025-09-16 16:55:07.364,0,박지윤,"Is the sky cloudy?
하늘이 흐리나요?",yes,Is the sky cloudy?,하늘이 흐리나요?,,561412009.0,,,,text,하늘이 흐리나요?,,0.827,0.0,is the,,"['no', 'yes', 'no', 'no', 'bit', 'no', 'yes', 'yes', 'yes', 'yes']",,yes,1.0
38,2025-09-17 12:05:01.035,0,박정원,"Is the sky cloudy?
하늘이 흐리나요?",no,Is the sky cloudy?,하늘이 흐리나요?,,561412009.0,,,,text,하늘이 흐리나요?,,0.794,0.0,is the,,"['no', 'yes', 'no', 'no', 'bit', 'no', 'yes', 'yes', 'yes', 'yes']",,no,1.0
39,2025-09-17 13:16:13.572,0,Cm,"Is the sky cloudy?
하늘이 흐리나요?",no,Is the sky cloudy?,하늘이 흐리나요?,,561412009.0,,,,text,하늘이 흐리나요?,,0.794,0.0,is the,,"['no', 'yes', 'no', 'no', 'bit', 'no', 'yes', 'yes', 'yes', 'yes']",,no,1.0
40,2025-09-17 15:00:50.905,0,박호조,"Is the sky cloudy?
하늘이 흐리나요?",no,Is the sky cloudy?,하늘이 흐리나요?,,561412009.0,,,,text,하늘이 흐리나요?,,0.794,0.0,is the,,"['no', 'yes', 'no', 'no', 'bit', 'no', 'yes', 'yes', 'yes', 'yes']",,no,1.0
41,2025-09-23 13:22:40.894,0,Dowon Hwang,"Is the sky cloudy?
하늘이 흐리나요?",no,Is the sky cloudy?,하늘이 흐리나요?,,561412009.0,,,,text,하늘이 흐리나요?,,0.794,0.0,is the,,"['no', 'yes', 'no', 'no', 'bit', 'no', 'yes', 'yes', 'yes', 'yes']",,no,1.0
42,2025-09-23 14:08:58.993,0,조희승,"Is the sky cloudy?
하늘이 흐리나요?",no,Is the sky cloudy?,하늘이 흐리나요?,,561412009.0,,,,text,하늘이 흐리나요?,,0.794,0.0,is the,,"['no', 'yes', 'no', 'no', 'bit', 'no', 'yes', 'yes', 'yes', 'yes']",,no,1.0
43,2025-09-24 08:29:43.373,0,EJ,"Is the sky cloudy?
하늘이 흐리나요?",yes,Is the sky cloudy?,하늘이 흐리나요?,,561412009.0,,,,text,하늘이 흐리나요?,,0.827,0.0,is the,,"['no', 'yes', 'no', 'no', 'bit', 'no', 'yes', 'yes', 'yes', 'yes']",,yes,1.0
44,2025-09-30 11:36:25.791,0,BJH,"Is the sky cloudy?
하늘이 흐리나요?",yes,Is the sky cloudy?,하늘이 흐리나요?,,561412009.0,,,,text,하늘이 흐리나요?,,0.827,0.0,is the,,"['no', 'yes', 'no', 'no', 'bit', 'no', 'yes', 'yes', 'yes', 'yes']",,yes,1.0
