,model,MG_Acc,MG_S
condition,,,
0,InternVL3.5‑1B,38.70721999999999,18.13546000000001
1,InternVL3.5‑2B,41.4473,19.627340000000004
2,InternVL3.5‑4B,40.14058,23.28441999999999
3,InternVL3.5‑8B,43.100840000000005,22.03779999999999
4,InternVL3.5‑8B | JS‑Blind MMStar (n=15),41.794200000000004,18.734560000000002
5,InternVL3.5‑8B | JS‑Blind VQA (GT),40.74764,18.536280000000005
6,InternVL3.5‑8B | JS‑Blind VQA (n=10),40.347519999999996,17.966939999999994
7,InternVL3.5‑8B | JS‑Blind VQA (n=15),39.8943,17.869500000000002
8,InternVL3.5‑8B | SFT‑Blind VQA,40.120999999999995,17.881019999999992
9,InternVL3.5‑8B | SFT‑VQA,40.30086,18.44637999999999
10,LLaVA‑1.5‑7B,41.44072,21.981799999999986
11,LLaVA‑Mistral‑7B,43.70744,22.40518
12,LLaVA‑Mistral‑7B | JS‑Blind MMStar (n=15),40.207519999999995,19.435919999999996
13,LLaVA‑Mistral‑7B | JS‑Blind VQA (GT),40.47412,18.97274
14,LLaVA‑Mistral‑7B | JS‑Blind VQA (n=10),39.027680000000004,18.23570000000001
15,LLaVA‑Mistral‑7B | JS‑Blind VQA (n=15),39.10743999999999,18.303479999999993
16,LLaVA‑Mistral‑7B | SFT‑Blind MMStar,39.66100000000001,18.54780000000001
17,LLaVA‑Mistral‑7B | SFT‑Blind VQA,38.60066,18.101039999999998
18,LLaVA‑Mistral‑7B | SFT‑VQA,40.687599999999996,18.365139999999997
19,LLaVA‑Vicuna‑7B,44.3076,22.091800000000006
20,Qwen3‑VL‑2B,42.26702,20.725080000000005
21,Qwen3‑VL‑4B,45.28734,22.050179999999983
22,Qwen3‑VL‑4B | JS‑Blind MMStar (n=15),41.34727999999999,19.4165
23,Qwen3‑VL‑4B | JS‑Blind VQA (GT),44.70063999999999,21.712099999999992
24,Qwen3‑VL‑4B | JS‑Blind VQA (n=10),41.72765999999999,19.111180000000004
25,Qwen3‑VL‑4B | JS‑Blind VQA (n=15),42.200959999999995,19.213399999999993
26,Qwen3‑VL‑4B | SFT‑Blind VQA,42.16082000000001,19.16288
27,Qwen3‑VL‑4B | SFT‑VQA,44.80736,21.82378
28,Qwen3‑VL‑8B,45.414280000000005,23.131100000000004
29,Qwen3‑VL‑8B | JS‑Blind MMStar (n=15),43.4411,20.554680000000005
30,Qwen3‑VL‑8B | JS‑Blind VQA (GT),43.861239999999995,21.014700000000005
31,Qwen3‑VL‑8B | JS‑Blind VQA (n=10),41.86108,18.911979999999986
32,Qwen3‑VL‑8B | JS‑Blind VQA (n=15),43.861239999999995,21.014700000000005
33,Qwen3‑VL‑8B | SFT‑Blind MMStar,42.98778,20.116740000000007
34,Qwen3‑VL‑8B | SFT‑Blind VQA,41.3543,18.940820000000002
