,model,acc_corr,sim_corr,MG_Acc,MG_S,family,model_size
0,LLaVA‑Mistral‑7B | SFT‑VQA,0.39347303710233766,0.4294990647207679,40.687599999999996,18.365139999999997,LLaVA,7.0
1,LLaVA‑Mistral‑7B | JS‑Blind VQA (GT),0.4016600723672256,0.41656663217850354,40.47412,18.97274,LLaVA,7.0
2,Qwen3‑VL‑4B | SFT‑VQA,0.40185079400830964,0.4397768845099305,44.80736,21.82378,Qwen,4.0
3,InternVL3.5‑8B | SFT‑VQA,0.43085859326948,0.48489956825607333,40.30086,18.44637999999999,InternVL,8.0
4,LLaVA‑Vicuna‑7B,0.4377860318890295,0.5168863049810138,44.3076,22.091800000000006,LLaVA,7.0
5,InternVL3.5‑8B | JS‑Blind VQA (GT),0.4472890908381683,0.5091365256818295,40.74764,18.536280000000005,InternVL,8.0
6,LLaVA‑1.5‑7B,0.44887748307959785,0.535330337750371,41.44072,21.981799999999986,LLaVA,7.0
7,Qwen3‑VL‑4B | JS‑Blind VQA (GT),0.45182843686518215,0.4978583866195955,44.70063999999999,21.712099999999992,Qwen,4.0
8,LLaVA‑Mistral‑7B,0.45509793632565115,0.5206159717948475,43.70744,22.40518,LLaVA,7.0
9,LLaVA‑Mistral‑7B | SFT‑Blind MMStar,0.47162992475841264,0.4873630426259184,39.66100000000001,18.54780000000001,LLaVA,7.0
10,LLaVA‑Mistral‑7B | JS‑Blind MMStar (n=15),0.4745559547866302,0.5096226381156002,40.207519999999995,19.435919999999996,LLaVA,7.0
11,Qwen3‑VL‑2B,0.48657045396341925,0.5562755420816088,42.26702,20.725080000000005,Qwen,2.0
12,Qwen3‑VL‑8B | JS‑Blind VQA (GT),0.48990335925922507,0.5581207427685388,43.861239999999995,21.014700000000005,Qwen,8.0
13,Qwen3‑VL‑8B | JS‑Blind VQA (n=15),0.48990335925922507,0.5581207427685388,43.861239999999995,21.014700000000005,Qwen,8.0
14,InternVL3.5‑1B,0.49663812378713984,0.5686002441406858,38.70721999999999,18.13546000000001,InternVL,1.0
15,Qwen3‑VL‑4B,0.497740481915338,0.5016099130043522,45.28734,22.050179999999983,Qwen,4.0
16,InternVL3.5‑8B | JS‑Blind VQA (n=10),0.5095708744942581,0.5460811543496968,40.347519999999996,17.966939999999994,InternVL,8.0
17,Qwen3‑VL‑8B,0.5112885454638866,0.5461274368093137,45.414280000000005,23.131100000000004,Qwen,8.0
18,InternVL3.5‑8B,0.5145473107407948,0.5173989112872467,43.100840000000005,22.03779999999999,InternVL,8.0
19,InternVL3.5‑8B | JS‑Blind MMStar (n=15),0.5163700848955346,0.5363944105593973,41.794200000000004,18.734560000000002,InternVL,8.0
20,InternVL3.5‑8B | JS‑Blind VQA (n=15),0.527382968630873,0.5481345094914526,39.8943,17.869500000000002,InternVL,8.0
21,InternVL3.5‑4B,0.5289652298298333,0.5109931010341943,40.14058,23.28441999999999,InternVL,4.0
22,Qwen3‑VL‑4B | JS‑Blind VQA (n=15),0.5321579969527547,0.5389715346134006,42.200959999999995,19.213399999999993,Qwen,4.0
23,Qwen3‑VL‑4B | JS‑Blind VQA (n=10),0.5342663861235747,0.544491987760168,41.72765999999999,19.111180000000004,Qwen,4.0
24,Qwen3‑VL‑8B | JS‑Blind VQA (n=10),0.5373567830816778,0.5584167454593156,41.86108,18.911979999999986,Qwen,8.0
25,Qwen3‑VL‑8B | JS‑Blind MMStar (n=15),0.5373623089117006,0.572207610429864,43.4411,20.554680000000005,Qwen,8.0
26,Qwen3‑VL‑4B | JS‑Blind MMStar (n=15),0.538805508113436,0.5673913614794927,41.34727999999999,19.4165,Qwen,4.0
27,InternVL3.5‑8B | SFT‑Blind VQA,0.5396911987891992,0.5491218117155747,40.120999999999995,17.881019999999992,InternVL,8.0
28,Qwen3‑VL‑4B | SFT‑Blind VQA,0.5407260334985413,0.5471517190159721,42.16082000000001,19.16288,Qwen,4.0
29,InternVL3.5‑2B,0.545121869239522,0.5943264578539119,41.4473,19.627340000000004,InternVL,2.0
30,Qwen3‑VL‑8B | SFT‑Blind MMStar,0.5473421535085429,0.5727666282434715,42.98778,20.116740000000007,Qwen,8.0
31,LLaVA‑Mistral‑7B | JS‑Blind VQA (n=10),0.5499707184772067,0.5543566076664942,39.027680000000004,18.23570000000001,LLaVA,7.0
32,Qwen3‑VL‑8B | SFT‑Blind VQA,0.5567931471374076,0.5679994204883781,41.3543,18.940820000000002,Qwen,8.0
33,LLaVA‑Mistral‑7B | JS‑Blind VQA (n=15),0.5606460082582162,0.5703116838078566,39.10743999999999,18.303479999999993,LLaVA,7.0
34,LLaVA‑Mistral‑7B | SFT‑Blind VQA,0.5835687530008,0.5928983594284307,38.60066,18.101039999999998,LLaVA,7.0
