,model,category,corr
0,InternVL3.5‑1B,coarse perception,0.38983651264531005
1,InternVL3.5‑1B,fine-grained perception,0.3622985763500297
2,InternVL3.5‑1B,instance reasoning,0.38300777672140135
3,InternVL3.5‑1B,logical reasoning,0.29119907049745625
4,InternVL3.5‑1B,science & technology,
5,InternVL3.5‑2B,coarse perception,0.45388769494070114
6,InternVL3.5‑2B,fine-grained perception,0.38950957044053197
7,InternVL3.5‑2B,instance reasoning,0.5035175829447525
8,InternVL3.5‑2B,logical reasoning,0.22593561063832523
9,InternVL3.5‑2B,science & technology,
10,InternVL3.5‑4B,coarse perception,0.4165320820106096
11,InternVL3.5‑4B,fine-grained perception,0.38986176197139133
12,InternVL3.5‑4B,instance reasoning,0.3782927157956151
13,InternVL3.5‑4B,logical reasoning,0.24836409273509377
14,InternVL3.5‑4B,science & technology,
15,InternVL3.5‑8B,coarse perception,0.3262950500646829
16,InternVL3.5‑8B,fine-grained perception,0.35467736473850336
17,InternVL3.5‑8B,instance reasoning,0.39350294688902276
18,InternVL3.5‑8B,logical reasoning,0.012318986820715633
19,InternVL3.5‑8B,science & technology,
20,InternVL3.5‑8B | JS‑Blind MMStar (n=15),coarse perception,0.42017300404444274
21,InternVL3.5‑8B | JS‑Blind MMStar (n=15),fine-grained perception,0.4389181937868365
22,InternVL3.5‑8B | JS‑Blind MMStar (n=15),instance reasoning,0.38236538075145665
23,InternVL3.5‑8B | JS‑Blind MMStar (n=15),logical reasoning,0.13109065418535334
24,InternVL3.5‑8B | JS‑Blind MMStar (n=15),science & technology,
25,InternVL3.5‑8B | JS‑Blind VQA (GT),coarse perception,0.3428137711174896
26,InternVL3.5‑8B | JS‑Blind VQA (GT),fine-grained perception,0.39408851304869996
27,InternVL3.5‑8B | JS‑Blind VQA (GT),instance reasoning,0.32838934589306884
28,InternVL3.5‑8B | JS‑Blind VQA (GT),logical reasoning,0.044203044791730095
29,InternVL3.5‑8B | JS‑Blind VQA (GT),science & technology,
30,InternVL3.5‑8B | JS‑Blind VQA (n=10),coarse perception,0.34432826641033903
31,InternVL3.5‑8B | JS‑Blind VQA (n=10),fine-grained perception,0.4442153142117456
32,InternVL3.5‑8B | JS‑Blind VQA (n=10),instance reasoning,0.34214020508143533
33,InternVL3.5‑8B | JS‑Blind VQA (n=10),logical reasoning,0.11051162094023016
34,InternVL3.5‑8B | JS‑Blind VQA (n=10),science & technology,
35,InternVL3.5‑8B | JS‑Blind VQA (n=15),coarse perception,0.38145869451686143
36,InternVL3.5‑8B | JS‑Blind VQA (n=15),fine-grained perception,0.44460608022317877
37,InternVL3.5‑8B | JS‑Blind VQA (n=15),instance reasoning,0.34214020508143533
38,InternVL3.5‑8B | JS‑Blind VQA (n=15),logical reasoning,0.11051162094023016
39,InternVL3.5‑8B | JS‑Blind VQA (n=15),science & technology,
40,InternVL3.5‑8B | SFT‑Blind VQA,coarse perception,0.38145869451686143
41,InternVL3.5‑8B | SFT‑Blind VQA,fine-grained perception,0.4680736334860635
42,InternVL3.5‑8B | SFT‑Blind VQA,instance reasoning,0.31380897059956075
43,InternVL3.5‑8B | SFT‑Blind VQA,logical reasoning,0.11051162094023016
44,InternVL3.5‑8B | SFT‑Blind VQA,science & technology,
45,InternVL3.5‑8B | SFT‑VQA,coarse perception,0.38816525267797525
46,InternVL3.5‑8B | SFT‑VQA,fine-grained perception,0.40985909606494114
47,InternVL3.5‑8B | SFT‑VQA,instance reasoning,0.30035640614550113
48,InternVL3.5‑8B | SFT‑VQA,logical reasoning,0.11051162094023016
49,InternVL3.5‑8B | SFT‑VQA,science & technology,
50,LLaVA‑1.5‑7B,coarse perception,0.2584827859007577
51,LLaVA‑1.5‑7B,fine-grained perception,0.39300793460660605
52,LLaVA‑1.5‑7B,instance reasoning,0.4406619463605274
53,LLaVA‑1.5‑7B,logical reasoning,0.12845324711769127
54,LLaVA‑1.5‑7B,science & technology,
55,LLaVA‑Mistral‑7B,coarse perception,0.3975430702349068
56,LLaVA‑Mistral‑7B,fine-grained perception,0.4108978595761726
57,LLaVA‑Mistral‑7B,instance reasoning,0.46383956668066323
58,LLaVA‑Mistral‑7B,logical reasoning,0.19889112972789535
59,LLaVA‑Mistral‑7B,science & technology,
60,LLaVA‑Mistral‑7B | JS‑Blind MMStar (n=15),coarse perception,0.4046550160040336
61,LLaVA‑Mistral‑7B | JS‑Blind MMStar (n=15),fine-grained perception,0.4910654043622173
62,LLaVA‑Mistral‑7B | JS‑Blind MMStar (n=15),instance reasoning,0.4347916841029967
63,LLaVA‑Mistral‑7B | JS‑Blind MMStar (n=15),logical reasoning,0.3801084065582752
64,LLaVA‑Mistral‑7B | JS‑Blind MMStar (n=15),science & technology,
65,LLaVA‑Mistral‑7B | JS‑Blind VQA (GT),coarse perception,0.43682199699031465
66,LLaVA‑Mistral‑7B | JS‑Blind VQA (GT),fine-grained perception,0.37213418654133495
67,LLaVA‑Mistral‑7B | JS‑Blind VQA (GT),instance reasoning,0.41703140957325213
68,LLaVA‑Mistral‑7B | JS‑Blind VQA (GT),logical reasoning,0.2632092486145046
69,LLaVA‑Mistral‑7B | JS‑Blind VQA (GT),science & technology,
70,LLaVA‑Mistral‑7B | JS‑Blind VQA (n=10),coarse perception,0.39203678788072066
71,LLaVA‑Mistral‑7B | JS‑Blind VQA (n=10),fine-grained perception,0.4530787585128333
72,LLaVA‑Mistral‑7B | JS‑Blind VQA (n=10),instance reasoning,0.4420025987901685
73,LLaVA‑Mistral‑7B | JS‑Blind VQA (n=10),logical reasoning,0.32038173157703276
74,LLaVA‑Mistral‑7B | JS‑Blind VQA (n=10),science & technology,
75,LLaVA‑Mistral‑7B | JS‑Blind VQA (n=15),coarse perception,0.4289918364883059
76,LLaVA‑Mistral‑7B | JS‑Blind VQA (n=15),fine-grained perception,0.4671873471469892
77,LLaVA‑Mistral‑7B | JS‑Blind VQA (n=15),instance reasoning,0.46659890914802693
78,LLaVA‑Mistral‑7B | JS‑Blind VQA (n=15),logical reasoning,0.28062976883970875
79,LLaVA‑Mistral‑7B | JS‑Blind VQA (n=15),science & technology,
80,LLaVA‑Mistral‑7B | SFT‑Blind MMStar,coarse perception,0.4060311158305279
81,LLaVA‑Mistral‑7B | SFT‑Blind MMStar,fine-grained perception,0.4561475982367644
82,LLaVA‑Mistral‑7B | SFT‑Blind MMStar,instance reasoning,0.49949346996275
83,LLaVA‑Mistral‑7B | SFT‑Blind MMStar,logical reasoning,0.37589404900834955
84,LLaVA‑Mistral‑7B | SFT‑Blind MMStar,science & technology,
85,LLaVA‑Mistral‑7B | SFT‑Blind VQA,coarse perception,0.4216904402021371
86,LLaVA‑Mistral‑7B | SFT‑Blind VQA,fine-grained perception,0.45926976848080575
87,LLaVA‑Mistral‑7B | SFT‑Blind VQA,instance reasoning,0.4420025987901685
88,LLaVA‑Mistral‑7B | SFT‑Blind VQA,logical reasoning,0.28062976883970875
89,LLaVA‑Mistral‑7B | SFT‑Blind VQA,science & technology,
90,LLaVA‑Mistral‑7B | SFT‑VQA,coarse perception,0.4200696325692566
91,LLaVA‑Mistral‑7B | SFT‑VQA,fine-grained perception,0.40215329992210275
92,LLaVA‑Mistral‑7B | SFT‑VQA,instance reasoning,0.35109596450031577
93,LLaVA‑Mistral‑7B | SFT‑VQA,logical reasoning,0.35582584585187355
94,LLaVA‑Mistral‑7B | SFT‑VQA,science & technology,
95,LLaVA‑Vicuna‑7B,coarse perception,0.32386216152367864
96,LLaVA‑Vicuna‑7B,fine-grained perception,0.41235962755514105
97,LLaVA‑Vicuna‑7B,instance reasoning,0.2980152998733511
98,LLaVA‑Vicuna‑7B,logical reasoning,0.27740491125268735
99,LLaVA‑Vicuna‑7B,science & technology,
100,Qwen3‑VL‑2B,coarse perception,0.32432008813388097
101,Qwen3‑VL‑2B,fine-grained perception,0.34291793873738485
102,Qwen3‑VL‑2B,instance reasoning,0.37058858960384317
103,Qwen3‑VL‑2B,logical reasoning,0.19623608957643646
104,Qwen3‑VL‑2B,science & technology,
105,Qwen3‑VL‑4B,coarse perception,0.4820976770012692
106,Qwen3‑VL‑4B,fine-grained perception,0.2814416339784384
107,Qwen3‑VL‑4B,instance reasoning,0.42244113878981454
108,Qwen3‑VL‑4B,logical reasoning,0.12512014411999717
109,Qwen3‑VL‑4B,science & technology,
110,Qwen3‑VL‑4B | JS‑Blind MMStar (n=15),coarse perception,0.4169718493995295
111,Qwen3‑VL‑4B | JS‑Blind MMStar (n=15),fine-grained perception,0.39860345489759313
112,Qwen3‑VL‑4B | JS‑Blind MMStar (n=15),instance reasoning,0.3753165186046694
113,Qwen3‑VL‑4B | JS‑Blind MMStar (n=15),logical reasoning,-0.07762861216719828
114,Qwen3‑VL‑4B | JS‑Blind MMStar (n=15),science & technology,
115,Qwen3‑VL‑4B | JS‑Blind VQA (GT),coarse perception,0.43414014958423586
116,Qwen3‑VL‑4B | JS‑Blind VQA (GT),fine-grained perception,0.36793718510286855
117,Qwen3‑VL‑4B | JS‑Blind VQA (GT),instance reasoning,0.38278465996526984
118,Qwen3‑VL‑4B | JS‑Blind VQA (GT),logical reasoning,0.10606060606060606
119,Qwen3‑VL‑4B | JS‑Blind VQA (GT),science & technology,
120,Qwen3‑VL‑4B | JS‑Blind VQA (n=10),coarse perception,0.4112883580784008
121,Qwen3‑VL‑4B | JS‑Blind VQA (n=10),fine-grained perception,0.3811870346152895
122,Qwen3‑VL‑4B | JS‑Blind VQA (n=10),instance reasoning,0.4258457829747095
123,Qwen3‑VL‑4B | JS‑Blind VQA (n=10),logical reasoning,-0.012764241128735329
124,Qwen3‑VL‑4B | JS‑Blind VQA (n=10),science & technology,
125,Qwen3‑VL‑4B | JS‑Blind VQA (n=15),coarse perception,0.3218411661697611
126,Qwen3‑VL‑4B | JS‑Blind VQA (n=15),fine-grained perception,0.3661670727266426
127,Qwen3‑VL‑4B | JS‑Blind VQA (n=15),instance reasoning,0.4057182183772205
