,model,0
0,InternVL3_5-1B,0.5686002441406858
1,InternVL3_5-2B,0.5943264578539119
2,InternVL3_5-4B,0.5109931010341943
3,InternVL3_5-8B,0.5173989112872467
4,InternVL3_5-8B_A1_vqa_gt,0.5091365256818295
5,InternVL3_5-8B_A2_vqa_10_blind_inst,0.5460811543496968
6,InternVL3_5-8B_A3_vqa_15_blind_inst,0.5481345094914526
7,InternVL3_5-8B_A4_mmstar_15_blind_inst,0.5363944105593973
8,InternVL3_5-8B_SFT_vqa_15_blind_inst,0.5491218117155747
9,InternVL3_5-8B_SFT_vqa_gt,0.48489956825607333
10,Qwen3-VL-2B-Instruct,0.5562755420816088
11,Qwen3-VL-4B-Instruct,0.5016099130043522
12,Qwen3-VL-4B-Instruct_A1_vqa_gt,0.4978583866195955
13,Qwen3-VL-4B-Instruct_A2_vqa_10_blind_inst,0.544491987760168
14,Qwen3-VL-4B-Instruct_A3_vqa_15_blind_inst,0.5389715346134006
15,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,0.5673913614794927
16,Qwen3-VL-4B-Instruct_SFT_vqa_15_blind_inst,0.5471517190159721
17,Qwen3-VL-4B-Instruct_SFT_vqa_gt,0.4397768845099305
18,Qwen3-VL-8B-Instruct,0.5461274368093137
19,Qwen3-VL-8B-Instruct_A1_vqa_gt,0.5581207427685388
20,Qwen3-VL-8B-Instruct_A2_vqa_10_blind_inst,0.5584167454593156
21,Qwen3-VL-8B-Instruct_A3_vqa_15_blind_inst,0.5581207427685388
22,Qwen3-VL-8B-Instruct_A4_mmstar_15_blind_inst,0.572207610429864
23,Qwen3-VL-8B-Instruct_SFT_mmstar_15_blind_inst,0.5727666282434715
24,Qwen3-VL-8B-Instruct_SFT_vqa_15_blind_inst,0.5679994204883781
25,llava-1.5-7b-hf,0.535330337750371
26,llava-v1.6-mistral-7b-hf,0.5206159717948475
27,llava-v1.6-mistral-7b-hf_A1_vqa_gt,0.41656663217850354
28,llava-v1.6-mistral-7b-hf_A2_vqa_10_blind_inst,0.5543566076664942
29,llava-v1.6-mistral-7b-hf_A3_vqa_15_blind_inst,0.5703116838078566
30,llava-v1.6-mistral-7b-hf_A4_mmstar_15_blind_inst,0.5096226381156002
31,llava-v1.6-mistral-7b-hf_SFT_mmstar_15_blind_inst,0.4873630426259184
32,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,0.5928983594284307
33,llava-v1.6-mistral-7b-hf_SFT_vqa_gt,0.4294990647207679
34,llava-v1.6-vicuna-7b-hf,0.5168863049810138
