,model,0
0,InternVL3_5-1B,0.6202401263760948
1,InternVL3_5-2B,0.6750074558533123
2,InternVL3_5-4B,0.6112479447240262
3,InternVL3_5-8B,0.6374923079693021
4,InternVL3_5-8B_A1_vqa_gt,0.6623527271862703
5,InternVL3_5-8B_A2_vqa_10_blind_inst,0.6914315350077622
6,InternVL3_5-8B_A3_vqa_15_blind_inst,0.691654611109512
7,InternVL3_5-8B_A4_mmstar_15_blind_inst,0.6574322376203141
8,InternVL3_5-8B_SFT_vqa_15_blind_inst,0.692573944388484
9,InternVL3_5-8B_SFT_vqa_gt,0.6445044059587718
10,Qwen3-VL-2B-Instruct,0.6595428114205127
11,Qwen3-VL-4B-Instruct,0.6812631105736617
12,Qwen3-VL-4B-Instruct_A1_vqa_gt,0.6638678051200536
13,Qwen3-VL-4B-Instruct_A2_vqa_10_blind_inst,0.702848374252473
14,Qwen3-VL-4B-Instruct_A3_vqa_15_blind_inst,0.7072394747958878
15,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,0.710091072100763
16,Qwen3-VL-4B-Instruct_SFT_vqa_15_blind_inst,0.6949950561963273
17,Qwen3-VL-4B-Instruct_SFT_vqa_gt,0.5989306988198129
18,Qwen3-VL-8B-Instruct,0.6865810022927745
19,Qwen3-VL-8B-Instruct_A1_vqa_gt,0.6931733485789185
20,Qwen3-VL-8B-Instruct_A2_vqa_10_blind_inst,0.7099973965523938
21,Qwen3-VL-8B-Instruct_A3_vqa_15_blind_inst,0.6931733485789185
22,Qwen3-VL-8B-Instruct_A4_mmstar_15_blind_inst,0.7294143555629707
23,Qwen3-VL-8B-Instruct_SFT_mmstar_15_blind_inst,0.7239889960317785
24,Qwen3-VL-8B-Instruct_SFT_vqa_15_blind_inst,0.7033887230165067
25,llava-1.5-7b-hf,0.591076779852826
26,llava-v1.6-mistral-7b-hf,0.6278109722273391
27,llava-v1.6-mistral-7b-hf_A1_vqa_gt,0.5730606389035237
28,llava-v1.6-mistral-7b-hf_A2_vqa_10_blind_inst,0.6718064101614993
29,llava-v1.6-mistral-7b-hf_A3_vqa_15_blind_inst,0.6830134694282382
30,llava-v1.6-mistral-7b-hf_A4_mmstar_15_blind_inst,0.692931460411745
31,llava-v1.6-mistral-7b-hf_SFT_mmstar_15_blind_inst,0.6957416542490066
32,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,0.6556081312945577
33,llava-v1.6-mistral-7b-hf_SFT_vqa_gt,0.5833490007539496
34,llava-v1.6-vicuna-7b-hf,0.6164211546936573
