,model,0
0,InternVL3_5-1B,0.5557819830885943
1,InternVL3_5-2B,0.591047910487954
2,InternVL3_5-4B,0.5985211718741491
3,InternVL3_5-8B,0.6100711984438999
4,InternVL3_5-8B_A1_vqa_gt,0.5883445082941312
5,InternVL3_5-8B_A2_vqa_10_blind_inst,0.6106047369216673
6,InternVL3_5-8B_A3_vqa_15_blind_inst,0.6245031783856909
7,InternVL3_5-8B_A4_mmstar_15_blind_inst,0.5955741568860534
8,InternVL3_5-8B_SFT_vqa_15_blind_inst,0.6268580147277565
9,InternVL3_5-8B_SFT_vqa_gt,0.5724822401954242
10,Qwen3-VL-2B-Instruct,0.5511793092587837
11,Qwen3-VL-4B-Instruct,0.6449554583915899
12,Qwen3-VL-4B-Instruct_A1_vqa_gt,0.5857023519839075
13,Qwen3-VL-4B-Instruct_A2_vqa_10_blind_inst,0.6200695036781446
14,Qwen3-VL-4B-Instruct_A3_vqa_15_blind_inst,0.6330372017066492
15,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,0.6412536316217797
16,Qwen3-VL-4B-Instruct_SFT_vqa_15_blind_inst,0.6207380436130063
17,Qwen3-VL-4B-Instruct_SFT_vqa_gt,0.546131236257829
18,Qwen3-VL-8B-Instruct,0.6482904533123307
19,Qwen3-VL-8B-Instruct_A1_vqa_gt,0.6024429322887418
20,Qwen3-VL-8B-Instruct_A2_vqa_10_blind_inst,0.6300152464195187
21,Qwen3-VL-8B-Instruct_A3_vqa_15_blind_inst,0.6024429322887418
22,Qwen3-VL-8B-Instruct_A4_mmstar_15_blind_inst,0.6524321050503861
23,Qwen3-VL-8B-Instruct_SFT_mmstar_15_blind_inst,0.6453517125421464
24,Qwen3-VL-8B-Instruct_SFT_vqa_15_blind_inst,0.6221011798898333
25,llava-1.5-7b-hf,0.4978813757780327
26,llava-v1.6-mistral-7b-hf,0.5485824495121748
27,llava-v1.6-mistral-7b-hf_A1_vqa_gt,0.5323088347963826
28,llava-v1.6-mistral-7b-hf_A2_vqa_10_blind_inst,0.616395216979022
29,llava-v1.6-mistral-7b-hf_A3_vqa_15_blind_inst,0.623290956950669
30,llava-v1.6-mistral-7b-hf_A4_mmstar_15_blind_inst,0.6211012880936273
31,llava-v1.6-mistral-7b-hf_SFT_mmstar_15_blind_inst,0.6277635453443673
32,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,0.5917118124741243
33,llava-v1.6-mistral-7b-hf_SFT_vqa_gt,0.516776493224753
34,llava-v1.6-vicuna-7b-hf,0.5289682768225906
