,model,theta_hat,ci
0,InternVL 3.5 (1B),0.12725866167872674,[0.01807724 0.24007047]
1,InternVL 3.5 (2B),0.18218182783213605,[0.06843183 0.29514625]
2,InternVL 3.5 (4B),0.11852223946267745,[-0.01240627  0.23398128]
3,InternVL 3.5 (8B),0.23019621572938023,[0.11117597 0.33979072]
4,Qwen3‑VL (2B),0.09341720015821656,[-0.03431021  0.20358979]
5,Qwen3‑VL (4B),0.1721209908282207,[0.05172708 0.29386528]
6,Qwen3‑VL (8B),0.20315782659913717,[0.07688281 0.32070287]
7,LLaVA‑Mistral (7B),0.14926002047223966,[0.03372313 0.272649  ]
8,Qwen3 (8B),0.21246154973492729,[0.09107914 0.31545566]
9,LLaVA‑1.5 (7B),0.1435397618200421,[0.03064481 0.27218507]
10,Qwen3 (4B),0.18718880395343668,[0.06711689 0.30089992]
11,LLaVA‑Vicuna (7B),0.12895491830173797,[0.02445902 0.23253852]
