,model,theta_hat,ci,finetuned
0,InternVL 3.5 (1B),0.12725866167872674,[0.01807724 0.24007047],Pretrained
1,InternVL 3.5 (2B),0.18218182783213605,[0.06843183 0.29514625],Pretrained
2,InternVL 3.5 (4B),0.11852223946267745,[-0.01240627  0.23398128],Pretrained
3,InternVL 3.5 (8B),0.23019621572938023,[0.11117597 0.33979072],Pretrained
4,InternVL 3.5 (8B),0.20072115101773821,[0.07695275 0.32040197],JS VQA (GT)
5,InternVL 3.5 (8B),0.25889678052363807,[0.14586403 0.35957492],SFT-Blind MMStar (n=15)
6,InternVL 3.5 (8B),0.27227541280947165,[0.1630381  0.38165178],JS-Blind VQA (n=10)
7,InternVL 3.5 (8B),0.2703284721595749,[0.16464508 0.38246825],JS-Blind VQA (n=15)
8,InternVL 3.5 (8B),0.2944591004429869,[0.18670814 0.39534954],JS-Blind MMStar (n=15)
9,InternVL 3.5 (8B),0.26966409263814284,[0.16038903 0.38562786],SFT-Blind VQA
10,InternVL 3.5 (8B),0.24072072585136123,[0.11784062 0.35378469],SFT-VQA
11,Qwen3‑VL (2B),0.09341720015821656,[-0.03431021  0.20358979],Pretrained
12,Qwen3‑VL (4B),0.1721209908282207,[0.05172708 0.29386528],Pretrained
13,Qwen3‑VL (4B),0.1764475873956156,[0.05639615 0.28618537],JS VQA (GT)
14,Qwen3‑VL (4B),0.2543441512023665,[0.1357922  0.36376974],JS-Blind VQA (n=10)
15,Qwen3‑VL (4B),0.23776399878362134,[0.1204706  0.35179026],JS-Blind VQA (n=15)
16,Qwen3‑VL (4B),0.3140141970575271,[0.20878613 0.41201074],JS-Blind MMStar (n=15)
17,Qwen3‑VL (4B),0.3087024975341253,[0.19473647 0.41995656],SFT-Blind VQA
18,Qwen3‑VL (4B),0.16555822769190512,[0.04421226 0.27519201],SFT-VQA
19,Qwen3‑VL (8B),0.20315782659913717,[0.07688281 0.32070287],Pretrained
20,Qwen3‑VL (8B),0.2330525501348472,[0.11156871 0.34600656],JS VQA (GT)
21,Qwen3‑VL (8B),0.2524545215500458,[0.13494845 0.36211508],JS-Blind VQA (n=10)
22,Qwen3‑VL (8B),0.2330525501348472,[0.11156871 0.34600656],JS-Blind VQA (n=15)
23,Qwen3‑VL (8B),0.35051465830371337,[0.24568776 0.45539599],JS-Blind MMStar (n=15)
24,Qwen3‑VL (8B),0.31779814214528396,[0.19612837 0.41956665],SFT-Blind MMStar
25,Qwen3‑VL (8B),0.273244365874297,[0.15998696 0.38138023],SFT-Blind VQA
26,LLaVA‑Mistral (7B),0.14926002047223966,[0.03372313 0.272649  ],Pretrained
27,LLaVA‑Mistral (7B),0.2860266202760766,[0.17764977 0.40308697],JS-Blind VQA (n=15)
28,LLaVA‑Mistral (7B),0.18153931084082023,[0.05768478 0.29527203],JS VQA (GT)
29,LLaVA‑Mistral (7B),0.2551069317068702,[0.13678641 0.37603685],JS-Blind VQA (n=10)
30,LLaVA‑Mistral (7B),0.35562992848676955,[0.24609702 0.45680889],JS-Blind MMStar (n=15)
31,LLaVA‑Mistral (7B),0.45790425538203333,[0.35267038 0.55286045],SFT-Blind MMStar
32,LLaVA‑Mistral (7B),0.2956625169396139,[0.1786329  0.41500023],SFT-Blind VQA
33,LLaVA‑Mistral (7B),0.22694558026396028,[0.10983638 0.34592575],SFT-VQA
34,Qwen3 (8B),0.21246154973492729,[0.09107914 0.31545566],Pretrained
35,LLaVA‑1.5 (7B),0.1435397618200421,[0.03064481 0.27218507],Pretrained
36,Qwen3 (4B),0.18718880395343668,[0.06711689 0.30089992],Pretrained
37,LLaVA‑Vicuna (7B),0.12895491830173797,[0.02445902 0.23253852],Pretrained
