,model,theta_hat,ci,finetuned,dataset,metric,ci_low,ci_high,MG_sim,MG_acc,family,model_size
0,InternVL 3.5 (1B),0.12725866167872674,"[0.01807723636027576, 0.24007046518527747]",Pretrained,MMStar,correct,0.01807723636027576,0.24007046518527747,17.87482,37.73392666666667,InternVL,1.0
1,InternVL 3.5 (2B),0.18218182783213605,"[0.06843183181116226, 0.2951462527712584]",Pretrained,MMStar,correct,0.06843183181116226,0.2951462527712584,19.400879999999997,40.36724666666667,InternVL,2.0
2,InternVL 3.5 (4B),0.11852223946267745,"[-0.012406274713037126, 0.23398128087226605]",Pretrained,MMStar,correct,-0.012406274713037126,0.23398128087226605,18.548379999999998,38.3872,InternVL,4.0
3,InternVL 3.5 (8B),0.23019621572938023,"[0.11117597332303726, 0.33979072431682805]",Pretrained,MMStar,correct,0.11117597332303726,0.33979072431682805,20.5293,42.4741,InternVL,8.0
4,InternVL 3.5 (8B),0.20072115101773821,"[0.07695275104800336, 0.3204019650183335]",JS VQA (GT),MMStar,correct,0.07695275104800336,0.3204019650183335,18.536279999999998,40.55428666666666,InternVL,8.0
6,InternVL 3.5 (8B),0.2703284721595749,"[0.16464508215591736, 0.38246825038229476]",JS-Blind VQA (n=15),MMStar,correct,0.16464508215591736,0.38246825038229476,17.8695,39.80095333333333,InternVL,8.0
8,InternVL 3.5 (8B),0.26966409263814284,"[0.1603890305172797, 0.38562786480254263]",SFT-Blind VQA,MMStar,correct,0.1603890305172797,0.38562786480254263,17.88102,39.987653333333334,InternVL,8.0
9,InternVL 3.5 (8B),0.24072072585136123,"[0.11784061884865608, 0.3537846938983669]",SFT-VQA,MMStar,correct,0.11784061884865608,0.3537846938983669,18.446379999999998,40.14752,InternVL,8.0
10,Qwen3‑VL (2B),0.09341720015821656,"[-0.03431021336888431, 0.2035897902340431]",Pretrained,MMStar,correct,-0.03431021336888431,0.2035897902340431,20.743879999999997,41.94036,Qwen,2.0
11,Qwen3‑VL (4B),0.1721209908282207,"[0.05172708272315321, 0.293865277449695]",Pretrained,MMStar,correct,0.05172708272315321,0.293865277449695,21.879939999999998,44.43396666666667,Qwen,4.0
12,Qwen3‑VL (4B),0.1764475873956156,"[0.05639615003811714, 0.28618536829846397]",JS VQA (GT),MMStar,correct,0.05639615003811714,0.28618536829846397,21.7121,44.600633333333334,Qwen,4.0
14,Qwen3‑VL (4B),0.23776399878362134,"[0.12047060486581808, 0.351790261296047]",JS-Blind VQA (n=15),MMStar,correct,0.12047060486581808,0.351790261296047,19.2134,42.13428666666666,Qwen,4.0
16,Qwen3‑VL (4B),0.3087024975341253,"[0.1947364705526647, 0.41995655699083323]",SFT-Blind VQA,MMStar,correct,0.1947364705526647,0.41995655699083323,19.162879999999998,42.100840000000005,Qwen,4.0
17,Qwen3‑VL (4B),0.16555822769190512,"[0.04421225608963054, 0.2751920098217672]",SFT-VQA,MMStar,correct,0.04421225608963054,0.2751920098217672,21.82378,44.71402666666667,Qwen,4.0
18,Qwen3‑VL (8B),0.20315782659913717,"[0.07688280591173466, 0.3207028701218028]",Pretrained,MMStar,correct,0.07688280591173466,0.3207028701218028,22.83588,44.97422666666667,Qwen,8.0
19,Qwen3‑VL (8B),0.2330525501348472,"[0.1115687137821924, 0.346006559574216]",JS VQA (GT),MMStar,correct,0.1115687137821924,0.346006559574216,21.0147,43.82123333333333,Qwen,8.0
21,Qwen3‑VL (8B),0.2330525501348472,"[0.1115687137821924, 0.346006559574216]",JS-Blind VQA (n=15),MMStar,correct,0.1115687137821924,0.346006559574216,21.0147,43.82123333333333,Qwen,8.0
24,Qwen3‑VL (8B),0.273244365874297,"[0.1599869638189681, 0.38138023318164943]",SFT-Blind VQA,MMStar,correct,0.1599869638189681,0.38138023318164943,18.94082,41.300959999999996,Qwen,8.0
25,LLaVA‑Mistral (7B),0.14926002047223966,"[0.03372312871709591, 0.2726490023976801]",Pretrained,MMStar,correct,0.03372312871709591,0.2726490023976801,22.66444,43.62075333333333,LLaVA,7.0
26,LLaVA‑Mistral (7B),0.2860266202760766,"[0.17764977478450403, 0.40308697348470995]",JS-Blind VQA (n=15),MMStar,correct,0.17764977478450403,0.40308697348470995,18.30348,39.01410666666666,LLaVA,7.0
27,LLaVA‑Mistral (7B),0.18153931084082023,"[0.05768478275209469, 0.295272033520134]",JS VQA (GT),MMStar,correct,0.05768478275209469,0.295272033520134,18.972739999999998,40.35412,LLaVA,7.0
31,LLaVA‑Mistral (7B),0.2956625169396139,"[0.17863289888228726, 0.4150002272062637]",SFT-Blind VQA,MMStar,correct,0.17863289888228726,0.4150002272062637,18.10104,38.45399333333334,LLaVA,7.0
32,LLaVA‑Mistral (7B),0.22694558026396028,"[0.10983637653719446, 0.3459257481533631]",SFT-VQA,MMStar,correct,0.10983637653719446,0.3459257481533631,18.36514,40.434259999999995,LLaVA,7.0
33,LLaVA‑1.5 (7B),0.1435397618200421,"[0.0306448060789025, 0.27218507491928423]",Pretrained,MMStar,correct,0.0306448060789025,0.27218507491928423,22.103379999999998,41.41402,LLaVA,7.0
34,LLaVA‑Vicuna (7B),0.12895491830173797,"[0.024459020555755898, 0.23253851740393688]",Pretrained,MMStar,correct,0.024459020555755898,0.23253851740393688,22.365119999999997,44.08092,LLaVA,7.0
35,InternVL 3.5 (1B),0.6416164175745132,"[0.5807726059547993, 0.6981484032300082]",Pretrained,VQA,correct,0.5807726059547993,0.6981484032300082,17.87482,37.73392666666667,InternVL,1.0
36,InternVL 3.5 (2B),0.6250787814120415,"[0.5615293830508558, 0.6856174820185491]",Pretrained,VQA,correct,0.5615293830508558,0.6856174820185491,19.400879999999997,40.36724666666667,InternVL,2.0
37,InternVL 3.5 (4B),0.6685351652203905,"[0.6013687093524377, 0.7235146836895143]",Pretrained,VQA,correct,0.6013687093524377,0.7235146836895143,18.548379999999998,38.3872,InternVL,4.0
38,InternVL 3.5 (8B),0.6764867139234656,"[0.6089563199913489, 0.7347724473855491]",Pretrained,VQA,correct,0.6089563199913489,0.7347724473855491,20.5293,42.4741,InternVL,8.0
39,InternVL 3.5 (8B),0.565097276507343,"[0.4911188351409889, 0.6343404572764239]",JS VQA (GT),VQA,correct,0.4911188351409889,0.6343404572764239,18.536279999999998,40.55428666666666,InternVL,8.0
41,InternVL 3.5 (8B),0.7315186244500691,"[0.6765984360292906, 0.778009685963438]",JS-Blind VQA (n=15),VQA,correct,0.6765984360292906,0.778009685963438,17.8695,39.80095333333333,InternVL,8.0
43,InternVL 3.5 (8B),0.7436627812231068,"[0.6901162114813013, 0.787647094147688]",SFT-Blind VQA,VQA,correct,0.6901162114813013,0.787647094147688,17.88102,39.987653333333334,InternVL,8.0
44,InternVL 3.5 (8B),0.5372222754645944,"[0.46030419910070614, 0.6101916463635874]",SFT-VQA,VQA,correct,0.46030419910070614,0.6101916463635874,18.446379999999998,40.14752,InternVL,8.0
45,Qwen3‑VL (2B),0.5552047361784185,"[0.4783973610359363, 0.6215933394711848]",Pretrained,VQA,correct,0.4783973610359363,0.6215933394711848,20.743879999999997,41.94036,Qwen,2.0
46,Qwen3‑VL (4B),0.613312581773361,"[0.5440508318757648, 0.6800874160333239]",Pretrained,VQA,correct,0.5440508318757648,0.6800874160333239,21.879939999999998,44.43396666666667,Qwen,4.0
47,Qwen3‑VL (4B),0.5336642312455337,"[0.4610819539939956, 0.6065391234219562]",JS VQA (GT),VQA,correct,0.4610819539939956,0.6065391234219562,21.7121,44.600633333333334,Qwen,4.0
