,model,theta_hat,ci,finetuned,dataset,metric,ci_low,ci_high,MG_sim,MG_acc,family,model_size
0,InternVL 3.5 (1B),0.6643765072308406,"[0.5914480301548757, 0.7285125347482959]",Pretrained,VQA,answer_similarity,0.5914480301548757,0.7285125347482959,17.87482,37.73392666666667,InternVL,1.0
1,InternVL 3.5 (2B),0.6816636692447497,"[0.6120386312202798, 0.7399716229905469]",Pretrained,VQA,answer_similarity,0.6120386312202798,0.7399716229905469,19.400879999999997,40.36724666666667,InternVL,2.0
2,InternVL 3.5 (4B),0.6836798635811985,"[0.6118878924794204, 0.7410038534617158]",Pretrained,VQA,answer_similarity,0.6118878924794204,0.7410038534617158,18.548379999999998,38.3872,InternVL,4.0
3,InternVL 3.5 (8B),0.7009109394182221,"[0.6336709614650997, 0.7613672851527937]",Pretrained,VQA,answer_similarity,0.6336709614650997,0.7613672851527937,20.5293,42.4741,InternVL,8.0
4,InternVL 3.5 (8B),0.5869759773139,"[0.5027579311923421, 0.662722067825244]",JS VQA (GT),VQA,answer_similarity,0.5027579311923421,0.662722067825244,18.536279999999998,40.55428666666666,InternVL,8.0
6,InternVL 3.5 (8B),0.6869158391663608,"[0.6143192785168502, 0.7486814475448382]",JS-Blind VQA (n=15),VQA,answer_similarity,0.6143192785168502,0.7486814475448382,17.8695,39.80095333333333,InternVL,8.0
8,InternVL 3.5 (8B),0.6844104539679643,"[0.6108676224316728, 0.7530661670223259]",SFT-Blind VQA,VQA,answer_similarity,0.6108676224316728,0.7530661670223259,17.88102,39.987653333333334,InternVL,8.0
9,InternVL 3.5 (8B),0.5401601939608712,"[0.44610494570254916, 0.6214062622103482]",SFT-VQA,VQA,answer_similarity,0.44610494570254916,0.6214062622103482,18.446379999999998,40.14752,InternVL,8.0
10,Qwen3‑VL (2B),0.6414447445511556,"[0.5601430065188308, 0.708334103435216]",Pretrained,VQA,answer_similarity,0.5601430065188308,0.708334103435216,20.743879999999997,41.94036,Qwen,2.0
11,Qwen3‑VL (4B),0.6163613849748716,"[0.5338915539458553, 0.6903977476879553]",Pretrained,VQA,answer_similarity,0.5338915539458553,0.6903977476879553,21.879939999999998,44.43396666666667,Qwen,4.0
12,Qwen3‑VL (4B),0.5887451045478728,"[0.5087107835214779, 0.6667730371174933]",JS VQA (GT),VQA,answer_similarity,0.5087107835214779,0.6667730371174933,21.7121,44.600633333333334,Qwen,4.0
14,Qwen3‑VL (4B),0.6741401219606658,"[0.5949642191935386, 0.7428800896802324]",JS-Blind VQA (n=15),VQA,answer_similarity,0.5949642191935386,0.7428800896802324,19.2134,42.13428666666666,Qwen,4.0
16,Qwen3‑VL (4B),0.6904561617302328,"[0.6143368744676777, 0.75422413010235]",SFT-Blind VQA,VQA,answer_similarity,0.6143368744676777,0.75422413010235,19.162879999999998,42.100840000000005,Qwen,4.0
17,Qwen3‑VL (4B),0.5171574676856426,"[0.42905574776517064, 0.6027486645580349]",SFT-VQA,VQA,answer_similarity,0.42905574776517064,0.6027486645580349,21.82378,44.71402666666667,Qwen,4.0
18,Qwen3‑VL (8B),0.6707123171005613,"[0.5931186877158987, 0.7346680629004477]",Pretrained,VQA,answer_similarity,0.5931186877158987,0.7346680629004477,22.83588,44.97422666666667,Qwen,8.0
19,Qwen3‑VL (8B),0.6548615686617498,"[0.5728555291749026, 0.721543465194823]",JS VQA (GT),VQA,answer_similarity,0.5728555291749026,0.721543465194823,21.0147,43.82123333333333,Qwen,8.0
21,Qwen3‑VL (8B),0.6548615686617498,"[0.5728555291749026, 0.721543465194823]",JS-Blind VQA (n=15),VQA,answer_similarity,0.5728555291749026,0.721543465194823,21.0147,43.82123333333333,Qwen,8.0
23,Qwen3‑VL (8B),0.7072811419697366,"[0.6397943315262898, 0.7687044014757687]",SFT-Blind VQA,VQA,answer_similarity,0.6397943315262898,0.7687044014757687,18.94082,41.300959999999996,Qwen,8.0
25,LLaVA‑Mistral (7B),0.5960374648933334,"[0.5098445163674239, 0.672062850067764]",Pretrained,VQA,answer_similarity,0.5098445163674239,0.672062850067764,22.66444,43.62075333333333,LLaVA,7.0
26,LLaVA‑Mistral (7B),0.4679570431173195,"[0.3739193934949522, 0.5587475905057655]",JS VQA (GT),VQA,answer_similarity,0.3739193934949522,0.5587475905057655,18.972739999999998,40.35412,LLaVA,7.0
28,LLaVA‑Mistral (7B),0.7051666284734192,"[0.6324602172048847, 0.770013981522071]",JS-Blind VQA (n=15),VQA,answer_similarity,0.6324602172048847,0.770013981522071,18.30348,39.01410666666666,LLaVA,7.0
30,LLaVA‑Mistral (7B),0.7469671639420852,"[0.6836166051076237, 0.8027329555259703]",SFT-Blind VQA,VQA,answer_similarity,0.6836166051076237,0.8027329555259703,18.10104,38.45399333333334,LLaVA,7.0
31,LLaVA‑Mistral (7B),0.4726140394684377,"[0.37938247957319277, 0.5604339795925664]",SFT-VQA,VQA,answer_similarity,0.37938247957319277,0.5604339795925664,18.36514,40.434259999999995,LLaVA,7.0
33,LLaVA‑1.5 (7B),0.6047891544751088,"[0.5276251708866089, 0.6760097619564319]",Pretrained,VQA,answer_similarity,0.5276251708866089,0.6760097619564319,22.103379999999998,41.41402,LLaVA,7.0
34,LLaVA‑Vicuna (7B),0.6055258645275432,"[0.5213133230931699, 0.680738031708659]",Pretrained,VQA,answer_similarity,0.5213133230931699,0.680738031708659,22.365119999999997,44.08092,LLaVA,7.0
