,model,theta_hat,ci,metric
0,InternVL 3.5 (1B),0.6723043964871858,[0.5979492  0.73811438],answer_similarity
1,InternVL 3.5 (2B),0.6984525931928652,[0.62770746 0.75795562],answer_similarity
2,InternVL 3.5 (4B),0.6253056381524353,[0.54241248 0.69305529],answer_similarity
3,InternVL 3.5 (8B),0.6411511275007139,[0.6130735  0.66878825],answer_similarity
4,Qwen3‑VL (2B),0.649870514343353,[0.56861847 0.71369354],answer_similarity
5,Qwen3‑VL (4B),0.6309686442935007,[0.60440191 0.6579205 ],answer_similarity
6,Qwen3‑VL (8B),0.6890044561702925,[0.66194695 0.71383835],answer_similarity
7,LLaVA‑Mistral (7B),0.6109071499517448,[0.58416757 0.6383817 ],answer_similarity
8,LLaVA‑1.5 (7B),0.6215509542430204,[0.54444852 0.68961057],answer_similarity
9,LLaVA‑Vicuna (7B),0.6135950317194553,[0.52972058 0.69098731],answer_similarity
10,InternVL 3.5 (1B),0.6433297436385261,[0.57988299 0.70087973],correct
11,InternVL 3.5 (2B),0.6279759488303712,[0.564327   0.68814735],correct
12,InternVL 3.5 (4B),0.6691860605477027,[0.60212436 0.72411511],correct
13,InternVL 3.5 (8B),0.6661530449574938,[0.64293045 0.68917327],correct
14,Qwen3‑VL (2B),0.5569379201562934,[0.48230419 0.62284772],correct
15,Qwen3‑VL (4B),0.6451191763460057,[0.62081194 0.66725359],correct
16,Qwen3‑VL (8B),0.6766022774958402,[0.6532671 0.6976966],correct
17,LLaVA‑Mistral (7B),0.6250314280127092,[0.60282497 0.64767208],correct
18,LLaVA‑1.5 (7B),0.49081622059974395,[0.4116963  0.56705303],correct
19,LLaVA‑Vicuna (7B),0.48903708088016484,[0.40729853 0.57672711],correct
