,mean,mean,mean,mean,mean,mean
,answer_similarity,answer_similarity,answer_similarity,correct,correct,correct
condition,,,,,,
answer_type,number,other,yes/no,number,other,yes/no
model,,,,,,
InternVL3_5-1B,86.202,76.00220465890183,93.92692702980472,62.767999999999994,64.61414309484192,88.54033915724563
InternVL3_5-2B,87.31523076923077,78.08639767054909,95.18900308324768,64.20415384615384,67.77562396006655,92.41130524152106
InternVL3_5-4B,88.76276923076924,79.30665557404326,95.7597636176773,70.30676923076923,68.70440931780365,93.57625899280575
InternVL3_5-8B,89.23292307692309,80.49276206322796,96.26767728674203,72.05046153846155,73.11422628951748,94.36433710174717
InternVL3_5-8B_A1_vqa_gt,89.05261538461538,81.48144758735441,96.15832476875643,71.948,74.30657237936772,94.2273381294964
InternVL3_5-8B_A2_vqa_10_blind_inst,89.10615384615384,80.95619800332778,95.9396197327852,72.35784615384615,73.69617304492513,93.18237410071941
InternVL3_5-8B_A3_vqa_15_blind_inst,89.13092307692307,80.9161397670549,95.91228160328879,72.56323076923077,73.48826955074875,93.07954779033915
InternVL3_5-8B_A4_mmstar_15_blind_inst,89.16815384615386,80.45220465890183,96.19933196300103,72.46092307692308,73.10033277870217,94.19306269270298
InternVL3_5-8B_SFT_mmstar_15_blind_inst,88.9883076923077,80.75253743760399,96.17199383350463,72.05061538461538,73.50232945091514,94.03890030832477
InternVL3_5-8B_SFT_vqa_15_blind_inst,88.84923076923077,80.88814475873545,95.96294964028776,72.05046153846155,73.68232113144758,93.35359712230216
InternVL3_5-8B_SFT_vqa_gt,89.16784615384616,81.53560732113145,96.19933196300103,71.74246153846154,74.16767886855241,94.33016443987667
Qwen3-4B,14.795104895104894,23.346812749003984,11.406702412868633,0.23286713286713284,5.710159362549801,14.655764075067026
Qwen3-8B,13.986307692307692,22.150582362728784,10.279599177800616,0.0,4.686272878535774,10.859763617677286
Qwen3-VL-2B-Instruct,88.37892307692309,79.29496672212979,95.92261048304213,70.66584615384616,69.84151414309484,93.86731757451182
Qwen3-VL-4B-Instruct,89.0883076923077,81.57799500831946,96.38432682425488,73.99892307692308,75.15220465890182,94.89522096608428
Qwen3-VL-4B-Instruct_A1_vqa_gt,89.508,81.71335274542429,96.41228160328879,74.15292307692307,75.22158901830284,95.23782117163411
Qwen3-VL-4B-Instruct_A2_vqa_10_blind_inst,89.53461538461538,81.4723377703827,96.494295991778,73.53769230769231,73.97341930116472,95.06649537512847
Qwen3-VL-4B-Instruct_A3_vqa_15_blind_inst,89.2916923076923,81.48007487520799,96.64362795477903,73.28107692307692,74.19542429284526,95.47769784172662
Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,89.44646153846153,81.54068219633943,96.45745118191162,74.05030769230768,74.8608153078203,95.15210688591984
Qwen3-VL-4B-Instruct_SFT_vqa_15_blind_inst,88.77107692307692,81.6480449251248,96.62199383350462,71.12707692307693,74.13980865224626,95.30637204522097
Qwen3-VL-4B-Instruct_SFT_vqa_gt,89.30276923076923,81.43148918469217,96.41228160328879,73.99892307692308,74.79163893510815,95.18648509763618
Qwen3-VL-8B-Instruct,89.64184615384615,81.71227121464226,96.53705035971224,74.97353846153847,75.05540765391015,95.13514902363823
Qwen3-VL-8B-Instruct_A1_vqa_gt,90.22384615384615,81.92350249584027,96.3593525179856,74.35846153846154,75.58232113144759,94.91248715313463
Qwen3-VL-8B-Instruct_A2_vqa_10_blind_inst,90.09261538461539,81.70141430948419,96.41402877697843,74.30676923076923,74.19546589018303,95.01536485097635
Qwen3-VL-8B-Instruct_A3_vqa_15_blind_inst,90.22384615384615,81.92350249584027,96.3593525179856,74.35846153846154,75.58232113144759,94.91248715313463
Qwen3-VL-8B-Instruct_A4_mmstar_15_blind_inst,90.16799999999999,81.80108153078203,96.44136690647481,75.12738461538461,75.0,95.15236382322713
Qwen3-VL-8B-Instruct_SFT_mmstar_15_blind_inst,90.20723076923076,81.80690515806988,96.38669064748201,75.28153846153846,75.3742928452579,95.15236382322713
Qwen3-VL-8B-Instruct_SFT_vqa_15_blind_inst,89.80984615384615,81.6845673876872,96.46870503597123,74.40938461538461,73.59920965058237,94.89542651593011
llava-1.5-7b-hf,84.51953846153846,78.73681364392678,94.79193216855087,57.896153846153844,70.21613976705491,90.56135662898252
llava-v1.6-mistral-7b-hf,87.43892307692307,82.53207154742097,95.95590955806784,66.4083076923077,76.27545757071547,93.52502569373074
llava-v1.6-mistral-7b-hf_A1_vqa_gt,87.49246153846154,81.5820299500832,95.72517985611512,65.69092307692307,74.75033277870216,92.85698869475848
llava-v1.6-mistral-7b-hf_A2_vqa_10_blind_inst,87.54815384615385,81.08178036605658,95.80955806783145,65.53676923076924,73.41900998336106,93.02841726618705
llava-v1.6-mistral-7b-hf_A3_vqa_15_blind_inst,87.28015384615384,81.12250415973378,95.6141829393628,65.17784615384615,73.28040765391015,92.73710174717368
llava-v1.6-mistral-7b-hf_A4_mmstar_15_blind_inst,87.3156923076923,82.2130615640599,95.95590955806784,66.76738461538461,75.29105657237938,93.59352517985612
llava-v1.6-mistral-7b-hf_SFT_mmstar_15_blind_inst,87.61553846153846,81.93211314475873,95.91490236382323,66.61384615384615,75.23548252911814,93.40503597122303
llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,86.53861538461538,80.09650582362728,95.53340184994862,64.15230769230769,71.43577371048254,92.30883864337102
