,mean,mean,mean,count,count,count
,correct,correct,correct,correct,correct,correct
condition,,blind,inst blind,,blind,inst blind
model,,,,,,
InternVL3_5-1B,0.4574898785425101,0.291497975708502,0.2793522267206478,247.0,247.0,247.0
InternVL3_5-2B,0.5384615384615384,0.2550607287449393,0.23481781376518218,247.0,247.0,247.0
InternVL3_5-4B,0.6518218623481782,0.27125506072874495,0.24696356275303644,247.0,247.0,247.0
InternVL3_5-8B,0.6504065040650406,0.32388663967611336,0.32793522267206476,246.0,247.0,247.0
InternVL3_5-8B_A1_vqa_gt,0.7004048582995951,,0.32388663967611336,247.0,,247.0
Qwen3-8B-Base,0.17408906882591094,,,247.0,,
Qwen3-VL-2B-Instruct,0.5870445344129555,0.21862348178137653,0.27125506072874495,247.0,247.0,247.0
Qwen3-VL-4B-Instruct,0.6639676113360324,0.29959514170040485,0.2834008097165992,247.0,247.0,247.0
Qwen3-VL-4B-Instruct_A1_vqa_gt,0.6356275303643725,,0.27125506072874495,247.0,,247.0
Qwen3-VL-4B-Instruct_A2_vqa_10_blind_inst,0.631578947368421,,0.2874493927125506,247.0,,247.0
Qwen3-VL-4B-Instruct_A3_vqa_15_blind_inst,0.631578947368421,,0.3157894736842105,247.0,,247.0
Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,0.6396761133603239,,0.29959514170040485,247.0,,247.0
Qwen3-VL-4B-Instruct_SFT_vqa_15_blind_inst,0.6234817813765182,,0.2874493927125506,247.0,,247.0
Qwen3-VL-4B-Instruct_SFT_vqa_gt,0.6356275303643725,,0.29554655870445345,247.0,,247.0
Qwen3-VL-8B-Instruct,0.6842105263157895,0.291497975708502,0.32388663967611336,247.0,247.0,247.0
Qwen3-VL-8B-Instruct_A1_vqa_gt,0.6963562753036437,,0.29959514170040485,247.0,,247.0
Qwen3-VL-8B-Instruct_A2_vqa_10_blind_inst,0.6923076923076923,,0.2874493927125506,247.0,,247.0
Qwen3-VL-8B-Instruct_A3_vqa_15_blind_inst,0.6963562753036437,,0.29959514170040485,247.0,,247.0
Qwen3-VL-8B-Instruct_A4_mmstar_15_blind_inst,0.6963562753036437,,0.31983805668016196,247.0,,247.0
Qwen3-VL-8B-Instruct_SFT_mmstar_15_blind_inst,0.7044534412955465,,0.3319838056680162,247.0,,247.0
Qwen3-VL-8B-Instruct_SFT_vqa_15_blind_inst,0.6963562753036437,,0.3076923076923077,247.0,,247.0
humans,,,0.2677389869805604,,,267.0
llava-v1.6-mistral-7b-hf,0.42105263157894735,,0.24696356275303644,247.0,,247.0
llava-v1.6-mistral-7b-hf_A3_vqa_15_blind_inst,0.4251012145748988,,0.24696356275303644,247.0,,247.0
