,model,0
0,InternVL3_5-1B,0.49663812378713984
1,InternVL3_5-2B,0.545121869239522
2,InternVL3_5-4B,0.5289652298298333
3,InternVL3_5-8B,0.5145473107407948
4,InternVL3_5-8B_A1_vqa_gt,0.4472890908381683
5,InternVL3_5-8B_A2_vqa_10_blind_inst,0.5095708744942581
6,InternVL3_5-8B_A3_vqa_15_blind_inst,0.527382968630873
7,InternVL3_5-8B_A4_mmstar_15_blind_inst,0.5163700848955346
8,InternVL3_5-8B_SFT_vqa_15_blind_inst,0.5396911987891992
9,InternVL3_5-8B_SFT_vqa_gt,0.43085859326948
10,Qwen3-VL-2B-Instruct,0.48657045396341925
11,Qwen3-VL-4B-Instruct,0.497740481915338
12,Qwen3-VL-4B-Instruct_A1_vqa_gt,0.45182843686518215
13,Qwen3-VL-4B-Instruct_A2_vqa_10_blind_inst,0.5342663861235747
14,Qwen3-VL-4B-Instruct_A3_vqa_15_blind_inst,0.5321579969527547
15,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,0.538805508113436
16,Qwen3-VL-4B-Instruct_SFT_vqa_15_blind_inst,0.5407260334985413
17,Qwen3-VL-4B-Instruct_SFT_vqa_gt,0.40185079400830964
18,Qwen3-VL-8B-Instruct,0.5112885454638866
19,Qwen3-VL-8B-Instruct_A1_vqa_gt,0.48990335925922507
20,Qwen3-VL-8B-Instruct_A2_vqa_10_blind_inst,0.5373567830816778
21,Qwen3-VL-8B-Instruct_A3_vqa_15_blind_inst,0.48990335925922507
22,Qwen3-VL-8B-Instruct_A4_mmstar_15_blind_inst,0.5373623089117006
23,Qwen3-VL-8B-Instruct_SFT_mmstar_15_blind_inst,0.5473421535085429
24,Qwen3-VL-8B-Instruct_SFT_vqa_15_blind_inst,0.5567931471374076
25,llava-1.5-7b-hf,0.44887748307959785
26,llava-v1.6-mistral-7b-hf,0.45509793632565115
27,llava-v1.6-mistral-7b-hf_A1_vqa_gt,0.4016600723672256
28,llava-v1.6-mistral-7b-hf_A2_vqa_10_blind_inst,0.5499707184772067
29,llava-v1.6-mistral-7b-hf_A3_vqa_15_blind_inst,0.5606460082582162
30,llava-v1.6-mistral-7b-hf_A4_mmstar_15_blind_inst,0.4745559547866302
31,llava-v1.6-mistral-7b-hf_SFT_mmstar_15_blind_inst,0.47162992475841264
32,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,0.5835687530008
33,llava-v1.6-mistral-7b-hf_SFT_vqa_gt,0.39347303710233766
34,llava-v1.6-vicuna-7b-hf,0.4377860318890295
