model,Appearance,Background,Co-occurring Objects,Colorization,Context,Lighting and Shadows,Material,Motion Blur,Orientation,Packaging,Perspective and Angle,Position,Relative Size,Shape,Size,Texture and Noise
InternVL3.5‑1B,1.0,0.5775681341719078,0.5669988925802879,0.43548387096774194,1.0,0.5533980582524272,0.0,0.0,0.5641361256544503,1.0,0.4,1.0,0.52,0.4488778054862843,1.0,0.4513888888888889
InternVL3.5‑2B,1.0,0.6467505241090147,0.6212624584717608,0.4637096774193548,1.0,0.5922330097087378,0.0,0.0,0.6544502617801047,0.0,0.47,0.0,0.6266666666666667,0.5336658354114713,1.0,0.5208333333333334
InternVL3.5‑4B,1.0,0.8039832285115304,0.7751937984496124,0.6854838709677419,1.0,0.7669902912621359,0.5,1.0,0.824607329842932,1.0,0.68,1.0,0.84,0.743142144638404,1.0,0.6701388888888888
InternVL3.5‑8B,1.0,0.8095986822401917,0.7984496124031008,0.6278801843317973,0.6666666666666666,0.79750346740638,0.07142857142857142,1.0,0.8320867614061331,1.0,0.6785714285714286,1.0,0.7619047619047619,0.7413608835055219,1.0,0.6235119047619048
LLaVA‑1.5‑7B,1.0,0.6142557651991615,0.5913621262458472,0.41935483870967744,0.6666666666666666,0.5145631067961165,0.0,0.0,0.6178010471204188,1.0,0.47,1.0,0.6533333333333333,0.5236907730673317,1.0,0.4548611111111111
LLaVA‑Mistral‑7B,1.0,0.6491090146750524,0.6190476190476191,0.4632056451612903,0.6666666666666666,0.5606796116504854,0.0,0.125,0.6830824607329843,0.25,0.545,0.25,0.6366666666666667,0.5576683291770573,1.0,0.5512152777777778
LLaVA‑Vicuna‑7B,1.0,0.5513626834381551,0.530454042081949,0.39919354838709675,0.6666666666666666,0.4854368932038835,0.0,0.0,0.5667539267015707,0.0,0.37,1.0,0.6,0.4613466334164589,1.0,0.4479166666666667
Qwen3‑VL‑2B,,0.7612612612612613,0.7107438016528925,0.6333333333333333,1.0,0.6666666666666666,,,0.797752808988764,,0.6428571428571429,,0.8333333333333334,0.62,,0.5714285714285714
Qwen3‑VL‑4B,1.0,0.7720696162717551,0.7273118279569892,0.6236044657097288,1.0,0.75,0.0,1.0,0.816894018887723,1.0,0.6589147286821705,1.0,0.7745098039215687,0.6764418377321603,1.0,0.6363636363636364
Qwen3‑VL‑8B,1.0,0.8207062050051422,0.7942212825933757,0.6831168831168831,1.0,0.7910447761194029,0.5,1.0,0.8498683055311677,1.0,0.6618705035971223,1.0,0.8623188405797102,0.6798179059180577,1.0,0.6777777777777778
