,mean,mean,mean,count,count,count
,correct,correct,correct,correct,correct,correct
condition,,blind,inst blind,,blind,inst blind
model,,,,,,
InternVL3_5-1B,43.4,27.6667,25.7333,1500.0,1500.0,1500.0
InternVL3_5-2B,51.7333,25.4,26.0667,1500.0,1500.0,1500.0
InternVL3_5-4B,64.2667,27.4,24.5333,1500.0,1500.0,1500.0
InternVL3_5-8B,62.6629,29.5333,28.7333,1074.0,1500.0,1500.0
InternVL3_5-8B_A1_vqa_gt,67.4667,,30.4667,1500.0,,1500.0
InternVL3_5-8B_A2_vqa_10_blind_inst,67.1333,,32.1333,1500.0,,1500.0
InternVL3_5-8B_A3_vqa_15_blind_inst,67.1333,,32.0667,1500.0,,1500.0
InternVL3_5-8B_A4_mmstar_15_blind_inst,67.5333,,31.1333,1500.0,,1500.0
InternVL3_5-8B_SFT_mmstar_15_blind_inst,66.4,,32.0,1500.0,,1500.0
Qwen3-0.6B,29.9065,,,107.0,,
Qwen3-8B-Base,21.2,,,1500.0,,
Qwen3-VL-2B-Instruct,51.6667,20.6,23.8667,1500.0,1500.0,1500.0
Qwen3-VL-4B-Instruct,63.8,24.8,21.8,1500.0,1500.0,1500.0
Qwen3-VL-4B-Instruct_A1_vqa_gt,60.6667,,26.2,1500.0,,1500.0
Qwen3-VL-4B-Instruct_A2_vqa_10_blind_inst,59.8,,27.0667,1500.0,,1500.0
Qwen3-VL-4B-Instruct_A3_vqa_15_blind_inst,59.6667,,27.6,1500.0,,1500.0
Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,62.1333,,30.8667,1500.0,,1500.0
Qwen3-VL-4B-Instruct_SFT_vqa_15_blind_inst,59.8667,,27.1333,1500.0,,1500.0
Qwen3-VL-4B-Instruct_SFT_vqa_gt,61.2,,26.6,1500.0,,1500.0
Qwen3-VL-8B-Instruct,66.0,23.4,25.2,1500.0,1500.0,1500.0
Qwen3-VL-8B-Instruct_A1_vqa_gt,64.2667,,27.1333,1500.0,,1500.0
Qwen3-VL-8B-Instruct_A2_vqa_10_blind_inst,63.3333,,27.8,1500.0,,1500.0
Qwen3-VL-8B-Instruct_A3_vqa_15_blind_inst,64.2667,,27.1333,1500.0,,1500.0
Qwen3-VL-8B-Instruct_A4_mmstar_15_blind_inst,63.7333,,29.0,1500.0,,1500.0
Qwen3-VL-8B-Instruct_SFT_mmstar_15_blind_inst,63.8667,,30.2,1500.0,,1500.0
Qwen3-VL-8B-Instruct_SFT_vqa_15_blind_inst,64.0,,28.4667,1500.0,,1500.0
llava-v1.6-mistral-7b-hf,34.3333,21.6667,21.5333,1500.0,1500.0,1500.0
llava-v1.6-mistral-7b-hf_A1_vqa_gt,36.7333,,24.5333,1500.0,,1500.0
llava-v1.6-mistral-7b-hf_A2_vqa_10_blind_inst,36.2667,,25.8,1500.0,,1500.0
llava-v1.6-mistral-7b-hf_A3_vqa_15_blind_inst,36.8667,,24.8,1500.0,,1500.0
llava-v1.6-mistral-7b-hf_A4_mmstar_15_blind_inst,38.4,,27.5333,1500.0,,1500.0
llava-v1.6-mistral-7b-hf_SFT_mmstar_15_blind_inst,39.7333,,28.0667,1500.0,,1500.0
llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,36.7333,,25.2,1500.0,,1500.0
