,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
,MG,MG,MG,MG,MG,MG,MG,MG,MG,MG,MG,MG,MG,MG,MG,MG,MG,MG
,,,,,,,,,,,,,,,,,,
condition,,,,,,,,,,,,,,,,,,
category,coarse perception,coarse perception,coarse perception,fine-grained perception,fine-grained perception,fine-grained perception,instance reasoning,instance reasoning,instance reasoning,logical reasoning,logical reasoning,logical reasoning,math,math,math,science & technology,science & technology,science & technology
l2_category,image emotion,image scene and topic,image style & quality,localization,object counting,recognition,cross-instance attribute reasoning,cross-instance relation reasoning,single-instance reasoning,code & sequence reasoning,common reasoning,diagram reasoning,geometry,numeric commonsense and calculation,statistical reasoning,biology & chemistry & physics,electronics & energy & mechanical eng.,geography & earth science & agriculture
model,,,,,,,,,,,,,,,,,,
InternVL3_5-1B,41.935,28.369,28.205,10.0,3.261,22.881,6.742,20.968,39.394,17.949,8.911,19.091,0.0,27.083,31.395,3.425,19.565,12.069
InternVL3_5-2B,16.129,23.404,32.051,35.0,19.565,22.881,26.966,59.677,40.404,25.641,19.802,23.636,14.655,18.75,30.233,22.603,15.217,24.138
InternVL3_5-4B,35.484,42.553,62.821,42.5,41.304,34.746,35.955,46.774,48.485,38.462,31.683,47.273,43.103,29.167,40.698,30.822,13.043,37.931
InternVL3_5-8B,41.935,34.043,52.564,40.0,23.913,28.814,43.82,37.097,48.485,12.821,34.653,21.818,-7.143,20.833,18.182,,,
InternVL3_5-8B_A1_vqa_gt,35.484,39.007,62.821,45.0,31.522,38.136,48.315,58.065,46.465,25.641,29.703,43.636,15.517,25.0,37.209,33.562,17.391,27.586
InternVL3_5-8B_A2_vqa_10_blind_inst,41.935,38.298,43.59,47.5,26.087,40.678,41.573,54.839,48.485,25.641,32.673,42.727,12.931,22.917,33.721,32.877,13.043,25.862
InternVL3_5-8B_A3_vqa_15_blind_inst,41.935,38.298,51.282,47.5,25.0,39.831,40.449,56.452,48.485,30.769,30.693,41.818,13.793,18.75,32.558,32.877,15.217,24.138
InternVL3_5-8B_A4_mmstar_15_blind_inst,77.419,35.461,53.846,42.5,28.261,35.593,43.82,59.677,52.525,20.513,42.574,38.182,17.241,20.833,41.86,26.027,10.87,25.862
InternVL3_5-8B_SFT_mmstar_15_blind_inst,80.645,32.624,53.846,37.5,20.652,33.051,48.315,45.161,48.485,10.256,40.594,40.909,18.103,22.917,36.047,27.397,17.391,17.241
Qwen3-VL-2B-Instruct,48.387,34.043,73.077,32.5,22.826,22.034,29.213,24.194,47.475,5.128,15.842,35.455,3.448,18.75,29.07,23.973,19.565,17.241
Qwen3-VL-4B-Instruct,45.161,42.553,67.949,55.0,21.739,28.814,43.82,59.677,58.586,33.333,42.574,60.0,25.0,35.417,43.023,39.726,19.565,36.207
Qwen3-VL-4B-Instruct_A1_vqa_gt,45.161,36.879,71.795,57.5,36.957,27.966,39.326,41.935,56.566,10.256,28.713,44.545,10.345,25.0,22.093,28.082,8.696,31.034
Qwen3-VL-4B-Instruct_A2_vqa_10_blind_inst,64.516,39.007,53.846,52.5,29.348,26.271,35.955,41.935,51.515,17.949,29.703,40.909,11.207,27.083,19.767,27.397,2.174,34.483
Qwen3-VL-4B-Instruct_A3_vqa_15_blind_inst,54.839,36.879,55.128,52.5,28.261,24.576,35.955,45.161,52.525,12.821,27.723,41.818,9.483,22.917,17.442,30.137,0.0,36.207
Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,64.516,38.298,50.0,60.0,16.304,27.119,33.708,43.548,48.485,2.564,27.723,40.0,12.931,35.417,22.093,27.397,8.696,20.69
Qwen3-VL-4B-Instruct_SFT_vqa_15_blind_inst,67.742,34.752,56.41,55.0,23.913,26.271,38.202,46.774,51.515,7.692,32.673,44.545,8.621,25.0,22.093,28.082,0.0,36.207
Qwen3-VL-4B-Instruct_SFT_vqa_gt,48.387,36.17,57.692,57.5,34.783,27.966,39.326,45.161,56.566,12.821,26.733,44.545,12.931,29.167,24.419,30.137,8.696,37.931
Qwen3-VL-8B-Instruct,35.484,34.752,74.359,42.5,42.391,40.678,37.079,53.226,55.556,30.769,44.554,55.455,13.793,35.417,47.674,33.562,23.913,29.31
Qwen3-VL-8B-Instruct_A1_vqa_gt,25.806,38.298,60.256,55.0,29.348,36.441,38.202,58.065,58.586,20.513,30.693,48.182,12.931,29.167,32.558,36.986,15.217,31.034
Qwen3-VL-8B-Instruct_A2_vqa_10_blind_inst,48.387,38.298,61.538,50.0,26.087,37.288,31.461,51.613,53.535,15.385,31.683,47.273,13.793,25.0,31.395,34.932,6.522,27.586
Qwen3-VL-8B-Instruct_A3_vqa_15_blind_inst,25.806,38.298,60.256,55.0,29.348,36.441,38.202,58.065,58.586,20.513,30.693,48.182,12.931,29.167,32.558,36.986,15.217,31.034
Qwen3-VL-8B-Instruct_A4_mmstar_15_blind_inst,64.516,36.17,61.538,45.0,22.826,34.746,30.337,46.774,55.556,35.897,24.752,44.545,17.241,35.417,32.558,28.082,10.87,20.69
Qwen3-VL-8B-Instruct_SFT_mmstar_15_blind_inst,67.742,36.17,58.974,50.0,26.087,33.051,32.584,45.161,45.455,12.821,30.693,44.545,15.517,33.333,38.372,23.973,6.522,20.69
Qwen3-VL-8B-Instruct_SFT_vqa_15_blind_inst,35.484,39.716,65.385,45.0,21.739,34.746,28.09,54.839,51.515,30.769,36.634,47.273,14.655,25.0,27.907,34.247,4.348,34.483
llava-v1.6-mistral-7b-hf,29.032,15.603,35.897,30.0,10.87,15.254,4.494,19.355,26.263,28.205,20.792,1.818,5.172,6.25,8.14,-1.37,4.348,1.724
llava-v1.6-mistral-7b-hf_A1_vqa_gt,51.613,29.078,33.333,12.5,13.043,5.932,4.494,22.581,30.303,12.821,10.891,8.182,-5.172,10.417,2.326,5.479,8.696,-17.241
llava-v1.6-mistral-7b-hf_A2_vqa_10_blind_inst,54.839,21.277,48.718,15.0,10.87,11.017,2.247,6.452,25.253,-2.564,13.861,-1.818,-6.897,4.167,0.0,7.534,0.0,-6.897
llava-v1.6-mistral-7b-hf_A3_vqa_15_blind_inst,61.29,25.532,52.564,12.5,7.609,9.322,7.865,12.903,28.283,10.256,12.871,2.727,-8.621,-4.167,-1.163,8.219,2.174,-1.724
llava-v1.6-mistral-7b-hf_A4_mmstar_15_blind_inst,51.613,16.312,35.897,17.5,14.13,15.254,7.865,11.29,24.242,10.256,17.822,6.364,-1.724,-2.083,-1.163,-0.685,-6.522,-1.724
llava-v1.6-mistral-7b-hf_SFT_mmstar_15_blind_inst,58.065,17.021,50.0,5.0,17.391,16.102,8.989,9.677,28.283,-5.128,9.901,4.545,-3.448,2.083,-2.326,3.425,0.0,3.448
llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,48.387,26.95,55.128,12.5,5.435,8.475,2.247,14.516,24.242,12.821,9.901,1.818,0.0,-2.083,1.163,4.795,0.0,-3.448
