model,Appearance,Background,Co-occurring Objects,Colorization,Context,Lighting and Shadows,Material,Motion Blur,Orientation,Packaging,Perspective and Angle,Position,Relative Size,Shape,Size,Texture and Noise
InternVL3_5-1B,0.3333333333333333,0.4772886093640811,0.49612403100775193,0.35080645161290325,0.7777777777777778,0.44336569579288027,0.0,0.0,0.46335078534031415,0.3333333333333333,0.29333333333333333,0.6666666666666666,0.4222222222222222,0.3167082294264339,0.3333333333333333,0.37037037037037035
InternVL3_5-2B,0.3333333333333333,0.46278825995807127,0.4444444444444444,0.34408602150537637,0.5555555555555556,0.4401294498381877,0.0,0.0,0.4550610820244328,0.0,0.35,0.0,0.4666666666666667,0.3632585203657523,0.3333333333333333,0.41203703703703703
InternVL3_5-4B,1.0,0.7327044025157232,0.7043189368770764,0.594758064516129,0.8333333333333334,0.7135922330097088,0.25,0.5,0.7480366492146597,0.5,0.6,1.0,0.7266666666666667,0.6396508728179551,0.5,0.5763888888888888
InternVL3_5-8B,1.0,0.7491264849755416,0.7205610926541159,0.5174731182795699,0.7777777777777778,0.7119741100323624,0.16666666666666666,0.3333333333333333,0.7604712041884817,1.0,0.6133333333333333,1.0,0.7022222222222222,0.6259351620947631,1.0,0.5509259259259259
InternVL3_5-8B_A1_vqa_gt,1.0,0.7793501048218029,0.756921373200443,0.5685483870967742,0.8333333333333334,0.7378640776699029,0.0,0.5,0.7971204188481675,1.0,0.625,1.0,0.7133333333333334,0.6620947630922693,1.0,0.5625
InternVL3_5-8B_A2_vqa_10_blind_inst,1.0,0.7735849056603774,0.7508305647840532,0.5463709677419355,0.8333333333333334,0.7281553398058253,0.0,0.5,0.7899214659685864,1.0,0.62,1.0,0.7066666666666667,0.6496259351620948,1.0,0.5607638888888888
InternVL3_5-8B_A3_vqa_15_blind_inst,1.0,0.77541928721174,0.7535991140642303,0.5524193548387096,0.8333333333333334,0.7330097087378641,0.0,0.5,0.7892670157068062,1.0,0.625,1.0,0.7133333333333334,0.6533665835411472,1.0,0.5642361111111112
InternVL3_5-8B_A4_mmstar_15_blind_inst,1.0,0.7625786163522013,0.7397563676633444,0.5483870967741935,0.6666666666666666,0.7233009708737864,0.0,0.5,0.775523560209424,1.0,0.64,1.0,0.72,0.6433915211970075,1.0,0.5677083333333334
InternVL3_5-8B_SFT_mmstar_15_blind_inst,1.0,0.7368972746331237,0.7209302325581395,0.5262096774193549,0.6666666666666666,0.7135922330097088,0.0,0.5,0.7473821989528796,1.0,0.62,1.0,0.7133333333333334,0.6159600997506235,1.0,0.5555555555555556
InternVL3_5-8B_SFT_vqa_15_blind_inst,1.0,0.7767295597484277,0.7563676633444075,0.5544354838709677,0.8333333333333334,0.7378640776699029,0.0,0.5,0.7905759162303665,1.0,0.62,1.0,0.72,0.655860349127182,1.0,0.5677083333333334
InternVL3_5-8B_SFT_vqa_gt,1.0,0.7817085953878407,0.7619047619047619,0.5685483870967742,0.8333333333333334,0.7427184466019418,0.0,0.5,0.7964659685863874,1.0,0.625,1.0,0.7333333333333333,0.6620947630922693,1.0,0.5677083333333334
Qwen3-4B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-8B,,0.629080118694362,0.6174698795180723,0.3875,1.0,0.7142857142857143,,,0.6908396946564885,0.0,0.5172413793103449,,0.59375,0.3933333333333333,,0.5714285714285714
Qwen3-VL-2B-Instruct,0.0,0.433382862803368,0.4281266216917488,0.3593155893536122,0.42857142857142855,0.4790697674418605,0.0,0.0,0.44959802102659246,0.0,0.32710280373831774,0.0,0.4382716049382716,0.3215962441314554,0.0,0.4
Qwen3-VL-4B-Instruct,1.0,0.6284067085953878,0.5852713178294574,0.5161290322580645,0.8333333333333334,0.6553398058252428,0.0,0.5,0.6524869109947644,0.5,0.535,1.0,0.6533333333333333,0.5511221945137157,0.5,0.5486111111111112
Qwen3-VL-4B-Instruct_A1_JS_vqa_n15_blind_inst,1.0,0.45565129244804864,0.40298507462686567,0.3938223938223938,0.6666666666666666,0.5523809523809524,0.0,0.0,0.48091603053435117,0.0,0.4215686274509804,1.0,0.49382716049382713,0.4146919431279621,0.0,0.48639455782312924
Qwen3-VL-4B-Instruct_A1_vqa_gt,1.0,0.560567663456665,0.5330490405117271,0.5135135135135135,0.6666666666666666,0.5714285714285714,0.5,0.0,0.5725190839694656,0.0,0.46078431372549017,1.0,0.6666666666666666,0.5118483412322274,1.0,0.5306122448979592
Qwen3-VL-4B-Instruct_A2_vqa_10_blind_inst,1.0,0.6333857442348009,0.584717607973422,0.5403225806451613,0.8333333333333334,0.6504854368932039,0.0,0.5,0.6636125654450262,0.5,0.55,1.0,0.66,0.5760598503740648,0.5,0.5763888888888888
Qwen3-VL-4B-Instruct_A3_vqa_15_blind_inst,1.0,0.5286384976525822,0.48828125,0.4784172661870504,0.75,0.5625,0.0,0.0,0.5498241500586166,0.0,0.49122807017543857,1.0,0.5862068965517241,0.5121951219512195,0.0,0.5231788079470199
Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,1.0,0.5835680751173709,0.5419921875,0.5179856115107914,0.75,0.625,0.0,0.0,0.6049237983587339,0.0,0.5614035087719298,1.0,0.6551724137931034,0.5277161862527716,0.0,0.5364238410596026
Qwen3-VL-4B-Instruct_SFT_vqa_15_blind_inst,1.0,0.5338028169014084,0.4853515625,0.48201438848920863,0.75,0.5714285714285714,0.0,0.0,0.5615474794841735,0.0,0.5087719298245614,1.0,0.5517241379310345,0.5277161862527716,0.0,0.5099337748344371
Qwen3-VL-4B-Instruct_SFT_vqa_gt,1.0,0.5774647887323944,0.5625,0.5179856115107914,0.75,0.5982142857142857,0.5,0.0,0.5943728018757327,0.0,0.5350877192982456,1.0,0.6666666666666666,0.5299334811529933,1.0,0.5198675496688742
Qwen3-VL-8B-Instruct,1.0,0.7059748427672956,0.6616832779623477,0.5564516129032258,0.8333333333333334,0.6941747572815534,0.25,0.5,0.731675392670157,1.0,0.635,1.0,0.6933333333333334,0.6134663341645885,1.0,0.5972222222222222
Qwen3-VL-8B-Instruct_A1_vqa_gt,1.0,0.6887987835783071,0.6375266524520256,0.5714285714285714,0.6666666666666666,0.6857142857142857,0.0,1.0,0.7162849872773537,1.0,0.6568627450980392,1.0,0.7407407407407407,0.6208530805687204,1.0,0.564625850340136
