,model,correct
0,InternVL 3.5 (1B),0.44666666666666666
1,InternVL 3.5 (2B),0.4373611111111111
2,InternVL 3.5 (4B),0.7020833333333333
3,InternVL 3.5 (8B),0.7069444444444445
4,InternVL3.5‑8B | JS VQA (GT),0.7389583333333334
5,InternVL3.5‑8B | JS‑Blind MMStar (n=15),0.7233333333333334
6,InternVL3.5‑8B | JS‑Blind VQA (n=10),0.7316666666666667
7,InternVL3.5‑8B | JS‑Blind VQA (n=15),0.7339583333333334
8,InternVL3.5‑8B | SFT‑Blind MMStar (n=15),0.7002083333333333
9,InternVL3.5‑8B | SFT‑Blind VQA,0.7358333333333333
10,InternVL3.5‑8B | SFT‑VQA,0.7414583333333333
11,LLaVA‑1.5 (7B),0.42410714285714285
12,LLaVA‑Mistral (7B),0.45375
13,LLaVA‑Mistral‑7B | JS VQA (GT),0.5639583333333333
14,LLaVA‑Mistral‑7B | JS‑Blind MMStar (n=15),0.5108333333333334
15,LLaVA‑Mistral‑7B | JS‑Blind VQA (n=10),0.5108333333333334
16,LLaVA‑Mistral‑7B | JS‑Blind VQA (n=15),0.5077083333333333
17,LLaVA‑Mistral‑7B | SFT‑Blind MMStar,0.5102083333333334
18,LLaVA‑Mistral‑7B | SFT‑Blind VQA,0.49104166666666665
19,LLaVA‑Mistral‑7B | SFT‑VQA,0.6264583333333333
20,LLaVA‑Vicuna (7B),0.3711111111111111
21,Qwen3 (4B),0.0
22,Qwen3 (8B),0.5997536945812808
23,Qwen3‑VL (2B),0.41802794725447745
24,Qwen3‑VL (4B),0.6060416666666667
25,Qwen3‑VL (8B),0.6779166666666666
26,Qwen3‑VL‑4B | JS VQA (GT),0.5488933601609658
27,Qwen3‑VL‑4B | JS‑Blind MMStar (n=15),0.5695635956732562
28,Qwen3‑VL‑4B | JS‑Blind VQA (n=10),0.615
29,Qwen3‑VL‑4B | JS‑Blind VQA (n=15),0.5207012308839986
30,Qwen3‑VL‑4B | SFT‑Blind VQA,0.5248041775456919
31,Qwen3‑VL‑4B | SFT‑VQA,0.568071615069004
32,Qwen3‑VL‑8B | JS VQA (GT),0.6643863179074446
33,Qwen3‑VL‑8B | JS‑Blind MMStar (n=15),0.6442655935613683
34,Qwen3‑VL‑8B | JS‑Blind VQA (n=10),0.6658400495970241
35,Qwen3‑VL‑8B | JS‑Blind VQA (n=15),0.6643863179074446
36,Qwen3‑VL‑8B | SFT‑Blind MMStar,0.6044265593561369
37,Qwen3‑VL‑8B | SFT‑Blind VQA,0.6233400402414487
