,mean,mean,mean,count,count,count
,correct,correct,correct,correct,correct,correct
condition,,blind,inst blind,,blind,inst blind
model,,,,,,
InternVL3_5-1B,0.434,0.2767,0.2573,1500.0,1500.0,1500.0
InternVL3_5-2B,0.5173,0.254,0.2607,1500.0,1500.0,1500.0
InternVL3_5-4B,0.6427,0.274,0.2453,1500.0,1500.0,1500.0
InternVL3_5-8B,0.6266,0.2953,0.2873,1074.0,1500.0,1500.0
InternVL3_5-8B_A1_vqa_gt,0.6747,,0.3047,1500.0,,1500.0
InternVL3_5-8B_A2_vqa_10_blind_inst,0.6713,,0.3213,1500.0,,1500.0
InternVL3_5-8B_A3_vqa_15_blind_inst,0.6713,,0.3207,1500.0,,1500.0
InternVL3_5-8B_A4_mmstar_15_blind_inst,0.6753,,0.3113,1500.0,,1500.0
InternVL3_5-8B_SFT_mmstar_15_blind_inst,0.664,,0.32,1500.0,,1500.0
Qwen3-VL-2B-Instruct,0.5167,0.206,0.2387,1500.0,1500.0,1500.0
Qwen3-VL-4B-Instruct,0.638,0.248,0.218,1500.0,1500.0,1500.0
Qwen3-VL-4B-Instruct_A1_vqa_gt,0.6067,,0.262,1500.0,,1500.0
Qwen3-VL-4B-Instruct_A2_vqa_10_blind_inst,0.598,,0.2707,1500.0,,1500.0
Qwen3-VL-4B-Instruct_A3_vqa_15_blind_inst,0.5967,,0.276,1500.0,,1500.0
Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,0.6213,,0.3087,1500.0,,1500.0
Qwen3-VL-4B-Instruct_SFT_vqa_15_blind_inst,0.5987,,0.2713,1500.0,,1500.0
Qwen3-VL-4B-Instruct_SFT_vqa_gt,0.612,,0.266,1500.0,,1500.0
Qwen3-VL-8B-Instruct,0.66,0.234,0.252,1500.0,1500.0,1500.0
Qwen3-VL-8B-Instruct_A1_vqa_gt,0.6427,,0.2713,1500.0,,1500.0
Qwen3-VL-8B-Instruct_A2_vqa_10_blind_inst,0.6333,,0.278,1500.0,,1500.0
Qwen3-VL-8B-Instruct_A3_vqa_15_blind_inst,0.6427,,0.2713,1500.0,,1500.0
Qwen3-VL-8B-Instruct_A4_mmstar_15_blind_inst,0.6373,,0.29,1500.0,,1500.0
Qwen3-VL-8B-Instruct_SFT_mmstar_15_blind_inst,0.6387,,0.302,1500.0,,1500.0
Qwen3-VL-8B-Instruct_SFT_vqa_15_blind_inst,0.64,,0.2847,1500.0,,1500.0
llava-v1.6-mistral-7b-hf,0.3433,0.2167,0.2153,1500.0,1500.0,1500.0
llava-v1.6-mistral-7b-hf_A1_vqa_gt,0.3673,,0.2453,1500.0,,1500.0
llava-v1.6-mistral-7b-hf_A2_vqa_10_blind_inst,0.3627,,0.258,1500.0,,1500.0
llava-v1.6-mistral-7b-hf_A3_vqa_15_blind_inst,0.3687,,0.248,1500.0,,1500.0
llava-v1.6-mistral-7b-hf_A4_mmstar_15_blind_inst,0.384,,0.2753,1500.0,,1500.0
llava-v1.6-mistral-7b-hf_SFT_mmstar_15_blind_inst,0.3973,,0.2807,1500.0,,1500.0
llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,0.3673,,0.252,1500.0,,1500.0
