,mean,mean,mean,count,count,count
,correct,correct,correct,correct,correct,correct
condition,,blind,inst blind,,blind,inst blind
model,,,,,,
InternVL3_5-1B,0.5429166666666667,0.42,0.3770833333333333,2400.0,2400.0,2400.0
InternVL3_5-2B,0.61125,0.41041666666666665,0.29041666666666666,2400.0,2400.0,2400.0
InternVL3_5-4B,0.78,,0.6241666666666666,2400.0,,2400.0
InternVL3_5-8B,0.7820833333333334,0.6879166666666666,0.6508333333333334,2400.0,2400.0,2400.0
Qwen3-4B,0.0,,,2368.0,,
Qwen3-VL-2B-Instruct,0.7295373665480427,0.44166666666666665,0.35791666666666666,281.0,2400.0,2400.0
Qwen3-VL-4B-Instruct,0.7458333333333333,,0.46625,2400.0,,2400.0
Qwen3-VL-4B-Instruct_A1_JS_vqa_n15_blind_inst,0.7529411764705882,,0.43583333333333335,85.0,,2400.0
Qwen3-VL-8B-Instruct,0.7854166666666667,,0.5704166666666667,2400.0,,2400.0
llava-1.5-7b-hf,0.57875,,0.2945833333333333,2400.0,,2400.0
llava-v1.6-mistral-7b-hf,0.6295833333333334,0.37958333333333333,0.37583333333333335,2400.0,2400.0,2400.0
InternVL3_5-8B_A1_vqa_gt,,,,0.0,,0.0
InternVL3_5-8B_A2_vqa_10_blind_inst,,,,0.0,,0.0
InternVL3_5-8B_A3_vqa_15_blind_inst,,,,0.0,,0.0
InternVL3_5-8B_A4_mmstar_15_blind_inst,,,,0.0,,0.0
InternVL3_5-8B_SFT_mmstar_15_blind_inst,,,,0.0,,0.0
Qwen3-VL-4B-Instruct_A1_vqa_gt,,,,0.0,,0.0
Qwen3-VL-4B-Instruct_A2_vqa_10_blind_inst,,,,0.0,,0.0
Qwen3-VL-4B-Instruct_A3_vqa_15_blind_inst,,,,0.0,,0.0
Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,0.0,,0.0
Qwen3-VL-4B-Instruct_SFT_vqa_15_blind_inst,,,,0.0,,0.0
Qwen3-VL-4B-Instruct_SFT_vqa_gt,,,,0.0,,0.0
Qwen3-VL-8B-Instruct_A1_vqa_gt,,,,0.0,,0.0
Qwen3-VL-8B-Instruct_A2_vqa_10_blind_inst,,,,0.0,,0.0
Qwen3-VL-8B-Instruct_A3_vqa_15_blind_inst,,,,0.0,,0.0
Qwen3-VL-8B-Instruct_A4_mmstar_15_blind_inst,,,,0.0,,0.0
Qwen3-VL-8B-Instruct_SFT_mmstar_15_blind_inst,,,,0.0,,0.0
Qwen3-VL-8B-Instruct_SFT_vqa_15_blind_inst,,,,0.0,,0.0
llava-v1.6-mistral-7b-hf_A1_vqa_gt,,,,0.0,,0.0
llava-v1.6-mistral-7b-hf_A2_vqa_10_blind_inst,,,,0.0,,0.0
llava-v1.6-mistral-7b-hf_A3_vqa_15_blind_inst,,,,0.0,,0.0
llava-v1.6-mistral-7b-hf_A4_mmstar_15_blind_inst,,,,0.0,,0.0
llava-v1.6-mistral-7b-hf_SFT_mmstar_15_blind_inst,,,,0.0,,0.0
llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,0.0,,0.0
