,mean,mean,mean,count,count,count
,correct,correct,correct,correct,correct,correct
condition,,blind,inst blind,,blind,inst blind
model,,,,,,
InternVL3_5-1B,0.7587,0.3467,0.3523,1000.0,1000.0,1000.0
InternVL3_5-2B,0.7767,0.3443,0.3347,1000.0,1000.0,1000.0
InternVL3_5-4B,0.7807,0.331,0.3517,1000.0,1000.0,1000.0
InternVL3_5-8B,0.8127,0.375,0.3747,1000.0,1000.0,1000.0
InternVL3_5-8B_A1_vqa_gt,0.8187,,0.4133,1000.0,,1000.0
InternVL3_5-8B_A2_vqa_10_blind_inst,0.8053,,0.4103,1000.0,,1000.0
InternVL3_5-8B_A3_vqa_15_blind_inst,0.8087,,0.4063,1000.0,,1000.0
InternVL3_5-8B_A4_mmstar_15_blind_inst,0.8133,,0.3957,1000.0,,1000.0
Qwen3-VL-2B-Instruct,0.804,0.356,0.3603,1000.0,1000.0,1000.0
Qwen3-VL-4B-Instruct,0.821,0.3443,0.3747,1000.0,1000.0,1000.0
Qwen3-VL-4B-Instruct_A1_vqa_gt,0.8357,,0.367,1000.0,,1000.0
Qwen3-VL-4B-Instruct_A2_vqa_10_blind_inst,0.8167,,0.3773,1000.0,,1000.0
Qwen3-VL-4B-Instruct_A3_vqa_15_blind_inst,0.818,,0.387,1000.0,,1000.0
Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,0.823,,0.3757,1000.0,,1000.0
Qwen3-VL-4B-Instruct_SFT_vqa_15_blind_inst,0.8173,,0.3783,1000.0,,1000.0
Qwen3-VL-4B-Instruct_SFT_vqa_gt,0.831,,0.3797,1000.0,,1000.0
Qwen3-VL-8B-Instruct,0.8463,0.3487,0.381,1000.0,1000.0,1000.0
Qwen3-VL-8B-Instruct_A1_vqa_gt,0.8467,,0.3757,1000.0,,1000.0
Qwen3-VL-8B-Instruct_A2_vqa_10_blind_inst,0.8387,,0.388,1000.0,,1000.0
Qwen3-VL-8B-Instruct_A3_vqa_15_blind_inst,0.8467,,0.3757,1000.0,,1000.0
Qwen3-VL-8B-Instruct_A4_mmstar_15_blind_inst,0.8483,,0.3963,1000.0,,1000.0
Qwen3-VL-8B-Instruct_SFT_mmstar_15_blind_inst,0.8457,,0.3973,1000.0,,1000.0
Qwen3-VL-8B-Instruct_SFT_vqa_15_blind_inst,0.839,,0.3847,1000.0,,1000.0
llava-v1.6-mistral-7b-hf,0.828,0.35,0.36,1000.0,1000.0,1000.0
llava-v1.6-mistral-7b-hf_A1_vqa_gt,0.819,,0.428,1000.0,,1000.0
llava-v1.6-mistral-7b-hf_A2_vqa_10_blind_inst,0.8023,,0.4143,1000.0,,1000.0
llava-v1.6-mistral-7b-hf_A4_mmstar_15_blind_inst,0.819,,0.408,1000.0,,1000.0
llava-v1.6-mistral-7b-hf_SFT_mmstar_15_blind_inst,0.8243,,0.4127,1000.0,,1000.0
