model,question_id,answer_similarity,answer_similarity_blind,answer_similarity_inst_blind,correct,correct_blind,correct_inst_blind,Acc_Visual,Acc_Blind_inst,MG_Acc,S_Visual,S_Blind_inst,MG_S,Delta_Inst
Humans,302866496.54278076,,,64.18650225161835,,,38.9847600619195,,38.9847600619195,,,64.18650225161835,,
InternVL 3.5 (1B),302866496.54278076,86.05320855614974,70.07139037433156,69.89144385026738,80.48074866310161,43.58128342245989,43.84919786096256,80.48074866310161,43.84919786096256,36.63155080213904,86.05320855614974,69.89144385026738,16.16176470588235,-0.2679144385026738
InternVL 3.5 (2B),302866496.54278076,87.52540106951872,70.93823529411765,71.02914438502674,82.08395721925135,45.5427807486631,45.27593582887701,82.08395721925135,45.27593582887701,36.808021390374336,87.52540106951872,71.02914438502674,16.49625668449198,0.2668449197860962
InternVL 3.5 (4B),302866496.54278076,88.49946524064173,70.78262032085561,66.78770053475935,82.975935828877,45.007754010695194,47.235828877005346,82.975935828877,47.235828877005346,35.74010695187165,88.49946524064173,66.78770053475935,21.711764705882352,-2.2280748663101604
InternVL 3.5 (8B),302866496.54278076,89.26925133689839,72.33823529411765,68.7566844919786,86.89759358288771,47.14705882352941,45.36470588235294,86.89759358288771,45.36470588235294,41.53288770053476,89.26925133689839,68.7566844919786,20.512566844919785,1.7823529411764707
LLaVA-v1.5 (7B),302866496.54278076,88.57299465240642,68.25053475935829,68.61443850267379,83.06577540106952,43.493048128342245,43.67139037433155,83.06577540106952,43.67139037433155,39.394385026737964,88.57299465240642,68.61443850267379,19.95855614973262,-0.17834224598930482
LLaVA-v1.6-Mistral (7B),302866496.54278076,90.08529411764707,70.62647058823529,71.69251336898395,86.274064171123,45.0975935828877,46.70187165775401,86.274064171123,46.70187165775401,39.57219251336898,90.08529411764707,71.69251336898395,18.3927807486631,-1.6042780748663101
LLaVA-v1.6-Vicuna (7B),302866496.54278076,89.90748663101604,70.94331550802139,72.73288770053476,86.36310160427807,46.79117647058824,49.108556149732614,86.36310160427807,49.108556149732614,37.25454545454546,89.90748663101604,72.73288770053476,17.174598930481284,-2.317379679144385
Qwen3 (4B),302866496.54278076,17.651604278074867,,,12.120855614973262,,,12.120855614973262,,,17.651604278074867,,,
Qwen3-VL (2B),302866496.54278076,87.83903743315508,70.34064171122995,71.74839572192514,82.975935828877,45.45374331550802,46.16631016042781,82.975935828877,46.16631016042781,36.80962566844919,87.83903743315508,71.74839572192514,16.090641711229946,-0.7125668449197861
Qwen3-VL (4B),302866496.54278076,89.2524064171123,69.88048128342245,71.93877005347593,85.9168449197861,45.45374331550802,47.41470588235294,85.9168449197861,47.41470588235294,38.50213903743315,89.2524064171123,71.93877005347593,17.313636363636363,-1.9609625668449198
Qwen3-VL (8B),302866496.54278076,90.898128342246,69.09812834224599,70.43743315508021,89.39331550802139,44.2951871657754,47.41417112299466,89.39331550802139,47.41417112299466,41.97914438502674,90.898128342246,70.43743315508021,20.460695187165772,-3.1189839572192515
