,JS_Dist (↓),JS_Dist (↓),KS_Stat (↓),KS_Stat (↓),Kappa_Quad (↑),Kappa_Quad (↑),Pearson_r,Pearson_r,Spearman_ρ (↑),Spearman_ρ (↑),TVD (↓),TVD (↓),Wasserstein (↓),Wasserstein (↓),Δ_Mean (→0),Δ_Mean (→0)
Metric,accuracy,answer_similarity,accuracy,answer_similarity,accuracy,answer_similarity,accuracy,answer_similarity,accuracy,answer_similarity,accuracy,answer_similarity,accuracy,answer_similarity,accuracy,answer_similarity
model,,,,,,,,,,,,,,,,
InternVL3_5-1B,0.624,0.634,0.471,0.432,0.446,0.532,0.507,0.624,0.515,0.544,0.564,0.603,19.571,11.778,17.032,11.295
InternVL3_5-2B,0.628,0.628,0.491,0.464,0.434,0.537,0.498,0.634,0.516,0.549,0.564,0.591,20.888,12.79,18.696,12.453
InternVL3_5-4B,0.629,0.554,0.496,0.413,0.441,0.494,0.506,0.571,0.509,0.483,0.564,0.516,21.286,11.713,19.468,11.312
InternVL3_5-8B,0.632,0.609,0.512,0.466,0.453,0.497,0.526,0.587,0.519,0.504,0.564,0.582,22.477,13.169,20.865,12.744
InternVL3_5-8B_A1_vqa_gt,0.655,0.678,0.607,0.582,0.313,0.393,0.411,0.523,0.425,0.408,0.567,0.662,30.756,18.059,30.534,18.032
InternVL3_5-8B_A2_vqa_10_blind_inst,0.652,0.669,0.595,0.566,0.399,0.42,0.51,0.559,0.519,0.479,0.564,0.658,29.78,17.741,29.465,17.715
InternVL3_5-8B_A3_vqa_15_blind_inst,0.65,0.663,0.592,0.561,0.414,0.427,0.524,0.566,0.529,0.488,0.564,0.654,29.28,17.658,28.886,17.632
InternVL3_5-8B_A4_mmstar_15_blind_inst,0.647,0.633,0.58,0.532,0.399,0.436,0.499,0.549,0.492,0.457,0.564,0.615,28.069,16.239,27.46,15.817
InternVL3_5-8B_SFT_vqa_15_blind_inst,0.65,0.661,0.59,0.56,0.414,0.417,0.525,0.554,0.529,0.473,0.564,0.658,29.343,17.689,28.975,17.664
InternVL3_5-8B_SFT_vqa_gt,0.659,0.685,0.62,0.594,0.289,0.372,0.387,0.511,0.404,0.387,0.579,0.672,32.039,18.806,31.916,18.778
Pretrained VLMs,0.629,0.637,0.499,0.471,0.397,0.489,0.46,0.582,0.467,0.492,0.564,0.609,21.628,12.942,19.806,12.538
Qwen3-4B,0.64,0.817,0.644,0.762,0.122,-0.049,0.16,-0.265,0.164,-0.29,0.604,0.748,27.405,46.393,-26.818,-46.393
Qwen3-VL-2B-Instruct,0.628,0.639,0.492,0.468,0.39,0.515,0.45,0.616,0.463,0.521,0.564,0.601,21.131,12.937,19.26,12.599
Qwen3-VL-4B-Instruct,0.631,0.663,0.506,0.481,0.401,0.473,0.466,0.573,0.472,0.486,0.564,0.635,22.216,13.319,20.657,12.98
Qwen3-VL-4B-Instruct_A1_vqa_gt,0.653,0.693,0.6,0.576,0.29,0.369,0.378,0.499,0.39,0.392,0.564,0.668,30.119,17.98,29.777,17.929
Qwen3-VL-4B-Instruct_A2_vqa_10_blind_inst,0.645,0.652,0.564,0.531,0.426,0.42,0.526,0.553,0.521,0.479,0.564,0.647,27.485,16.884,26.969,16.858
Qwen3-VL-4B-Instruct_A3_vqa_15_blind_inst,0.647,0.651,0.571,0.539,0.427,0.41,0.532,0.547,0.527,0.467,0.564,0.644,28.207,17.254,27.772,17.228
Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,0.646,0.663,0.575,0.543,0.365,0.42,0.455,0.549,0.46,0.457,0.564,0.651,28.091,17.002,27.549,16.879
Qwen3-VL-4B-Instruct_SFT_vqa_15_blind_inst,0.645,0.649,0.563,0.537,0.438,0.427,0.541,0.562,0.538,0.48,0.564,0.644,27.547,17.113,27.059,17.087
Qwen3-VL-4B-Instruct_SFT_vqa_gt,0.657,0.712,0.616,0.61,0.26,0.305,0.346,0.438,0.356,0.329,0.564,0.697,31.496,19.774,31.248,19.721
Qwen3-VL-8B-Instruct,0.633,0.664,0.52,0.48,0.4,0.472,0.471,0.566,0.475,0.487,0.564,0.635,22.953,13.272,21.429,12.767
Qwen3-VL-8B-Instruct_A1_vqa_gt,0.65,0.681,0.59,0.572,0.306,0.37,0.393,0.501,0.408,0.396,0.564,0.662,29.232,17.969,28.797,17.885
Qwen3-VL-8B-Instruct_A2_vqa_10_blind_inst,0.647,0.651,0.572,0.545,0.404,0.377,0.506,0.514,0.496,0.441,0.564,0.651,28.082,17.887,27.594,17.861
Qwen3-VL-8B-Instruct_A3_vqa_15_blind_inst,0.65,0.681,0.59,0.572,0.306,0.37,0.393,0.501,0.408,0.396,0.564,0.662,29.232,17.969,28.797,17.885
Qwen3-VL-8B-Instruct_A4_mmstar_15_blind_inst,0.65,0.67,0.588,0.563,0.381,0.383,0.486,0.509,0.48,0.437,0.564,0.657,29.401,17.588,29.02,17.445
Qwen3-VL-8B-Instruct_SFT_mmstar_15_blind_inst,0.65,0.668,0.587,0.559,0.389,0.384,0.497,0.516,0.492,0.443,0.564,0.66,29.374,17.719,29.02,17.599
Qwen3-VL-8B-Instruct_SFT_vqa_15_blind_inst,0.648,0.658,0.583,0.555,0.413,0.389,0.521,0.53,0.512,0.456,0.564,0.659,28.737,18.085,28.262,18.058
llava-1.5-7b-hf,0.626,0.667,0.477,0.471,0.365,0.492,0.413,0.573,0.421,0.477,0.564,0.64,20.238,12.073,17.805,11.102
llava-v1.6-mistral-7b-hf,0.631,0.681,0.504,0.497,0.346,0.447,0.405,0.543,0.412,0.447,0.564,0.645,22.115,13.723,20.419,13.424
llava-v1.6-mistral-7b-hf_A1_vqa_gt,0.662,0.704,0.632,0.62,0.258,0.282,0.351,0.421,0.368,0.303,0.584,0.699,33.163,20.669,33.075,20.644
llava-v1.6-mistral-7b-hf_A2_vqa_10_blind_inst,0.644,0.656,0.561,0.539,0.425,0.401,0.523,0.534,0.524,0.449,0.564,0.659,27.24,17.388,26.658,17.357
llava-v1.6-mistral-7b-hf_A3_vqa_15_blind_inst,0.646,0.661,0.567,0.547,0.43,0.424,0.533,0.559,0.531,0.469,0.564,0.663,27.694,17.302,27.192,17.258
llava-v1.6-mistral-7b-hf_A4_mmstar_15_blind_inst,0.653,0.695,0.599,0.588,0.326,0.371,0.426,0.508,0.434,0.422,0.564,0.667,30.377,18.437,30.089,18.408
llava-v1.6-mistral-7b-hf_SFT_mmstar_15_blind_inst,0.656,0.692,0.61,0.598,0.332,0.356,0.438,0.5,0.452,0.41,0.568,0.674,31.144,19.11,30.936,19.081
llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,0.638,0.635,0.537,0.52,0.487,0.478,0.581,0.602,0.581,0.525,0.564,0.631,24.866,15.745,23.984,15.687
llava-v1.6-mistral-7b-hf_SFT_vqa_gt,0.66,0.691,0.622,0.612,0.248,0.299,0.334,0.44,0.355,0.313,0.584,0.689,32.539,20.353,32.451,20.328
llava-v1.6-vicuna-7b-hf,0.634,0.674,0.518,0.512,0.348,0.478,0.411,0.579,0.421,0.479,0.564,0.644,23.25,14.122,21.816,13.817
