model,finetuned,CP,FP,IR,LR,Math,S&T
InternVL 3.5 (8B),JS VQA (GT),-0.5494505494505495,-0.6711409395973155,-0.5128205128205128,0.43859649122807015,0.8,0.8032128514056225
InternVL 3.5 (8B),JS-Blind MMStar (n=15),0.0,2.684563758389262,1.5384615384615385,1.7543859649122806,-0.8,-0.40160642570281124
InternVL 3.5 (8B),JS-Blind VQA (n=10),-0.5494505494505495,0.6711409395973155,-0.5128205128205128,-0.43859649122807015,0.0,0.40160642570281124
InternVL 3.5 (8B),JS-Blind VQA (n=15),-0.5494505494505495,0.6711409395973155,0.5128205128205128,-0.43859649122807015,0.0,-0.40160642570281124
InternVL 3.5 (8B),SFT-Blind MMStar (n=15),-0.5494505494505495,-1.342281879194631,0.0,0.43859649122807015,-2.8,0.0
InternVL 3.5 (8B),SFT-Blind VQA,-0.5494505494505495,0.6711409395973155,-0.5128205128205128,0.0,-0.4,-1.2048192771084338
InternVL 3.5 (8B),SFT-VQA,-0.5494505494505495,-0.6711409395973155,-0.5128205128205128,1.3157894736842106,2.0,0.40160642570281124
LLaVA‑Mistral (7B),JS VQA (GT),6.043956043956044,4.026845637583893,0.0,-2.192982456140351,2.0,6.42570281124498
LLaVA‑Mistral (7B),JS-Blind MMStar (n=15),2.7472527472527473,6.7114093959731544,2.5641025641025643,7.456140350877193,3.2,7.6305220883534135
LLaVA‑Mistral (7B),JS-Blind VQA (n=10),6.593406593406593,2.0134228187919465,-1.0256410256410255,0.0,4.0,4.819277108433735
LLaVA‑Mistral (7B),JS-Blind VQA (n=15),9.340659340659341,-1.342281879194631,1.0256410256410255,-2.6315789473684212,4.4,6.024096385542169
LLaVA‑Mistral (7B),SFT-Blind MMStar,12.087912087912088,4.697986577181208,2.5641025641025643,3.508771929824561,4.4,9.63855421686747
LLaVA‑Mistral (7B),SFT-Blind VQA,12.087912087912088,-4.026845637583893,1.0256410256410255,-1.3157894736842106,5.2,3.6144578313253013
LLaVA‑Mistral (7B),SFT-VQA,8.241758241758241,6.040268456375839,4.102564102564102,1.7543859649122806,9.2,5.220883534136546
Qwen3‑VL (4B),JS VQA (GT),1.098901098901099,2.0134228187919465,-3.58974358974359,-8.333333333333334,-6.0,-1.606425702811245
Qwen3‑VL (4B),JS-Blind MMStar (n=15),0.5494505494505495,1.342281879194631,-0.5128205128205128,-6.140350877192983,-5.2,2.4096385542168677
Qwen3‑VL (4B),JS-Blind VQA (n=10),0.0,0.0,-3.58974358974359,-10.526315789473685,-6.0,-2.4096385542168677
Qwen3‑VL (4B),JS-Blind VQA (n=15),0.5494505494505495,0.6711409395973155,-3.076923076923077,-11.842105263157896,-7.6,-1.606425702811245
Qwen3‑VL (4B),SFT-Blind VQA,0.0,-0.6711409395973155,-1.5384615384615385,-9.649122807017545,-7.2,-2.0080321285140563
Qwen3‑VL (4B),SFT-VQA,1.098901098901099,2.0134228187919465,-1.5384615384615385,-7.894736842105263,-4.8,-1.606425702811245
Qwen3‑VL (8B),JS VQA (GT),-0.5494505494505495,-6.7114093959731544,0.0,-7.894736842105263,-1.2,1.2048192771084338
Qwen3‑VL (8B),JS-Blind MMStar (n=15),-1.098901098901099,-6.040268456375839,-0.5128205128205128,-7.894736842105263,-2.0,-0.8032128514056225
Qwen3‑VL (8B),JS-Blind VQA (n=10),-0.5494505494505495,-8.053691275167786,-1.5384615384615385,-9.210526315789474,-1.2,-0.8032128514056225
Qwen3‑VL (8B),JS-Blind VQA (n=15),-0.5494505494505495,-6.7114093959731544,0.0,-7.894736842105263,-1.2,1.2048192771084338
Qwen3‑VL (8B),SFT-Blind MMStar,2.197802197802198,-4.697986577181208,-2.5641025641025643,-7.894736842105263,-4.8,0.40160642570281124
Qwen3‑VL (8B),SFT-Blind VQA,-0.5494505494505495,-8.724832214765101,0.5128205128205128,-7.456140350877193,-0.4,-0.8032128514056225
