,,,score,score,score
dataset,,,VQAv2,VQAv2,VQAv2
category,,,number,other,yes/no
model,blind,strategy,,,
InternVL 3.5 (8B),Blind,JS,72.97348717948718,73.43288038454428,93.48499486125384
InternVL 3.5 (8B),Blind,SFT,72.4864358974359,73.59925818080976,93.69624871531346
InternVL 3.5 (8B),GT,JS,72.46082051282052,74.30657237936772,94.2273381294964
InternVL 3.5 (8B),GT,SFT,72.40912820512821,74.16767886855241,94.33016443987667
LLaVA‑Mistral (7B),Blind,JS,65.99830769230769,74.02455629506379,93.11968139773894
LLaVA‑Mistral (7B),Blind,SFT,65.6138717948718,73.3841583471991,92.85693730729702
LLaVA‑Mistral (7B),GT,JS,66.20379487179487,74.75033277870216,92.85698869475848
LLaVA‑Mistral (7B),GT,SFT,65.07569230769231,75.01385191347754,92.9940390544707
Qwen3‑VL (4B),Blind,JS,74.11880341880341,74.35708541320021,95.23210003425832
Qwen3‑VL (4B),Blind,SFT,71.64010256410256,74.13980865224626,95.30637204522097
Qwen3‑VL (4B),GT,JS,74.71707692307692,75.23545479755963,95.23782117163411
Qwen3‑VL (4B),GT,SFT,74.51179487179486,74.80550471436494,95.18648509763618
Qwen3‑VL (8B),Blind,JS,75.1445982905983,74.9536605657238,95.02673860911271
Qwen3‑VL (8B),Blind,SFT,75.43523076923077,74.50754991680532,95.02389516957862
Qwen3‑VL (8B),GT,JS,74.87133333333334,75.61005268996118,94.91248715313463
