,,,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
dataset,,,MMStar,MMStar,MMStar,MMStar,MMStar,MMStar,VQA,VQA,VQA,VQA,VQA,VQA
category,,,CP,FP,IR,LR,Math,S&T,number,number,other,other,yes/no,yes/no
score_type,,,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,answer_similarity,accuracy,answer_similarity,accuracy,answer_similarity
model,blind,strategy,,,,,,,,,,,,
InternVL 3.5 (8B),Blind,JS,-0.5,0.7,0.0,-0.4,0.0,0.0,0.4,-0.1,0.3,0.3,-0.9,-0.3
InternVL 3.5 (8B),Blind,SFT,-0.5,0.7,-0.5,0.0,-0.4,-1.2,-0.1,-0.3,0.5,0.3,-0.7,-0.2
InternVL 3.5 (8B),GT,JS,-0.5,-0.7,-0.5,0.4,0.8,0.8,-0.1,-0.2,1.2,1.0,-0.1,-0.1
InternVL 3.5 (8B),GT,SFT,-0.5,-0.7,-0.5,1.3,2.0,0.4,-0.2,-0.1,1.0,1.0,-0.0,-0.1
LLaVA‑Mistral (7B),Blind,JS,8.0,0.3,0.0,-1.3,4.2,5.4,-0.7,-0.1,-2.3,-1.1,-0.4,-0.2
LLaVA‑Mistral (7B),Blind,SFT,12.1,-4.0,1.0,-1.3,5.2,3.6,-1.1,-0.4,-2.9,-1.5,-0.7,-0.2
LLaVA‑Mistral (7B),GT,JS,6.0,4.0,0.0,-2.2,2.0,6.4,-0.5,0.1,-1.6,-1.0,-0.7,-0.2
LLaVA‑Mistral (7B),GT,SFT,8.2,6.0,4.1,1.8,9.2,5.2,-1.6,-0.7,-1.3,-1.0,-0.5,-0.2
Qwen3‑VL (4B),Blind,JS,0.3,0.3,-3.3,-11.2,-6.8,-2.0,-0.4,0.3,-0.8,-0.1,0.3,0.1
Qwen3‑VL (4B),Blind,SFT,0.0,-0.7,-1.5,-9.6,-7.2,-2.0,-2.9,-0.3,-1.0,0.1,0.4,0.2
Qwen3‑VL (4B),GT,JS,1.1,2.0,-3.6,-8.3,-6.0,-1.6,0.2,0.4,0.1,0.1,0.3,0.0
Qwen3‑VL (4B),GT,SFT,1.1,2.0,-1.5,-7.9,-4.8,-1.6,0.0,0.2,-0.4,-0.1,0.3,0.0
Qwen3‑VL (8B),Blind,JS,-0.5,-7.4,-0.8,-8.6,-1.2,0.2,-0.4,0.5,-0.1,0.1,-0.1,-0.1
Qwen3‑VL (8B),Blind,SFT,-0.5,-8.7,0.5,-7.5,-0.4,-0.8,-0.1,0.4,-0.6,0.0,-0.1,-0.1
Qwen3‑VL (8B),GT,JS,-0.5,-6.7,0.0,-7.9,-1.2,1.2,-0.7,0.6,0.5,0.2,-0.2,-0.2
