,,,,mean,mean,mean,MG
,,,,correct,correct,correct,
condition,,,,,blind,inst blind,
model,pid,category,l2_category,,,,
InternVL3_5-1B,0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,1,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,2,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,3,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,4,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,5,coarse perception,image scene and topic,0.0,1.0,0.0,0.0
InternVL3_5-1B,6,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,7,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,8,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,9,coarse perception,image emotion,0.0,0.0,0.0,0.0
InternVL3_5-1B,10,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,11,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,12,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,13,coarse perception,image emotion,0.0,0.0,0.0,0.0
InternVL3_5-1B,14,coarse perception,image scene and topic,1.0,1.0,1.0,0.0
InternVL3_5-1B,15,coarse perception,image scene and topic,1.0,1.0,1.0,0.0
InternVL3_5-1B,16,coarse perception,image emotion,0.0,0.0,0.0,0.0
InternVL3_5-1B,17,coarse perception,image scene and topic,0.0,0.0,1.0,-1.0
InternVL3_5-1B,18,coarse perception,image emotion,0.0,0.0,0.0,0.0
InternVL3_5-1B,19,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,20,coarse perception,image scene and topic,1.0,1.0,1.0,0.0
InternVL3_5-1B,21,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,22,coarse perception,image scene and topic,0.0,1.0,1.0,-1.0
InternVL3_5-1B,23,coarse perception,image emotion,1.0,0.0,1.0,0.0
InternVL3_5-1B,24,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,25,coarse perception,image scene and topic,1.0,1.0,1.0,0.0
InternVL3_5-1B,26,coarse perception,image scene and topic,0.0,0.0,1.0,-1.0
InternVL3_5-1B,27,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,28,coarse perception,image scene and topic,1.0,1.0,0.0,1.0
InternVL3_5-1B,29,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,30,coarse perception,image scene and topic,1.0,1.0,1.0,0.0
InternVL3_5-1B,31,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,32,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,33,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,34,coarse perception,image scene and topic,1.0,1.0,0.0,1.0
InternVL3_5-1B,35,coarse perception,image scene and topic,1.0,0.0,1.0,0.0
InternVL3_5-1B,36,coarse perception,image scene and topic,0.0,0.0,1.0,-1.0
InternVL3_5-1B,37,coarse perception,image scene and topic,0.0,1.0,1.0,-1.0
InternVL3_5-1B,38,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,39,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,40,coarse perception,image scene and topic,0.0,1.0,1.0,-1.0
InternVL3_5-1B,41,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,42,coarse perception,image style & quality,0.0,0.0,0.0,0.0
InternVL3_5-1B,43,coarse perception,image scene and topic,1.0,0.0,1.0,0.0
InternVL3_5-1B,44,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,45,coarse perception,image scene and topic,0.0,0.0,1.0,-1.0
InternVL3_5-1B,46,coarse perception,image style & quality,0.0,0.0,0.0,0.0
InternVL3_5-1B,47,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,48,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,49,coarse perception,image style & quality,0.0,0.0,0.0,0.0
InternVL3_5-1B,50,coarse perception,image style & quality,1.0,0.0,0.0,1.0
InternVL3_5-1B,51,coarse perception,image style & quality,1.0,1.0,0.0,1.0
InternVL3_5-1B,52,coarse perception,image scene and topic,1.0,0.0,1.0,0.0
InternVL3_5-1B,53,coarse perception,image emotion,1.0,1.0,1.0,0.0
InternVL3_5-1B,54,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,55,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,56,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,57,coarse perception,image scene and topic,1.0,0.0,1.0,0.0
InternVL3_5-1B,58,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,59,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,60,coarse perception,image scene and topic,0.0,1.0,0.0,0.0
InternVL3_5-1B,61,coarse perception,image emotion,1.0,0.0,0.0,1.0
InternVL3_5-1B,62,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
InternVL3_5-1B,63,coarse perception,image scene and topic,1.0,0.0,0.0,1.0
InternVL3_5-1B,64,coarse perception,image scene and topic,0.0,0.0,0.0,0.0
