,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
,MG,MG,MG,MG,MG,MG,MG,MG,MG,MG,MG,MG,MG,MG,MG,MG,MG,MG
,,,,,,,,,,,,,,,,,,
condition,,,,,,,,,,,,,,,,,,
category,coarse perception,coarse perception,coarse perception,fine-grained perception,fine-grained perception,fine-grained perception,instance reasoning,instance reasoning,instance reasoning,logical reasoning,logical reasoning,logical reasoning,math,math,math,science & technology,science & technology,science & technology
l2_category,image emotion,image scene and topic,image style & quality,localization,object counting,recognition,cross-instance attribute reasoning,cross-instance relation reasoning,single-instance reasoning,code & sequence reasoning,common reasoning,diagram reasoning,geometry,numeric commonsense and calculation,statistical reasoning,biology & chemistry & physics,electronics & energy & mechanical eng.,geography & earth science & agriculture
model,,,,,,,,,,,,,,,,,,
InternVL3_5-1B,0.419,0.284,0.282,0.1,0.033,0.229,0.067,0.21,0.394,0.179,0.089,0.191,0.0,0.271,0.314,0.034,0.196,0.121
InternVL3_5-2B,0.161,0.234,0.321,0.35,0.196,0.229,0.27,0.597,0.404,0.256,0.198,0.236,0.147,0.188,0.302,0.226,0.152,0.241
InternVL3_5-4B,0.355,0.426,0.628,0.425,0.413,0.347,0.36,0.468,0.485,0.385,0.317,0.473,0.431,0.292,0.407,0.308,0.13,0.379
InternVL3_5-8B,0.419,0.34,0.526,0.4,0.239,0.288,0.438,0.371,0.485,0.128,0.347,0.218,-0.071,0.208,0.182,,,
InternVL3_5-8B_A1_vqa_gt,0.355,0.39,0.628,0.45,0.315,0.381,0.483,0.581,0.465,0.256,0.297,0.436,0.155,0.25,0.372,0.336,0.174,0.276
InternVL3_5-8B_A2_vqa_10_blind_inst,0.419,0.383,0.436,0.475,0.261,0.407,0.416,0.548,0.485,0.256,0.327,0.427,0.129,0.229,0.337,0.329,0.13,0.259
InternVL3_5-8B_A3_vqa_15_blind_inst,0.419,0.383,0.513,0.475,0.25,0.398,0.404,0.565,0.485,0.308,0.307,0.418,0.138,0.188,0.326,0.329,0.152,0.241
InternVL3_5-8B_A4_mmstar_15_blind_inst,0.774,0.355,0.538,0.425,0.283,0.356,0.438,0.597,0.525,0.205,0.426,0.382,0.172,0.208,0.419,0.26,0.109,0.259
InternVL3_5-8B_SFT_mmstar_15_blind_inst,0.806,0.326,0.538,0.375,0.207,0.331,0.483,0.452,0.485,0.103,0.406,0.409,0.181,0.229,0.36,0.274,0.174,0.172
Qwen3-VL-2B-Instruct,0.484,0.34,0.731,0.325,0.228,0.22,0.292,0.242,0.475,0.051,0.158,0.355,0.034,0.188,0.291,0.24,0.196,0.172
Qwen3-VL-4B-Instruct,0.452,0.426,0.679,0.55,0.217,0.288,0.438,0.597,0.586,0.333,0.426,0.6,0.25,0.354,0.43,0.397,0.196,0.362
Qwen3-VL-4B-Instruct_A1_vqa_gt,0.452,0.369,0.718,0.575,0.37,0.28,0.393,0.419,0.566,0.103,0.287,0.445,0.103,0.25,0.221,0.281,0.087,0.31
Qwen3-VL-4B-Instruct_A2_vqa_10_blind_inst,0.645,0.39,0.538,0.525,0.293,0.263,0.36,0.419,0.515,0.179,0.297,0.409,0.112,0.271,0.198,0.274,0.022,0.345
Qwen3-VL-4B-Instruct_A3_vqa_15_blind_inst,0.548,0.369,0.551,0.525,0.283,0.246,0.36,0.452,0.525,0.128,0.277,0.418,0.095,0.229,0.174,0.301,0.0,0.362
Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,0.645,0.383,0.5,0.6,0.163,0.271,0.337,0.435,0.485,0.026,0.277,0.4,0.129,0.354,0.221,0.274,0.087,0.207
Qwen3-VL-4B-Instruct_SFT_vqa_15_blind_inst,0.677,0.348,0.564,0.55,0.239,0.263,0.382,0.468,0.515,0.077,0.327,0.445,0.086,0.25,0.221,0.281,0.0,0.362
Qwen3-VL-4B-Instruct_SFT_vqa_gt,0.484,0.362,0.577,0.575,0.348,0.28,0.393,0.452,0.566,0.128,0.267,0.445,0.129,0.292,0.244,0.301,0.087,0.379
Qwen3-VL-8B-Instruct,0.355,0.348,0.744,0.425,0.424,0.407,0.371,0.532,0.556,0.308,0.446,0.555,0.138,0.354,0.477,0.336,0.239,0.293
Qwen3-VL-8B-Instruct_A1_vqa_gt,0.258,0.383,0.603,0.55,0.293,0.364,0.382,0.581,0.586,0.205,0.307,0.482,0.129,0.292,0.326,0.37,0.152,0.31
Qwen3-VL-8B-Instruct_A2_vqa_10_blind_inst,0.484,0.383,0.615,0.5,0.261,0.373,0.315,0.516,0.535,0.154,0.317,0.473,0.138,0.25,0.314,0.349,0.065,0.276
Qwen3-VL-8B-Instruct_A3_vqa_15_blind_inst,0.258,0.383,0.603,0.55,0.293,0.364,0.382,0.581,0.586,0.205,0.307,0.482,0.129,0.292,0.326,0.37,0.152,0.31
Qwen3-VL-8B-Instruct_A4_mmstar_15_blind_inst,0.645,0.362,0.615,0.45,0.228,0.347,0.303,0.468,0.556,0.359,0.248,0.445,0.172,0.354,0.326,0.281,0.109,0.207
Qwen3-VL-8B-Instruct_SFT_mmstar_15_blind_inst,0.677,0.362,0.59,0.5,0.261,0.331,0.326,0.452,0.455,0.128,0.307,0.445,0.155,0.333,0.384,0.24,0.065,0.207
Qwen3-VL-8B-Instruct_SFT_vqa_15_blind_inst,0.355,0.397,0.654,0.45,0.217,0.347,0.281,0.548,0.515,0.308,0.366,0.473,0.147,0.25,0.279,0.342,0.043,0.345
llava-v1.6-mistral-7b-hf,0.29,0.156,0.359,0.3,0.109,0.153,0.045,0.194,0.263,0.282,0.208,0.018,0.052,0.062,0.081,-0.014,0.043,0.017
llava-v1.6-mistral-7b-hf_A1_vqa_gt,0.516,0.291,0.333,0.125,0.13,0.059,0.045,0.226,0.303,0.128,0.109,0.082,-0.052,0.104,0.023,0.055,0.087,-0.172
llava-v1.6-mistral-7b-hf_A2_vqa_10_blind_inst,0.548,0.213,0.487,0.15,0.109,0.11,0.022,0.065,0.253,-0.026,0.139,-0.018,-0.069,0.042,0.0,0.075,0.0,-0.069
llava-v1.6-mistral-7b-hf_A3_vqa_15_blind_inst,0.613,0.255,0.526,0.125,0.076,0.093,0.079,0.129,0.283,0.103,0.129,0.027,-0.086,-0.042,-0.012,0.082,0.022,-0.017
llava-v1.6-mistral-7b-hf_A4_mmstar_15_blind_inst,0.516,0.163,0.359,0.175,0.141,0.153,0.079,0.113,0.242,0.103,0.178,0.064,-0.017,-0.021,-0.012,-0.007,-0.065,-0.017
llava-v1.6-mistral-7b-hf_SFT_mmstar_15_blind_inst,0.581,0.17,0.5,0.05,0.174,0.161,0.09,0.097,0.283,-0.051,0.099,0.045,-0.034,0.021,-0.023,0.034,0.0,0.034
llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,0.484,0.27,0.551,0.125,0.054,0.085,0.022,0.145,0.242,0.128,0.099,0.018,0.0,-0.021,0.012,0.048,0.0,-0.034
