,,,,mean,mean,mean,MG,inst_acc
,,,,correct,correct,correct,,
condition,,,,,blind,inst blind,,
model,pid,category,l2_category,,,,,
InternVL 3.5 (1B),0.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),1.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),2.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),3.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),4.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),5.0,coarse perception,image scene and topic,0.0,100.0,0.0,0.0,-100.0
InternVL 3.5 (1B),6.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),7.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),8.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),9.0,coarse perception,image emotion,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),10.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),11.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),12.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),13.0,coarse perception,image emotion,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),14.0,coarse perception,image scene and topic,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),15.0,coarse perception,image scene and topic,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),16.0,coarse perception,image emotion,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),17.0,coarse perception,image scene and topic,0.0,0.0,100.0,-100.0,100.0
InternVL 3.5 (1B),18.0,coarse perception,image emotion,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),19.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),20.0,coarse perception,image scene and topic,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),21.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),22.0,coarse perception,image scene and topic,0.0,100.0,100.0,-100.0,0.0
InternVL 3.5 (1B),23.0,coarse perception,image emotion,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (1B),24.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),25.0,coarse perception,image scene and topic,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),26.0,coarse perception,image scene and topic,0.0,0.0,100.0,-100.0,100.0
InternVL 3.5 (1B),27.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),28.0,coarse perception,image scene and topic,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (1B),29.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),30.0,coarse perception,image scene and topic,100.0,100.0,100.0,0.0,0.0
InternVL 3.5 (1B),31.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),32.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),33.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),34.0,coarse perception,image scene and topic,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (1B),35.0,coarse perception,image scene and topic,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (1B),36.0,coarse perception,image scene and topic,0.0,0.0,100.0,-100.0,100.0
InternVL 3.5 (1B),37.0,coarse perception,image scene and topic,0.0,100.0,100.0,-100.0,0.0
InternVL 3.5 (1B),38.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),39.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),40.0,coarse perception,image scene and topic,0.0,100.0,100.0,-100.0,0.0
InternVL 3.5 (1B),41.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),42.0,coarse perception,image style & quality,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),43.0,coarse perception,image scene and topic,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (1B),44.0,coarse perception,image scene and topic,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),45.0,coarse perception,image scene and topic,0.0,0.0,100.0,-100.0,100.0
InternVL 3.5 (1B),46.0,coarse perception,image style & quality,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),47.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),48.0,coarse perception,image scene and topic,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),49.0,coarse perception,image style & quality,0.0,0.0,0.0,0.0,0.0
InternVL 3.5 (1B),50.0,coarse perception,image style & quality,100.0,0.0,0.0,100.0,0.0
InternVL 3.5 (1B),51.0,coarse perception,image style & quality,100.0,100.0,0.0,100.0,-100.0
InternVL 3.5 (1B),52.0,coarse perception,image scene and topic,100.0,0.0,100.0,0.0,100.0
InternVL 3.5 (1B),53.0,coarse perception,image emotion,100.0,100.0,100.0,0.0,0.0
