,mean,mean,mean,count,count,count
,correct,correct,correct,correct,correct,correct
condition,,blind,inst blind,,blind,inst blind
model,,,,,,
InternVL3_5-1B,0.5429,0.42,0.3771,2400.0,2400.0,2400.0
InternVL3_5-2B,0.6112,0.4104,0.2904,2400.0,2400.0,2400.0
InternVL3_5-4B,0.78,,0.6242,2400.0,,2400.0
InternVL3_5-8B,0.7821,0.6879,0.6508,2400.0,2400.0,2400.0
InternVL3_5-8B_A1_vqa_gt,0.0,,0.0,2400.0,,2400.0
InternVL3_5-8B_A2_vqa_10_blind_inst,0.0,,0.0,2400.0,,2400.0
InternVL3_5-8B_A3_vqa_15_blind_inst,0.0,,0.0,2400.0,,2400.0
InternVL3_5-8B_A4_mmstar_15_blind_inst,0.0,,0.0,2400.0,,2400.0
InternVL3_5-8B_SFT_mmstar_15_blind_inst,0.0,,0.0,2400.0,,2400.0
Qwen3-4B,0.0,,,2368.0,,
Qwen3-VL-2B-Instruct,0.7295,0.4417,0.3579,281.0,2400.0,2400.0
Qwen3-VL-4B-Instruct,0.7458,,0.4662,2400.0,,2400.0
Qwen3-VL-4B-Instruct_A1_JS_vqa_n15_blind_inst,0.7529,,0.4358,85.0,,2400.0
Qwen3-VL-4B-Instruct_A1_vqa_gt,0.0,,0.0,85.0,,2400.0
Qwen3-VL-4B-Instruct_A2_vqa_10_blind_inst,0.0,,0.0,2400.0,,2400.0
Qwen3-VL-4B-Instruct_A3_vqa_15_blind_inst,0.0,,0.0,281.0,,2400.0
Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,0.0,,0.0,281.0,,2400.0
Qwen3-VL-4B-Instruct_SFT_vqa_15_blind_inst,0.0,,0.0,281.0,,2400.0
Qwen3-VL-4B-Instruct_SFT_vqa_gt,0.0,,0.0,281.0,,2400.0
Qwen3-VL-8B-Instruct,0.7854,,0.5704,2400.0,,2400.0
Qwen3-VL-8B-Instruct_A1_vqa_gt,0.0,,0.0,85.0,,2400.0
Qwen3-VL-8B-Instruct_A2_vqa_10_blind_inst,0.0,,0.0,826.0,,2400.0
Qwen3-VL-8B-Instruct_A3_vqa_15_blind_inst,0.0,,0.0,85.0,,2400.0
Qwen3-VL-8B-Instruct_A4_mmstar_15_blind_inst,0.0,,0.0,85.0,,2400.0
Qwen3-VL-8B-Instruct_SFT_mmstar_15_blind_inst,0.0,,0.0,85.0,,2400.0
Qwen3-VL-8B-Instruct_SFT_vqa_15_blind_inst,0.0,,0.0,85.0,,2400.0
llava-1.5-7b-hf,0.5788,,0.2946,2400.0,,2400.0
llava-v1.6-mistral-7b-hf,0.6296,0.3796,0.3758,2400.0,2400.0,2400.0
llava-v1.6-mistral-7b-hf_A1_vqa_gt,0.0,,0.0,2400.0,,2400.0
llava-v1.6-mistral-7b-hf_A2_vqa_10_blind_inst,0.0,,0.0,2400.0,,2400.0
llava-v1.6-mistral-7b-hf_A3_vqa_15_blind_inst,0.0,,0.0,2400.0,,2400.0
llava-v1.6-mistral-7b-hf_A4_mmstar_15_blind_inst,0.0,,0.0,2400.0,,2400.0
llava-v1.6-mistral-7b-hf_SFT_mmstar_15_blind_inst,0.0,,0.0,2400.0,,2400.0
