,mean,mean,mean,count,count,count
,correct,correct,correct,correct,correct,correct
condition,,blind,inst blind,,blind,inst blind
model,,,,,,
InternVL3_5-1B,75.8656,34.6654,35.232,1000.0,1000.0,1000.0
InternVL3_5-2B,77.6657,34.4324,33.4659,1000.0,1000.0,1000.0
InternVL3_5-4B,78.0656,33.099,35.1654,1000.0,1000.0,1000.0
InternVL3_5-8B,81.2666,37.4988,37.4658,1000.0,1000.0,1000.0
InternVL3_5-8B_A1_vqa_gt,81.8665,,41.3321,1000.0,,1000.0
InternVL3_5-8B_A2_vqa_10_blind_inst,80.5331,,41.032,1000.0,,1000.0
InternVL3_5-8B_A3_vqa_15_blind_inst,80.8665,,40.6318,1000.0,,1000.0
InternVL3_5-8B_A4_mmstar_15_blind_inst,81.3333,,39.5658,1000.0,,1000.0
Qwen3-VL-2B-Instruct,80.3992,35.5989,36.0321,1000.0,1000.0,1000.0
Qwen3-VL-4B-Instruct,82.0994,34.4322,37.4655,1000.0,1000.0,1000.0
Qwen3-VL-4B-Instruct_A1_vqa_gt,83.5663,,36.6989,1000.0,,1000.0
Qwen3-VL-4B-Instruct_A2_vqa_10_blind_inst,81.6662,,37.7319,1000.0,,1000.0
Qwen3-VL-4B-Instruct_A3_vqa_15_blind_inst,81.7996,,38.6987,1000.0,,1000.0
Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,82.2994,,37.5652,1000.0,,1000.0
Qwen3-VL-4B-Instruct_SFT_vqa_15_blind_inst,81.733,,37.8318,1000.0,,1000.0
Qwen3-VL-4B-Instruct_SFT_vqa_gt,83.0994,,37.9658,1000.0,,1000.0
Qwen3-VL-8B-Instruct,84.633,34.8658,38.0991,1000.0,1000.0,1000.0
Qwen3-VL-8B-Instruct_A1_vqa_gt,84.6664,,37.5655,1000.0,,1000.0
Qwen3-VL-8B-Instruct_A2_vqa_10_blind_inst,83.8664,,38.7985,1000.0,,1000.0
Qwen3-VL-8B-Instruct_A3_vqa_15_blind_inst,84.6664,,37.5655,1000.0,,1000.0
Qwen3-VL-8B-Instruct_A4_mmstar_15_blind_inst,84.833,,39.6325,1000.0,,1000.0
Qwen3-VL-8B-Instruct_SFT_mmstar_15_blind_inst,84.5664,,39.7323,1000.0,,1000.0
Qwen3-VL-8B-Instruct_SFT_vqa_15_blind_inst,83.8999,,38.4653,1000.0,,1000.0
llava-v1.6-mistral-7b-hf,82.7995,34.9994,35.9992,1000.0,1000.0,1000.0
llava-v1.6-mistral-7b-hf_A1_vqa_gt,81.8993,,42.7994,1000.0,,1000.0
llava-v1.6-mistral-7b-hf_A2_vqa_10_blind_inst,80.2333,,41.4323,1000.0,,1000.0
llava-v1.6-mistral-7b-hf_A4_mmstar_15_blind_inst,81.8993,,40.7994,1000.0,,1000.0
llava-v1.6-mistral-7b-hf_SFT_mmstar_15_blind_inst,82.4326,,41.2658,1000.0,,1000.0
