,mean,mean,mean,mean,count,count,count,count
,correct,correct,correct,correct,correct,correct,correct,correct
condition,vqa 5k,vqa 5k blind,vqa 5k inst blind,vqa 5k sys inst blind,vqa 5k,vqa 5k blind,vqa 5k inst blind,vqa 5k sys inst blind
model,,,,,,,,
InternVL3_5-1B,0.7369,0.3409,0.3498,0.3397,5000.0,5000.0,5000.0,8255.0
InternVL3_5-2B,0.769,0.3607,0.3545,0.362,5000.0,5000.0,5000.0,5000.0
InternVL3_5-4B,0.7859,0.3607,0.3845,,5000.0,5000.0,5000.0,
InternVL3_5-8B,0.8125,0.3961,0.3815,,5000.0,5000.0,5000.0,
InternVL3_5-8B_A1_vqa_gt,0.8175,,0.4101,,5000.0,,5000.0,
InternVL3_5-8B_A2_vqa_10_blind_inst,0.8111,,0.4076,,5000.0,,5000.0,
InternVL3_5-8B_A3_vqa_15_blind_inst,0.8099,,0.411,,5000.0,,5000.0,
InternVL3_5-8B_A4_mmstar_15_blind_inst,0.8123,,0.3943,,5000.0,,5000.0,
InternVL3_5-8B_SFT_mmstar_15_blind_inst,0.8131,,,,5000.0,,,
Qwen3-VL-2B-Instruct,0.793,0.3549,0.3703,,5000.0,5000.0,5000.0,
Qwen3-VL-4B-Instruct,0.8269,0.3675,0.374,,5000.0,5000.0,5000.0,
Qwen3-VL-4B-Instruct_A1_vqa_gt,0.8287,,0.3817,,5000.0,,5000.0,
Qwen3-VL-4B-Instruct_A2_vqa_10_blind_inst,0.8213,,0.404,,5000.0,,5000.0,
Qwen3-VL-4B-Instruct_A3_vqa_15_blind_inst,0.8236,,0.4016,,5000.0,,5000.0,
Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,0.8265,,0.4131,,5000.0,,5000.0,
Qwen3-VL-4B-Instruct_SFT_vqa_15_blind_inst,0.8199,,0.3983,,5000.0,,5000.0,
Qwen3-VL-4B-Instruct_SFT_vqa_gt,0.8263,,0.3782,,5000.0,,5000.0,
Qwen3-VL-8B-Instruct,0.8286,0.3621,0.3745,,5000.0,5000.0,5000.0,
Qwen3-VL-8B-Instruct_A1_vqa_gt,0.8295,,0.3909,,5000.0,,5000.0,
Qwen3-VL-8B-Instruct_A2_vqa_10_blind_inst,0.8231,,0.4045,,5000.0,,5000.0,
Qwen3-VL-8B-Instruct_A3_vqa_15_blind_inst,0.8295,,0.3909,,5000.0,,5000.0,
Qwen3-VL-8B-Instruct_A4_mmstar_15_blind_inst,0.8286,,0.3942,,5000.0,,5000.0,
Qwen3-VL-8B-Instruct_SFT_mmstar_15_blind_inst,0.8306,,0.4007,,5000.0,,5000.0,
Qwen3-VL-8B-Instruct_SFT_vqa_15_blind_inst,0.8199,,0.4064,,5000.0,,5000.0,
llava-v1.6-mistral-7b-hf,0.8171,0.368,0.38,,5000.0,5000.0,5000.0,
llava-v1.6-mistral-7b-hf_A1_vqa_gt,0.8062,,0.4015,,5000.0,,5000.0,
llava-v1.6-mistral-7b-hf_A2_vqa_10_blind_inst,0.8003,,0.41,,5000.0,,5000.0,
llava-v1.6-mistral-7b-hf_A3_vqa_15_blind_inst,0.798,,0.4069,,5000.0,,5000.0,
llava-v1.6-mistral-7b-hf_A4_mmstar_15_blind_inst,0.8131,,0.411,,5000.0,,5000.0,
llava-v1.6-mistral-7b-hf_SFT_mmstar_15_blind_inst,0.8119,,0.4153,,5000.0,,5000.0,
llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,0.7871,,,,1929.0,,,
