,mean,mean,mean,inst_acc,MG
,correct,correct,correct,,
condition,,blind,inst blind,,
model,,,,,
InternVL3_5-1B,80.5,43.6,43.8,0.19999999999999574,36.7
InternVL3_5-2B,82.1,45.5,45.3,-0.20000000000000284,36.8
InternVL3_5-4B,83.0,45.0,47.2,2.200000000000003,35.8
InternVL3_5-8B,86.9,47.1,45.4,-1.7000000000000028,41.50000000000001
InternVL3_5-8B_A1_vqa_gt,87.3,,51.7,,35.599999999999994
InternVL3_5-8B_A2_vqa_10_blind_inst,86.1,,50.7,,35.39999999999999
InternVL3_5-8B_A3_vqa_15_blind_inst,86.1,,49.6,,36.49999999999999
InternVL3_5-8B_A4_mmstar_15_blind_inst,86.4,,46.4,,40.00000000000001
Qwen3-4B,12.1,,,,
Qwen3-VL-2B-Instruct,83.0,45.5,46.2,0.7000000000000028,36.8
Qwen3-VL-4B-Instruct,85.9,45.5,47.4,1.8999999999999986,38.50000000000001
Qwen3-VL-4B-Instruct_A1_vqa_gt,88.1,,49.3,,38.8
Qwen3-VL-4B-Instruct_A2_vqa_10_blind_inst,84.4,,47.4,,37.00000000000001
Qwen3-VL-4B-Instruct_A3_vqa_15_blind_inst,84.9,,48.5,,36.400000000000006
Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,85.6,,47.3,,38.3
Qwen3-VL-4B-Instruct_SFT_vqa_15_blind_inst,84.8,,47.2,,37.599999999999994
Qwen3-VL-4B-Instruct_SFT_vqa_gt,88.7,,51.7,,37.0
Qwen3-VL-8B-Instruct,89.4,44.3,47.4,3.1000000000000014,42.00000000000001
Qwen3-VL-8B-Instruct_A1_vqa_gt,89.3,,46.2,,43.099999999999994
Qwen3-VL-8B-Instruct_A2_vqa_10_blind_inst,87.0,,46.1,,40.9
Qwen3-VL-8B-Instruct_A3_vqa_15_blind_inst,89.3,,46.2,,43.099999999999994
Qwen3-VL-8B-Instruct_A4_mmstar_15_blind_inst,89.1,,46.8,,42.3
Qwen3-VL-8B-Instruct_SFT_mmstar_15_blind_inst,88.9,,47.1,,41.800000000000004
Qwen3-VL-8B-Instruct_SFT_vqa_15_blind_inst,87.5,,46.9,,40.6
humans,,,38.9,,
llava-v1.6-mistral-7b-hf,86.3,45.1,46.7,1.6000000000000014,39.599999999999994
llava-v1.6-mistral-7b-hf_A1_vqa_gt,87.7,,56.3,,31.400000000000006
llava-v1.6-mistral-7b-hf_A2_vqa_10_blind_inst,83.7,,47.5,,36.2
llava-v1.6-mistral-7b-hf_A4_mmstar_15_blind_inst,85.9,,52.1,,33.800000000000004
llava-v1.6-mistral-7b-hf_SFT_mmstar_15_blind_inst,86.5,,53.2,,33.3
