,model,model_type,eval_metric,pearson_r,pearson_p,spearman_r,spearman_p,slope,intercept,std_err,model_avg,human_avg,num_question_types,min_q_per_type,median_q_per_type,max_q_per_type
0,InternVL3_5-1B,open-source model,answer_similarity,0.9238071206292529,3.555319915237078e-24,0.8630420504634857,1.1993592615643449e-17,79.06372730155027,24.79282448903131,4.4589957260918425,73.66167525848722,0.6180944465604229,56,3,15.0,108
1,InternVL3_5-1B,open-source model,correct,0.8928370929852683,2.3673729698024936e-20,0.9092463602670986,3.3040199778911967e-22,0.7982016888607237,24.741988892516343,0.05479266193060865,53.24913161981965,35.71420998618991,56,3,15.0,108
2,InternVL3_5-2B,open-source model,answer_similarity,0.9531068252907973,1.0552968718563523e-29,0.9207868402840906,9.764682167033237e-24,81.50423809755871,24.30854899678139,3.521758319921423,74.68586593602087,0.6180944465604229,56,3,15.0,108
3,InternVL3_5-2B,open-source model,correct,0.9227172835525885,5.143530719918444e-24,0.9061571075757568,7.833886748764063e-22,0.8769219472376267,23.411274387063994,0.04985334560864094,54.72984895220714,35.71420998618991,56,3,15.0,108
4,InternVL3_5-4B,open-source model,answer_similarity,0.9393838314408652,9.05051078267713e-27,0.9117566643882433,1.6009790313336224e-22,66.86687357744464,31.777804375874922,3.321216472706046,73.10784759295133,0.6180944465604229,56,3,15.0,108
5,InternVL3_5-4B,open-source model,correct,0.9282478239420928,7.44347819153715e-25,0.8949502205651887,1.421792017173072e-20,0.8307464077305833,24.609128144591594,0.04530087760251031,54.278579795554585,35.71420998618991,56,3,15.0,108
6,InternVL3_5-8B,open-source model,answer_similarity,0.9065760118201281,6.980736934950133e-22,0.8647106069377175,8.808708349092958e-18,70.461845025279,31.579132692986832,4.463845671702438,75.13120779751294,0.6180944465604229,56,3,15.0,108
7,InternVL3_5-8B,open-source model,correct,0.8911360318859867,3.541498555808265e-20,0.8868712160443731,9.447274724976432e-20,0.7522325239135349,29.761202457246554,0.05212123380300386,56.62659277473616,35.71420998618991,56,3,15.0,108
8,Qwen3-4B,open-source model,answer_similarity,-0.5195905963809322,4.066697066148761e-05,-0.5239323981010714,3.412065171267446e-05,-19.963112693525357,30.24456677163616,4.467238551488642,17.905477679708248,0.6180944465604229,56,2,10.0,72
9,Qwen3-4B,open-source model,correct,0.1321332040449853,0.3316689343305008,0.1800956777085364,0.18411020035094133,0.08777043555248508,10.463850240962552,0.08960138191779904,13.598502006863352,35.71420998618991,56,2,10.0,72
10,Qwen3-VL-2B-Instruct,open-source model,answer_similarity,0.9484245553448362,1.2980311643609534e-28,0.9062436927005096,7.649730340371384e-22,77.07171349403441,27.91854238514955,3.505569910607083,75.55614048270823,0.6180944465604229,56,3,15.0,108
11,Qwen3-VL-2B-Instruct,open-source model,correct,0.8808852175991693,3.5112035659312093e-19,0.834602234037135,1.3331150854604232e-15,0.7800543607218892,27.738977877186024,0.05703909740432356,55.5980031166507,35.71420998618991,56,3,15.0,108
12,Qwen3-VL-4B-Instruct,open-source model,answer_similarity,0.9463820935372956,3.608209190657422e-28,0.9041376942083337,1.3555970816651197e-21,72.66831976698292,30.35804625178892,3.3755978441716974,75.27393114063807,0.6180944465604229,56,3,15.0,108
13,Qwen3-VL-4B-Instruct,open-source model,correct,0.8957375322158071,1.1725430685504901e-20,0.8735526190935515,1.5981294337937417e-18,0.7329104267091874,30.41370568490562,0.0495024111082762,56.589022565465584,35.71420998618991,56,3,15.0,108
14,Qwen3-VL-8B-Instruct,open-source model,answer_similarity,0.949960337367368,5.852973746405784e-29,0.9033041421999566,1.693946697046772e-21,70.54643429620499,31.69707839653578,3.156768905473643,75.30143765965984,0.6180944465604229,56,3,15.0,108
15,Qwen3-VL-8B-Instruct,open-source model,correct,0.9091082005566323,3.4363298313635743e-22,0.8947406420911299,1.4962591951820287e-20,0.7223032603586338,30.98573013715399,0.045038585487658156,56.78222045131184,35.71420998618991,56,3,15.0,108
16,llava-v1.6-mistral-7b-hf,open-source model,answer_similarity,0.9403318617180008,5.98606309082783e-27,0.9253752016894377,2.0695860366647492e-24,74.97999884238597,29.413336493194883,3.6921271513373966,75.75805738078058,0.6180944465604229,56,6,30.0,216
17,llava-v1.6-mistral-7b-hf,open-source model,correct,0.8638303824685007,1.0371514668358097e-17,0.8367302030700219,9.673134118447525e-16,0.7096972643799063,31.844499896241874,0.0563236872958052,57.190777022930384,35.71420998618991,56,6,30.0,216
18,InternVL3_5-8B_A1_vqa_gt,open-source model,answer_similarity,,,,,,,,,0.6180944465604229,56,2,10.0,72
19,InternVL3_5-8B_A1_vqa_gt,open-source model,correct,0.7794032679377412,1.4848218509386917e-12,0.8173266761272946,1.539860533421728e-14,0.6071079380186918,44.61638287356715,0.06641153802933587,66.29876325624947,35.71420998618991,56,2,10.0,72
20,InternVL3_5-8B_A2_vqa_10_blind_inst,open-source model,answer_similarity,,,,,,,,,0.6180944465604229,56,2,10.0,72
21,InternVL3_5-8B_A2_vqa_10_blind_inst,open-source model,correct,0.7771049476652875,1.902244887116501e-12,0.8250131333373646,5.358369240773602e-15,0.5723191666908274,45.2560905408552,0.06307663095041044,65.69601743917264,35.71420998618991,56,2,10.0,72
22,InternVL3_5-8B_A3_vqa_15_blind_inst,open-source model,answer_similarity,,,,,,,,,0.6180944465604229,56,2,10.0,72
23,InternVL3_5-8B_A3_vqa_15_blind_inst,open-source model,correct,0.8293348590788058,2.8931795352616745e-15,0.8831046617471384,2.176165505937703e-19,0.6115055609206341,42.6165707481747,0.05606510341068954,64.45600875861707,35.71420998618991,56,2,10.0,72
24,InternVL3_5-8B_A4_mmstar_15_blind_inst,open-source model,answer_similarity,,,,,,,,,0.6180944465604229,56,2,10.0,72
25,InternVL3_5-8B_A4_mmstar_15_blind_inst,open-source model,correct,0.8293141967941547,2.90183546137449e-15,0.8737662279695875,1.531164731759213e-18,0.6821128268359047,38.955834722639196,0.06254363072550452,63.316955454530294,35.71420998618991,56,2,10.0,72
26,Qwen3-VL-4B-Instruct_A1_vqa_gt,open-source model,answer_similarity,,,,,,,,,0.6180944465604229,56,2,10.0,72
27,Qwen3-VL-4B-Instruct_A1_vqa_gt,open-source model,correct,0.8296979876277407,2.745023044338775e-15,0.8353125927518479,1.198356853834247e-15,0.5697275343381178,45.36847794773487,0.05216147785181625,65.71584674400063,35.71420998618991,56,2,10.0,72
28,Qwen3-VL-4B-Instruct_A2_vqa_10_blind_inst,open-source model,answer_similarity,,,,,,,,,0.6180944465604229,56,2,10.0,72
29,Qwen3-VL-4B-Instruct_A2_vqa_10_blind_inst,open-source model,correct,0.8526604282140434,7.502419877330464e-17,0.8837730327781189,1.8806217991700163e-19,0.6569997687238178,39.63908539593848,0.05478350860463119,63.10331309701911,35.71420998618991,56,2,10.0,72
30,Qwen3-VL-4B-Instruct_A3_vqa_15_blind_inst,open-source model,answer_similarity,,,,,,,,,0.6180944465604229,56,2,10.0,72
31,Qwen3-VL-4B-Instruct_A3_vqa_15_blind_inst,open-source model,correct,0.8454333671391238,2.4796516195276674e-16,0.8893429528765715,5.3760433695765656e-20,0.647347254679607,40.64932255317224,0.05565037610329335,63.768818340783284,35.71420998618991,56,2,10.0,72
32,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,open-source model,answer_similarity,,,,,,,,,0.6180944465604229,56,2,10.0,72
33,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,open-source model,correct,0.8697861152348967,3.3572752725075575e-18,0.8908406845989875,3.795444225631898e-20,0.6648429724349754,39.32138785254004,0.05132563665006472,63.06572937792542,35.71420998618991,56,2,10.0,72
34,Qwen3-VL-4B-Instruct_SFT_vqa_15_blind_inst,open-source model,answer_similarity,,,,,,,,,0.6180944465604229,56,2,10.0,72
35,Qwen3-VL-4B-Instruct_SFT_vqa_15_blind_inst,open-source model,correct,0.8260416707597946,4.634462044755074e-15,0.8885583431724937,6.438839564190325e-20,0.6426926501273761,40.10026522556401,0.05967362941879699,63.053525488794,35.71420998618991,56,2,10.0,72
36,Qwen3-VL-4B-Instruct_SFT_vqa_gt,open-source model,answer_similarity,,,,,,,,,0.6180944465604229,56,2,10.0,72
37,Qwen3-VL-4B-Instruct_SFT_vqa_gt,open-source model,correct,0.8229781889222102,7.121059400295762e-15,0.8229968691881276,7.1026098319102445e-15,0.5089722807499991,48.95236660498158,0.047809373372890686,67.12990951683705,35.71420998618991,56,2,10.0,72
38,Qwen3-VL-8B-Instruct_A1_vqa_gt,open-source model,answer_similarity,,,,,,,,,0.6180944465604229,56,2,10.0,72
39,Qwen3-VL-8B-Instruct_A1_vqa_gt,open-source model,correct,0.8692405745714546,3.731206436021832e-18,0.8820066752447135,2.760550022363608e-19,0.62413882510152,42.00800486050875,0.04830737407875831,64.29862992071828,35.71420998618991,56,2,10.0,72
40,Qwen3-VL-8B-Instruct_A2_vqa_10_blind_inst,open-source model,answer_similarity,,,,,,,,,0.6180944465604229,56,2,10.0,72
41,Qwen3-VL-8B-Instruct_A2_vqa_10_blind_inst,open-source model,correct,0.8764548452811036,8.873924714977695e-19,0.9024645413527796,2.1158665429309787e-21,0.6268330497175288,40.931667593333,0.04686054963468971,63.31851475722864,35.71420998618991,56,2,10.0,72
42,Qwen3-VL-8B-Instruct_A3_vqa_15_blind_inst,open-source model,answer_similarity,,,,,,,,,0.6180944465604229,56,2,10.0,72
43,Qwen3-VL-8B-Instruct_A3_vqa_15_blind_inst,open-source model,correct,0.8692405745714546,3.731206436021832e-18,0.8820066752447135,2.760550022363608e-19,0.62413882510152,42.00800486050875,0.04830737407875831,64.29862992071828,35.71420998618991,56,2,10.0,72
44,Qwen3-VL-8B-Instruct_A4_mmstar_15_blind_inst,open-source model,answer_similarity,,,,,,,,,0.6180944465604229,56,2,10.0,72
45,Qwen3-VL-8B-Instruct_A4_mmstar_15_blind_inst,open-source model,correct,0.8507048723279187,1.0432189809357785e-16,0.8594839611434294,2.285531628224549e-17,0.6171550461285713,42.76301525291899,0.051893132286583835,64.80422016439151,35.71420998618991,56,2,10.0,72
