,model,finetuned,cc_quadrant,MG
0,InternVL 3.5 (1B),Pretrained,Human-Only,78.43529411764706
1,InternVL 3.5 (1B),Pretrained,Model-Only,-8.51276595744681
2,InternVL 3.5 (1B),Pretrained,Shared Correct,-2.361061946902655
3,InternVL 3.5 (1B),Pretrained,Shared Wrong,65.00166666666667
4,InternVL 3.5 (2B),Pretrained,Human-Only,91.17941176470588
5,InternVL 3.5 (2B),Pretrained,Model-Only,-10.305454545454545
6,InternVL 3.5 (2B),Pretrained,Shared Correct,-3.246902654867257
7,InternVL 3.5 (2B),Pretrained,Shared Wrong,67.4406976744186
8,InternVL 3.5 (4B),Pretrained,Human-Only,75.005
9,InternVL 3.5 (4B),Pretrained,Model-Only,-7.411111111111111
10,InternVL 3.5 (4B),Pretrained,Shared Correct,-0.7874015748031497
11,InternVL 3.5 (4B),Pretrained,Shared Wrong,67.58351648351649
12,InternVL 3.5 (8B),JS VQA (GT),Human-Only,89.25483870967743
13,InternVL 3.5 (8B),JS VQA (GT),Model-Only,-3.706944444444445
14,InternVL 3.5 (8B),JS VQA (GT),Shared Correct,-1.4379310344827587
15,InternVL 3.5 (8B),JS VQA (GT),Shared Wrong,70.75483870967741
16,InternVL 3.5 (8B),JS-Blind MMStar (n=15),Human-Only,81.48888888888888
17,InternVL 3.5 (8B),JS-Blind MMStar (n=15),Model-Only,-8.733333333333334
18,InternVL 3.5 (8B),JS-Blind MMStar (n=15),Shared Correct,-0.7767441860465117
19,InternVL 3.5 (8B),JS-Blind MMStar (n=15),Shared Wrong,75.31621621621622
20,InternVL 3.5 (8B),JS-Blind VQA (n=10),Human-Only,75.00625
21,InternVL 3.5 (8B),JS-Blind VQA (n=10),Model-Only,-4.324074074074074
22,InternVL 3.5 (8B),JS-Blind VQA (n=10),Shared Correct,-1.0190839694656488
23,InternVL 3.5 (8B),JS-Blind VQA (n=10),Shared Wrong,71.67803468208092
24,InternVL 3.5 (8B),JS-Blind VQA (n=15),Human-Only,75.00625
