,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
,answer_similarity,answer_similarity,answer_similarity,answer_similarity,answer_similarity,answer_similarity,correct,correct,correct,correct,correct,correct
condition,,,,inst blind,inst blind,inst blind,,,,inst blind,inst blind,inst blind
answer_type,number,other,yes/no,number,other,yes/no,number,other,yes/no,number,other,yes/no
model,,,,,,,,,,,,
InternVL3.5‑1B,86.202,76.00220465890183,93.92692702980472,68.71969230769231,48.63985024958402,86.9717882836588,62.767999999999994,64.61414309484192,88.54033915724563,19.640153846153847,14.12832778702163,65.86043165467626
InternVL3.5‑2B,87.31523076923077,78.08639767054909,95.18900308324768,61.11538461538461,50.88822795341098,87.10966084275437,64.20415384615384,67.77562396006655,92.41130524152106,11.024769230769232,17.414267886855242,65.89475847893114
InternVL3.5‑4B,88.76276923076924,79.30665557404326,95.7597636176773,67.15076923076923,51.24346921797005,77.82019527235354,70.30676923076923,68.70440931780365,93.57625899280575,17.793076923076924,20.79767054908486,67.16248715313463
InternVL3.5‑8B,89.23292307692309,80.49276206322796,96.26767728674203,68.3136923076923,50.526996672212974,83.65010277492293,72.05046153846155,73.11422628951748,94.36433710174717,22.613384615384618,19.84126455906822,65.94609455292908
InternVL3.5‑8B | JS‑Blind MMStar (n=15),89.16815384615386,80.45220465890183,96.19933196300103,75.50307692307692,52.30603161397671,87.39815005138747,72.46092307692308,73.10033277870217,94.19306269270298,27.43446153846154,21.24155574043261,65.91181911613566
InternVL3.5‑8B | JS‑Blind VQA (GT),89.05261538461538,81.48144758735441,96.15832476875643,76.32830769230769,53.74708818635607,87.04362795477903,71.948,74.30657237936772,94.2273381294964,30.767538461538464,23.598544093178038,65.92887975334018
InternVL3.5‑8B | JS‑Blind VQA (n=10),89.10615384615384,80.95619800332778,95.9396197327852,76.77553846153846,53.667678868552414,87.60549845837616,72.35784615384615,73.69617304492513,93.18237410071941,32.04953846153846,22.738643926788683,65.92887975334018
InternVL3.5‑8B | JS‑Blind VQA (n=15),89.13092307692307,80.9161397670549,95.91228160328879,77.07353846153846,53.855990016638934,87.45513874614595,72.56323076923077,73.48826955074875,93.07954779033915,31.792923076923078,23.931073211314477,65.41495375128468
InternVL3.5‑8B | SFT‑Blind VQA,88.84923076923077,80.88814475873545,95.96294964028776,76.73292307692309,53.80565723793677,87.52348406988695,72.05046153846155,73.68232113144758,93.35359712230216,32.97215384615385,23.029700499168055,65.89460431654676
InternVL3.5‑8B | SFT‑VQA,89.16784615384616,81.53560732113145,96.19933196300103,76.23353846153847,54.05761231281198,87.06906474820144,71.74246153846154,74.16767886855241,94.33016443987667,31.126769230769234,24.291722129783697,65.96310380267215
LLaVA‑1.5‑7B,84.51953846153846,78.73681364392678,94.79193216855087,57.779384615384615,46.466014975041595,87.11007194244606,57.896153846153844,70.21613976705491,90.56135662898252,11.94753846153846,17.65004159733777,64.37014388489209
LLaVA‑Mistral‑7B,87.43892307692307,82.53207154742097,95.95590955806784,58.567692307692305,50.489725457570714,87.61582733812949,66.4083076923077,76.27545757071547,93.52502569373074,13.742307692307692,21.69875207986689,66.23730729701953
LLaVA‑Mistral‑7B | JS‑Blind MMStar (n=15),87.3156923076923,82.2130615640599,95.95590955806784,65.02384615384615,53.9146006655574,88.4223021582734,66.76738461538461,75.29105657237938,93.59352517985612,20.613692307692308,24.499708818635607,68.44691675231245
LLaVA‑Mistral‑7B | JS‑Blind VQA (GT),87.49246153846154,81.5820299500832,95.72517985611512,70.34138461538461,53.54430116472546,87.34244604316547,65.69092307692307,74.75033277870216,92.85698869475848,27.331846153846154,22.711189683860233,65.96330935251798
LLaVA‑Mistral‑7B | JS‑Blind VQA (n=10),87.54815384615385,81.08178036605658,95.80955806783145,75.30476923076922,52.875748752079865,87.88920863309352,65.53676923076924,73.41900998336106,93.02841726618705,29.998,23.140599001663894,66.73401849948613
LLaVA‑Mistral‑7B | JS‑Blind VQA (n=15),87.28015384615384,81.12250415973378,95.6141829393628,75.27692307692308,52.47495840266223,87.98489208633094,65.17784615384615,73.28040765391015,92.73710174717368,29.89630769230769,22.33668885191348,66.97374100719423
LLaVA‑Mistral‑7B | SFT‑Blind MMStar,87.61553846153846,81.93211314475873,95.91490236382323,70.75200000000001,54.245465890183034,88.09424460431654,66.61384615384615,75.23548252911814,93.40503597122303,25.94646153846154,24.735316139767054,67.47040082219938
LLaVA‑Mistral‑7B | SFT‑Blind VQA,86.53861538461538,80.09650582362728,95.53340184994862,74.46292307692308,51.82420965058236,87.98489208633094,64.15230769230769,71.43577371048254,92.30883864337102,28.15230769230769,21.393760399334443,66.97363823227133
LLaVA‑Mistral‑7B | SFT‑VQA,86.77984615384615,81.54529950083194,95.78273381294964,73.61984615384615,53.90253743760399,87.1401336073998,64.51153846153846,75.01385191347754,92.9940390544707,28.30630769230769,22.15665557404326,65.84301130524152
