file,model,dataset,condition,accuracy,correct,total,by_category
mmstar.jsonl,Qwen/Qwen3-VL-4B-Instruct-A1_JS_vqa1k_n10_blind_inst,mmstar,,0.6026666666666667,904,1500,"{'coarse perception': {'accuracy': 0.744, 'correct': 186, 'total': 250}, 'fine-grained perception': {'accuracy': 0.532, 'correct': 133, 'total': 250}, 'instance reasoning': {'accuracy': 0.712, 'correct': 178, 'total': 250}, 'logical reasoning': {'accuracy': 0.612, 'correct': 153, 'total': 250}, 'math': {'accuracy': 0.572, 'correct': 143, 'total': 250}, 'science & technology': {'accuracy': 0.444, 'correct': 111, 'total': 250}}"
mmstar_inst_blind.jsonl,Qwen/Qwen3-VL-4B-Instruct-A1_JS_vqa1k_n10_blind_inst,mmstar,_inst_blind,0.258,387,1500,"{'coarse perception': {'accuracy': 0.276, 'correct': 69, 'total': 250}, 'fine-grained perception': {'accuracy': 0.252, 'correct': 63, 'total': 250}, 'instance reasoning': {'accuracy': 0.272, 'correct': 68, 'total': 250}, 'logical reasoning': {'accuracy': 0.224, 'correct': 56, 'total': 250}, 'math': {'accuracy': 0.36, 'correct': 90, 'total': 250}, 'science & technology': {'accuracy': 0.164, 'correct': 41, 'total': 250}}"
spubench.jsonl,Qwen/Qwen3-VL-4B-Instruct-A1_JS_vqa1k_n10_blind_inst,spubench,,0.7058823529411765,60,85,"{'Unknown': {'accuracy': 0.7058823529411765, 'correct': 60, 'total': 85}}"
vqa_1k.jsonl,Qwen/Qwen3-VL-4B-Instruct-A1_JS_vqa1k_n10_blind_inst,vqa_1k,,0.778,778,1000,"{'what is the woman': {'accuracy': 0.5, 'correct': 2, 'total': 4}, 'is the man': {'accuracy': 1.0, 'correct': 9, 'total': 9}, 'what is the': {'accuracy': 0.6730769230769231, 'correct': 35, 'total': 52}, 'is the': {'accuracy': 0.9318181818181818, 'correct': 82, 'total': 88}, 'is this': {'accuracy': 0.9, 'correct': 36, 'total': 40}, 'does this': {'accuracy': 1.0, 'correct': 14, 'total': 14}, 'what is': {'accuracy': 0.5806451612903226, 'correct': 18, 'total': 31}, 'is': {'accuracy': 0.8461538461538461, 'correct': 11, 'total': 13}, 'what': {'accuracy': 0.6190476190476191, 'correct': 52, 'total': 84}, 'none of the above': {'accuracy': 0.7567567567567568, 'correct': 28, 'total': 37}, 'what are': {'accuracy': 0.6, 'correct': 6, 'total': 10}, 'what color is': {'accuracy': 1.0, 'correct': 8, 'total': 8}, 'is the woman': {'accuracy': 0.6666666666666666, 'correct': 2, 'total': 3}, 'how many': {'accuracy': 0.7411764705882353, 'correct': 63, 'total': 85}, 'what type of': {'accuracy': 0.5263157894736842, 'correct': 10, 'total': 19}, 'what is in the': {'accuracy': 0.5454545454545454, 'correct': 6, 'total': 11}, 'what does the': {'accuracy': 0.6, 'correct': 9, 'total': 15}, 'what is this': {'accuracy': 0.7, 'correct': 7, 'total': 10}, 'do': {'accuracy': 0.8333333333333334, 'correct': 10, 'total': 12}, 'is this a': {'accuracy': 0.9512195121951219, 'correct': 39, 'total': 41}, 'is there a': {'accuracy': 0.9523809523809523, 'correct': 20, 'total': 21}, 'is this an': {'accuracy': 1.0, 'correct': 5, 'total': 5}, 'what is on the': {'accuracy': 0.7692307692307693, 'correct': 10, 'total': 13}, 'is there': {'accuracy': 1.0, 'correct': 13, 'total': 13}, 'where is the': {'accuracy': 0.6, 'correct': 9, 'total': 15}, 'why': {'accuracy': 0.14285714285714285, 'correct': 1, 'total': 7}, 'what is the name': {'accuracy': 0.75, 'correct': 3, 'total': 4}, 'who is': {'accuracy': 0.8333333333333334, 'correct': 5, 'total': 6}, 'are they': {'accuracy': 1.0, 'correct': 6, 'total': 6}, 'what kind of': {'accuracy': 0.6666666666666666, 'correct': 16, 'total': 24}, 'does the': {'accuracy': 1.0, 'correct': 14, 'total': 14}, 'what color is the': {'accuracy': 0.8983050847457628, 'correct': 53, 'total': 59}, 'what color are the': {'accuracy': 0.8181818181818182, 'correct': 9, 'total': 11}, 'what is the person': {'accuracy': 1.0, 'correct': 2, 'total': 2}, 'which': {'accuracy': 0.5714285714285714, 'correct': 8, 'total': 14}, 'what color': {'accuracy': 0.9166666666666666, 'correct': 11, 'total': 12}, 'are the': {'accuracy': 0.8571428571428571, 'correct': 18, 'total': 21}, 'what is the man': {'accuracy': 0.5384615384615384, 'correct': 7, 'total': 13}, 'why is the': {'accuracy': 0.6, 'correct': 3, 'total': 5}, 'what are the': {'accuracy': 0.6923076923076923, 'correct': 9, 'total': 13}, 'what is the color of the': {'accuracy': 1.0, 'correct': 5, 'total': 5}, 'are these': {'accuracy': 0.9090909090909091, 'correct': 10, 'total': 11}, 'where are the': {'accuracy': 0.42857142857142855, 'correct': 3, 'total': 7}, 'could': {'accuracy': 0.8571428571428571, 'correct': 6, 'total': 7}, 'is it': {'accuracy': 1.0, 'correct': 15, 'total': 15}, 'how': {'accuracy': 0.25, 'correct': 2, 'total': 8}, 'can you': {'accuracy': 0.8, 'correct': 4, 'total': 5}, 'how many people are': {'accuracy': 0.7142857142857143, 'correct': 5, 'total': 7}, 'what animal is': {'accuracy': 0.8, 'correct': 4, 'total': 5}, 'has': {'accuracy': 1.0, 'correct': 2, 'total': 2}, 'are': {'accuracy': 0.8333333333333334, 'correct': 10, 'total': 12}, 'is that a': {'accuracy': 1.0, 'correct': 4, 'total': 4}, 'was': {'accuracy': 0.5, 'correct': 1, 'total': 2}, 'are there': {'accuracy': 0.9, 'correct': 9, 'total': 10}, 'do you': {'accuracy': 1.0, 'correct': 4, 'total': 4}, 'what number is': {'accuracy': 0.75, 'correct': 3, 'total': 4}, 'what sport is': {'accuracy': 0.8, 'correct': 4, 'total': 5}, 'is he': {'accuracy': 1.0, 'correct': 3, 'total': 3}, 'how many people are in': {'accuracy': 0.5, 'correct': 2, 'total': 4}, 'are there any': {'accuracy': 1.0, 'correct': 9, 'total': 9}, 'what time': {'accuracy': 0.0, 'correct': 0, 'total': 3}, 'what room is': {'accuracy': 1.0, 'correct': 2, 'total': 2}, 'is this person': {'accuracy': 1.0, 'correct': 1, 'total': 1}, 'is the person': {'accuracy': 1.0, 'correct': 1, 'total': 1}}"
vqa_1k_inst_blind.jsonl,Qwen/Qwen3-VL-4B-Instruct-A1_JS_vqa1k_n10_blind_inst,vqa_1k,_inst_blind,0.348,348,1000,"{'what is the woman': {'accuracy': 0.0, 'correct': 0, 'total': 4}, 'is the man': {'accuracy': 0.5555555555555556, 'correct': 5, 'total': 9}, 'what is the': {'accuracy': 0.09615384615384616, 'correct': 5, 'total': 52}, 'is the': {'accuracy': 0.6590909090909091, 'correct': 58, 'total': 88}, 'is this': {'accuracy': 0.65, 'correct': 26, 'total': 40}, 'does this': {'accuracy': 0.6428571428571429, 'correct': 9, 'total': 14}, 'what is': {'accuracy': 0.12903225806451613, 'correct': 4, 'total': 31}, 'is': {'accuracy': 0.5384615384615384, 'correct': 7, 'total': 13}, 'what': {'accuracy': 0.08333333333333333, 'correct': 7, 'total': 84}, 'none of the above': {'accuracy': 0.43243243243243246, 'correct': 16, 'total': 37}, 'what are': {'accuracy': 0.1, 'correct': 1, 'total': 10}, 'what color is': {'accuracy': 0.125, 'correct': 1, 'total': 8}, 'is the woman': {'accuracy': 0.3333333333333333, 'correct': 1, 'total': 3}, 'how many': {'accuracy': 0.24705882352941178, 'correct': 21, 'total': 85}, 'what type of': {'accuracy': 0.15789473684210525, 'correct': 3, 'total': 19}, 'what is in the': {'accuracy': 0.0, 'correct': 0, 'total': 11}, 'what does the': {'accuracy': 0.06666666666666667, 'correct': 1, 'total': 15}, 'what is this': {'accuracy': 0.0, 'correct': 0, 'total': 10}, 'do': {'accuracy': 0.6666666666666666, 'correct': 8, 'total': 12}, 'is this a': {'accuracy': 0.6829268292682927, 'correct': 28, 'total': 41}, 'is there a': {'accuracy': 0.5714285714285714, 'correct': 12, 'total': 21}, 'is this an': {'accuracy': 0.4, 'correct': 2, 'total': 5}, 'what is on the': {'accuracy': 0.0, 'correct': 0, 'total': 13}, 'is there': {'accuracy': 0.5384615384615384, 'correct': 7, 'total': 13}, 'where is the': {'accuracy': 0.13333333333333333, 'correct': 2, 'total': 15}, 'why': {'accuracy': 0.0, 'correct': 0, 'total': 7}, 'what is the name': {'accuracy': 0.0, 'correct': 0, 'total': 4}, 'who is': {'accuracy': 0.3333333333333333, 'correct': 2, 'total': 6}, 'are they': {'accuracy': 0.6666666666666666, 'correct': 4, 'total': 6}, 'what kind of': {'accuracy': 0.16666666666666666, 'correct': 4, 'total': 24}, 'does the': {'accuracy': 0.9285714285714286, 'correct': 13, 'total': 14}, 'what color is the': {'accuracy': 0.2033898305084746, 'correct': 12, 'total': 59}, 'what color are the': {'accuracy': 0.09090909090909091, 'correct': 1, 'total': 11}, 'what is the person': {'accuracy': 0.0, 'correct': 0, 'total': 2}, 'which': {'accuracy': 0.14285714285714285, 'correct': 2, 'total': 14}, 'what color': {'accuracy': 0.3333333333333333, 'correct': 4, 'total': 12}, 'are the': {'accuracy': 0.6190476190476191, 'correct': 13, 'total': 21}, 'what is the man': {'accuracy': 0.15384615384615385, 'correct': 2, 'total': 13}, 'why is the': {'accuracy': 0.0, 'correct': 0, 'total': 5}, 'what are the': {'accuracy': 0.15384615384615385, 'correct': 2, 'total': 13}, 'what is the color of the': {'accuracy': 0.8, 'correct': 4, 'total': 5}, 'are these': {'accuracy': 0.8181818181818182, 'correct': 9, 'total': 11}, 'where are the': {'accuracy': 0.0, 'correct': 0, 'total': 7}, 'could': {'accuracy': 0.5714285714285714, 'correct': 4, 'total': 7}, 'is it': {'accuracy': 0.6666666666666666, 'correct': 10, 'total': 15}, 'how': {'accuracy': 0.0, 'correct': 0, 'total': 8}, 'can you': {'accuracy': 0.6, 'correct': 3, 'total': 5}, 'how many people are': {'accuracy': 0.14285714285714285, 'correct': 1, 'total': 7}, 'what animal is': {'accuracy': 0.0, 'correct': 0, 'total': 5}, 'has': {'accuracy': 1.0, 'correct': 2, 'total': 2}, 'are': {'accuracy': 0.75, 'correct': 9, 'total': 12}, 'is that a': {'accuracy': 0.75, 'correct': 3, 'total': 4}, 'was': {'accuracy': 0.0, 'correct': 0, 'total': 2}, 'are there': {'accuracy': 0.4, 'correct': 4, 'total': 10}, 'do you': {'accuracy': 0.5, 'correct': 2, 'total': 4}, 'what number is': {'accuracy': 0.0, 'correct': 0, 'total': 4}, 'what sport is': {'accuracy': 0.6, 'correct': 3, 'total': 5}, 'is he': {'accuracy': 0.6666666666666666, 'correct': 2, 'total': 3}, 'how many people are in': {'accuracy': 0.25, 'correct': 1, 'total': 4}, 'are there any': {'accuracy': 0.6666666666666666, 'correct': 6, 'total': 9}, 'what time': {'accuracy': 0.0, 'correct': 0, 'total': 3}, 'what room is': {'accuracy': 0.0, 'correct': 0, 'total': 2}, 'is this person': {'accuracy': 1.0, 'correct': 1, 'total': 1}, 'is the person': {'accuracy': 1.0, 'correct': 1, 'total': 1}}"
vqa_5k.jsonl,Qwen/Qwen3-VL-4B-Instruct-A1_JS_vqa1k_n10_blind_inst,vqa_5k,,0.7912,3956,5000,"{'what are': {'accuracy': 0.4594594594594595, 'correct': 17, 'total': 37}, 'what is the': {'accuracy': 0.6744186046511628, 'correct': 174, 'total': 258}, 'is this a': {'accuracy': 0.9644970414201184, 'correct': 163, 'total': 169}, 'is': {'accuracy': 0.9420289855072463, 'correct': 65, 'total': 69}, 'how many': {'accuracy': 0.708, 'correct': 354, 'total': 500}, 'is the': {'accuracy': 0.9234449760765551, 'correct': 386, 'total': 418}, 'does the': {'accuracy': 0.925, 'correct': 74, 'total': 80}, 'what is': {'accuracy': 0.73125, 'correct': 117, 'total': 160}, 'what': {'accuracy': 0.6742857142857143, 'correct': 236, 'total': 350}, 'what color is the': {'accuracy': 0.8713826366559485, 'correct': 271, 'total': 311}, 'none of the above': {'accuracy': 0.7676767676767676, 'correct': 152, 'total': 198}, 'are these': {'accuracy': 0.96, 'correct': 72, 'total': 75}, 'what type of': {'accuracy': 0.5346534653465347, 'correct': 54, 'total': 101}, 'what color are the': {'accuracy': 0.9014084507042254, 'correct': 64, 'total': 71}, 'are there': {'accuracy': 0.9436619718309859, 'correct': 67, 'total': 71}, 'what are the': {'accuracy': 0.6764705882352942, 'correct': 46, 'total': 68}, 'can you': {'accuracy': 0.8947368421052632, 'correct': 17, 'total': 19}, 'where are the': {'accuracy': 0.42857142857142855, 'correct': 12, 'total': 28}, 'how': {'accuracy': 0.28846153846153844, 'correct': 15, 'total': 52}, 'what is on the': {'accuracy': 0.7636363636363637, 'correct': 42, 'total': 55}, 'how many people are': {'accuracy': 0.9444444444444444, 'correct': 34, 'total': 36}, 'is there a': {'accuracy': 0.9912280701754386, 'correct': 113, 'total': 114}, 'is the man': {'accuracy': 0.9305555555555556, 'correct': 67, 'total': 72}, 'is there': {'accuracy': 0.9615384615384616, 'correct': 75, 'total': 78}, 'are they': {'accuracy': 0.9333333333333333, 'correct': 28, 'total': 30}, 'where is the': {'accuracy': 0.5121951219512195, 'correct': 42, 'total': 82}, 'is this': {'accuracy': 0.9736842105263158, 'correct': 185, 'total': 190}, 'who is': {'accuracy': 0.7586206896551724, 'correct': 22, 'total': 29}, 'is he': {'accuracy': 0.9583333333333334, 'correct': 23, 'total': 24}, 'is that a': {'accuracy': 0.9473684210526315, 'correct': 18, 'total': 19}, 'what animal is': {'accuracy': 0.9375, 'correct': 15, 'total': 16}, 'what kind of': {'accuracy': 0.6115107913669064, 'correct': 85, 'total': 139}, 'what brand': {'accuracy': 0.75, 'correct': 15, 'total': 20}, 'are': {'accuracy': 0.9245283018867925, 'correct': 49, 'total': 53}, 'was': {'accuracy': 0.88, 'correct': 22, 'total': 25}, 'what is the man': {'accuracy': 0.7910447761194029, 'correct': 53, 'total': 67}, 'what color': {'accuracy': 0.775, 'correct': 31, 'total': 40}, 'what is this': {'accuracy': 0.6046511627906976, 'correct': 26, 'total': 43}, 'why': {'accuracy': 0.24390243902439024, 'correct': 10, 'total': 41}, 'is it': {'accuracy': 0.9651162790697675, 'correct': 83, 'total': 86}, 'is the person': {'accuracy': 0.9333333333333333, 'correct': 14, 'total': 15}, 'what is the name': {'accuracy': 0.72, 'correct': 18, 'total': 25}, 'do you': {'accuracy': 0.8235294117647058, 'correct': 14, 'total': 17}, 'why is the': {'accuracy': 0.125, 'correct': 1, 'total': 8}, 'does this': {'accuracy': 0.9245283018867925, 'correct': 49, 'total': 53}, 'do': {'accuracy': 0.9354838709677419, 'correct': 29, 'total': 31}, 'what does the': {'accuracy': 0.5714285714285714, 'correct': 24, 'total': 42}, 'are the': {'accuracy': 0.9193548387096774, 'correct': 114, 'total': 124}, 'what color is': {'accuracy': 0.9090909090909091, 'correct': 30, 'total': 33}, 'what time': {'accuracy': 0.15625, 'correct': 5, 'total': 32}, 'which': {'accuracy': 0.5932203389830508, 'correct': 35, 'total': 59}, 'what is in the': {'accuracy': 0.8108108108108109, 'correct': 30, 'total': 37}, 'is this an': {'accuracy': 1.0, 'correct': 18, 'total': 18}, 'are there any': {'accuracy': 1.0, 'correct': 30, 'total': 30}, 'could': {'accuracy': 0.9166666666666666, 'correct': 11, 'total': 12}, 'how many people are in': {'accuracy': 0.6470588235294118, 'correct': 11, 'total': 17}, 'what is the woman': {'accuracy': 0.7647058823529411, 'correct': 13, 'total': 17}, 'what room is': {'accuracy': 0.9444444444444444, 'correct': 17, 'total': 18}, 'what is the person': {'accuracy': 0.5714285714285714, 'correct': 12, 'total': 21}, 'what sport is': {'accuracy': 0.9411764705882353, 'correct': 16, 'total': 17}, 'is the woman': {'accuracy': 0.9259259259259259, 'correct': 25, 'total': 27}, 'is this person': {'accuracy': 0.7692307692307693, 'correct': 10, 'total': 13}, 'has': {'accuracy': 0.9285714285714286, 'correct': 13, 'total': 14}, 'what is the color of the': {'accuracy': 1.0, 'correct': 14, 'total': 14}, 'what number is': {'accuracy': 0.75, 'correct': 9, 'total': 12}}"
vqa_5k_inst_blind.jsonl,Qwen/Qwen3-VL-4B-Instruct-A1_JS_vqa1k_n10_blind_inst,vqa_5k,_inst_blind,0.3877149877149877,789,2035,"{'what are': {'accuracy': 0.05, 'correct': 1, 'total': 20}, 'what is the': {'accuracy': 0.1188118811881188, 'correct': 12, 'total': 101}, 'is this a': {'accuracy': 0.5949367088607594, 'correct': 47, 'total': 79}, 'is': {'accuracy': 0.5517241379310345, 'correct': 16, 'total': 29}, 'how many': {'accuracy': 0.30275229357798167, 'correct': 66, 'total': 218}, 'is the': {'accuracy': 0.725609756097561, 'correct': 119, 'total': 164}, 'does the': {'accuracy': 0.8, 'correct': 28, 'total': 35}, 'what is': {'accuracy': 0.06666666666666667, 'correct': 4, 'total': 60}, 'what': {'accuracy': 0.12337662337662338, 'correct': 19, 'total': 154}, 'what color is the': {'accuracy': 0.3968253968253968, 'correct': 50, 'total': 126}, 'none of the above': {'accuracy': 0.4189189189189189, 'correct': 31, 'total': 74}, 'are these': {'accuracy': 0.6896551724137931, 'correct': 20, 'total': 29}, 'what type of': {'accuracy': 0.11904761904761904, 'correct': 5, 'total': 42}, 'what color are the': {'accuracy': 0.25, 'correct': 6, 'total': 24}, 'are there': {'accuracy': 0.5161290322580645, 'correct': 16, 'total': 31}, 'what are the': {'accuracy': 0.23809523809523808, 'correct': 5, 'total': 21}, 'can you': {'accuracy': 0.5, 'correct': 4, 'total': 8}, 'where are the': {'accuracy': 0.0, 'correct': 0, 'total': 10}, 'how': {'accuracy': 0.13636363636363635, 'correct': 3, 'total': 22}, 'what is on the': {'accuracy': 0.05, 'correct': 1, 'total': 20}, 'how many people are': {'accuracy': 0.6363636363636364, 'correct': 7, 'total': 11}, 'is there a': {'accuracy': 0.6363636363636364, 'correct': 28, 'total': 44}, 'is the man': {'accuracy': 0.52, 'correct': 13, 'total': 25}, 'is there': {'accuracy': 0.7435897435897436, 'correct': 29, 'total': 39}, 'are they': {'accuracy': 0.6428571428571429, 'correct': 9, 'total': 14}, 'where is the': {'accuracy': 0.1956521739130435, 'correct': 9, 'total': 46}, 'is this': {'accuracy': 0.6781609195402298, 'correct': 59, 'total': 87}, 'who is': {'accuracy': 0.2, 'correct': 2, 'total': 10}, 'is he': {'accuracy': 0.7, 'correct': 7, 'total': 10}, 'is that a': {'accuracy': 1.0, 'correct': 5, 'total': 5}, 'what animal is': {'accuracy': 0.3333333333333333, 'correct': 2, 'total': 6}, 'what kind of': {'accuracy': 0.058823529411764705, 'correct': 3, 'total': 51}, 'what brand': {'accuracy': 0.14285714285714285, 'correct': 1, 'total': 7}, 'are': {'accuracy': 0.6363636363636364, 'correct': 14, 'total': 22}, 'was': {'accuracy': 0.5454545454545454, 'correct': 6, 'total': 11}, 'what is the man': {'accuracy': 0.0, 'correct': 0, 'total': 26}, 'what color': {'accuracy': 0.2777777777777778, 'correct': 5, 'total': 18}, 'what is this': {'accuracy': 0.10526315789473684, 'correct': 2, 'total': 19}, 'why': {'accuracy': 0.0, 'correct': 0, 'total': 17}, 'is it': {'accuracy': 0.71875, 'correct': 23, 'total': 32}, 'is the person': {'accuracy': 0.5714285714285714, 'correct': 4, 'total': 7}, 'what is the name': {'accuracy': 0.0, 'correct': 0, 'total': 11}, 'do you': {'accuracy': 0.4444444444444444, 'correct': 4, 'total': 9}, 'why is the': {'accuracy': 0.0, 'correct': 0, 'total': 2}, 'does this': {'accuracy': 0.7058823529411765, 'correct': 12, 'total': 17}, 'do': {'accuracy': 0.6153846153846154, 'correct': 8, 'total': 13}, 'what does the': {'accuracy': 0.1875, 'correct': 3, 'total': 16}, 'are the': {'accuracy': 0.7837837837837838, 'correct': 29, 'total': 37}, 'what color is': {'accuracy': 0.2857142857142857, 'correct': 4, 'total': 14}, 'what time': {'accuracy': 0.125, 'correct': 1, 'total': 8}, 'which': {'accuracy': 0.2222222222222222, 'correct': 4, 'total': 18}, 'what is in the': {'accuracy': 0.09523809523809523, 'correct': 2, 'total': 21}, 'is this an': {'accuracy': 0.6, 'correct': 3, 'total': 5}, 'are there any': {'accuracy': 0.8888888888888888, 'correct': 8, 'total': 9}, 'could': {'accuracy': 1.0, 'correct': 6, 'total': 6}, 'how many people are in': {'accuracy': 0.2857142857142857, 'correct': 2, 'total': 7}, 'what is the woman': {'accuracy': 0.14285714285714285, 'correct': 1, 'total': 7}, 'what room is': {'accuracy': 0.5, 'correct': 3, 'total': 6}, 'what is the person': {'accuracy': 0.0, 'correct': 0, 'total': 11}, 'what sport is': {'accuracy': 0.125, 'correct': 1, 'total': 8}, 'is the woman': {'accuracy': 0.6363636363636364, 'correct': 7, 'total': 11}, 'is this person': {'accuracy': 0.5, 'correct': 3, 'total': 6}, 'has': {'accuracy': 0.5, 'correct': 3, 'total': 6}, 'what is the color of the': {'accuracy': 0.36363636363636365, 'correct': 4, 'total': 11}, 'what number is': {'accuracy': 0.0, 'correct': 0, 'total': 2}}"
mmstar.jsonl,Qwen/Qwen3-VL-8B-Instruct-A1_JS_vqa1k_n10_blind_inst,mmstar,,0.6366666666666667,955,1500,"{'coarse perception': {'accuracy': 0.74, 'correct': 185, 'total': 250}, 'fine-grained perception': {'accuracy': 0.56, 'correct': 140, 'total': 250}, 'instance reasoning': {'accuracy': 0.74, 'correct': 185, 'total': 250}, 'logical reasoning': {'accuracy': 0.664, 'correct': 166, 'total': 250}, 'math': {'accuracy': 0.628, 'correct': 157, 'total': 250}, 'science & technology': {'accuracy': 0.488, 'correct': 122, 'total': 250}}"
mmstar_inst_blind.jsonl,Qwen/Qwen3-VL-8B-Instruct-A1_JS_vqa1k_n10_blind_inst,mmstar,_inst_blind,0.262,393,1500,"{'coarse perception': {'accuracy': 0.264, 'correct': 66, 'total': 250}, 'fine-grained perception': {'accuracy': 0.212, 'correct': 53, 'total': 250}, 'instance reasoning': {'accuracy': 0.292, 'correct': 73, 'total': 250}, 'logical reasoning': {'accuracy': 0.256, 'correct': 64, 'total': 250}, 'math': {'accuracy': 0.348, 'correct': 87, 'total': 250}, 'science & technology': {'accuracy': 0.2, 'correct': 50, 'total': 250}}"
vqa_1k.jsonl,Qwen/Qwen3-VL-8B-Instruct-A1_JS_vqa1k_n10_blind_inst,vqa_1k,,0.796,796,1000,"{'what is the woman': {'accuracy': 0.5, 'correct': 2, 'total': 4}, 'is the man': {'accuracy': 1.0, 'correct': 9, 'total': 9}, 'what is the': {'accuracy': 0.6923076923076923, 'correct': 36, 'total': 52}, 'is the': {'accuracy': 0.9545454545454546, 'correct': 84, 'total': 88}, 'is this': {'accuracy': 0.925, 'correct': 37, 'total': 40}, 'does this': {'accuracy': 1.0, 'correct': 14, 'total': 14}, 'what is': {'accuracy': 0.5483870967741935, 'correct': 17, 'total': 31}, 'is': {'accuracy': 0.9230769230769231, 'correct': 12, 'total': 13}, 'what': {'accuracy': 0.6547619047619048, 'correct': 55, 'total': 84}, 'none of the above': {'accuracy': 0.7567567567567568, 'correct': 28, 'total': 37}, 'what are': {'accuracy': 0.6, 'correct': 6, 'total': 10}, 'what color is': {'accuracy': 0.75, 'correct': 6, 'total': 8}, 'is the woman': {'accuracy': 1.0, 'correct': 3, 'total': 3}, 'how many': {'accuracy': 0.8, 'correct': 68, 'total': 85}, 'what type of': {'accuracy': 0.47368421052631576, 'correct': 9, 'total': 19}, 'what is in the': {'accuracy': 0.8181818181818182, 'correct': 9, 'total': 11}, 'what does the': {'accuracy': 0.6666666666666666, 'correct': 10, 'total': 15}, 'what is this': {'accuracy': 0.6, 'correct': 6, 'total': 10}, 'do': {'accuracy': 0.9166666666666666, 'correct': 11, 'total': 12}, 'is this a': {'accuracy': 0.9512195121951219, 'correct': 39, 'total': 41}, 'is there a': {'accuracy': 0.9523809523809523, 'correct': 20, 'total': 21}, 'is this an': {'accuracy': 1.0, 'correct': 5, 'total': 5}, 'what is on the': {'accuracy': 0.6923076923076923, 'correct': 9, 'total': 13}, 'is there': {'accuracy': 1.0, 'correct': 13, 'total': 13}, 'where is the': {'accuracy': 0.7333333333333333, 'correct': 11, 'total': 15}, 'why': {'accuracy': 0.14285714285714285, 'correct': 1, 'total': 7}, 'what is the name': {'accuracy': 0.75, 'correct': 3, 'total': 4}, 'who is': {'accuracy': 0.8333333333333334, 'correct': 5, 'total': 6}, 'are they': {'accuracy': 1.0, 'correct': 6, 'total': 6}, 'what kind of': {'accuracy': 0.5833333333333334, 'correct': 14, 'total': 24}, 'does the': {'accuracy': 0.9285714285714286, 'correct': 13, 'total': 14}, 'what color is the': {'accuracy': 0.8305084745762712, 'correct': 49, 'total': 59}, 'what color are the': {'accuracy': 0.7272727272727273, 'correct': 8, 'total': 11}, 'what is the person': {'accuracy': 1.0, 'correct': 2, 'total': 2}, 'which': {'accuracy': 0.5714285714285714, 'correct': 8, 'total': 14}, 'what color': {'accuracy': 1.0, 'correct': 12, 'total': 12}, 'are the': {'accuracy': 0.9047619047619048, 'correct': 19, 'total': 21}, 'what is the man': {'accuracy': 0.6153846153846154, 'correct': 8, 'total': 13}, 'why is the': {'accuracy': 0.6, 'correct': 3, 'total': 5}, 'what are the': {'accuracy': 0.6153846153846154, 'correct': 8, 'total': 13}, 'what is the color of the': {'accuracy': 1.0, 'correct': 5, 'total': 5}, 'are these': {'accuracy': 1.0, 'correct': 11, 'total': 11}, 'where are the': {'accuracy': 0.5714285714285714, 'correct': 4, 'total': 7}, 'could': {'accuracy': 1.0, 'correct': 7, 'total': 7}, 'is it': {'accuracy': 1.0, 'correct': 15, 'total': 15}, 'how': {'accuracy': 0.125, 'correct': 1, 'total': 8}, 'can you': {'accuracy': 0.8, 'correct': 4, 'total': 5}, 'how many people are': {'accuracy': 0.8571428571428571, 'correct': 6, 'total': 7}, 'what animal is': {'accuracy': 0.8, 'correct': 4, 'total': 5}, 'has': {'accuracy': 1.0, 'correct': 2, 'total': 2}, 'are': {'accuracy': 0.9166666666666666, 'correct': 11, 'total': 12}, 'is that a': {'accuracy': 1.0, 'correct': 4, 'total': 4}, 'was': {'accuracy': 1.0, 'correct': 2, 'total': 2}, 'are there': {'accuracy': 1.0, 'correct': 10, 'total': 10}, 'do you': {'accuracy': 1.0, 'correct': 4, 'total': 4}, 'what number is': {'accuracy': 1.0, 'correct': 4, 'total': 4}, 'what sport is': {'accuracy': 1.0, 'correct': 5, 'total': 5}, 'is he': {'accuracy': 0.6666666666666666, 'correct': 2, 'total': 3}, 'how many people are in': {'accuracy': 1.0, 'correct': 4, 'total': 4}, 'are there any': {'accuracy': 1.0, 'correct': 9, 'total': 9}, 'what time': {'accuracy': 0.0, 'correct': 0, 'total': 3}, 'what room is': {'accuracy': 1.0, 'correct': 2, 'total': 2}, 'is this person': {'accuracy': 1.0, 'correct': 1, 'total': 1}, 'is the person': {'accuracy': 1.0, 'correct': 1, 'total': 1}}"
