model,overall,Background,Co-occurring Objects,Orientation,Shape,Texture and Noise,Colorization,Lighting and Shadows,Perspective and Angle,Relative Size,Context,Material,Packaging,Position,Size,Appearance,Motion Blur
InternVL3_5-8B/InternVL3_5-8B_A1_vqa_gtfold_0,0.000 (0/2400),0.000 (0/1908),0.000 (0/903),0.000 (0/764),0.000 (0/401),0.000 (0/288),0.000 (0/248),0.000 (0/103),0.000 (0/100),0.000 (0/75),0.000 (0/3),0.000 (0/2),0.000 (0/1),0.000 (0/1),0.000 (0/1),0.000 (0/1),0.000 (0/1)
InternVL3_5-8B/InternVL3_5-8B_A1_vqa_gtfold_0,0.000 (0/2400),0.000 (0/1908),0.000 (0/903),0.000 (0/764),0.000 (0/401),0.000 (0/288),0.000 (0/248),0.000 (0/103),0.000 (0/100),0.000 (0/75),0.000 (0/3),0.000 (0/2),0.000 (0/1),0.000 (0/1),0.000 (0/1),0.000 (0/1),0.000 (0/1)
InternVL3_5-8B/InternVL3_5-8B_SFT_mmstar_15_blind_instfold_0,0.000 (0/2400),0.000 (0/1908),0.000 (0/903),0.000 (0/764),0.000 (0/401),0.000 (0/288),0.000 (0/248),0.000 (0/103),0.000 (0/100),0.000 (0/75),0.000 (0/3),0.000 (0/2),0.000 (0/1),0.000 (0/1),0.000 (0/1),0.000 (0/1),0.000 (0/1)
InternVL3_5-8B/InternVL3_5-8B_SFT_mmstar_15_blind_instfold_0,0.000 (0/742),0.000 (0/618),0.000 (0/297),0.000 (0/243),0.000 (0/138),0.000 (0/37),0.000 (0/70),0.000 (0/19),0.000 (0/29),0.000 (0/31),0.000 (0/1),N/A,0.000 (0/1),N/A,N/A,N/A,N/A
Qwen3-VL-4B-Instruct/A0_SFT_vqa_gt,0.729 (62/85),0.723 (47/65),0.771 (27/35),0.727 (16/22),0.667 (14/21),0.667 (4/6),0.727 (8/11),1.000 (2/2),0.500 (1/2),0.833 (5/6),N/A,N/A,N/A,N/A,N/A,N/A,N/A
Qwen3-VL-4B-Instruct/A0_SFT_vqa_gt,0.494 (1185/2400),0.503 (959/1908),0.462 (417/903),0.529 (404/764),0.454 (182/401),0.514 (148/288),0.480 (119/248),0.553 (57/103),0.410 (41/100),0.560 (42/75),0.333 (1/3),0.000 (0/2),0.000 (0/1),0.000 (0/1),0.000 (0/1),0.000 (0/1),0.000 (0/1)
Qwen3-VL-4B-Instruct/A1_JS_vqa_blind_n10,0.691 (67/97),0.685 (50/73),0.714 (30/42),0.792 (19/24),0.625 (15/24),0.571 (4/7),0.615 (8/13),1.000 (2/2),0.500 (1/2),0.714 (5/7),N/A,N/A,N/A,N/A,N/A,N/A,N/A
Qwen3-VL-4B-Instruct/A1_JS_vqa_blind_n10,0.463 (1110/2400),0.475 (907/1908),0.451 (407/903),0.473 (361/764),0.426 (171/401),0.455 (131/288),0.407 (101/248),0.524 (54/103),0.440 (44/100),0.533 (40/75),0.667 (2/3),0.000 (0/2),0.000 (0/1),1.000 (1/1),0.000 (0/1),1.000 (1/1),0.000 (0/1)
Qwen3-VL-4B-Instruct/A1_JS_vqa_blind_n10,0.386 (927/2400),0.394 (752/1908),0.346 (312/903),0.411 (314/764),0.357 (143/401),0.438 (126/288),0.351 (87/248),0.485 (50/103),0.340 (34/100),0.427 (32/75),0.667 (2/3),0.000 (0/2),0.000 (0/1),1.000 (1/1),0.000 (0/1),1.000 (1/1),0.000 (0/1)
Qwen3-VL-4B-Instruct/A1_JS_vqa_n15_blind_inst,0.740 (1777/2400),0.767 (1464/1908),0.710 (641/903),0.808 (617/764),0.688 (276/401),0.656 (189/288),0.629 (156/248),0.748 (77/103),0.680 (68/100),0.787 (59/75),1.000 (3/3),0.000 (0/2),1.000 (1/1),1.000 (1/1),0.000 (0/1),1.000 (1/1),1.000 (1/1)
